Position,TrackName,Artist,Date,Country,Indicators
1,Versace On The Floor                                                        ,Bruno Mars       ,01-01-17,ph,0 0 0 0 0 0
2,Say You Won't Let Go                                                        ,James Arthur     ,01-01-17,ph,0 0 0 0 0 0
3,Closer                                                                      ,The Chainsmokers ,01-01-17,ph,0 0 0 0 0 0
4,All We Know                                                                 ,The Chainsmokers ,01-01-17,ph,0 0 0 0 0 0
5,Don't Wanna Know                                                            ,Maroon 5         ,01-01-17,ph,0 0 0 0 0 0
6,24K Magic                                                                   ,Bruno Mars       ,01-01-17,ph,0 0 0 0 0 0
7,Starving                                                                    ,Hailee Steinfeld ,01-01-17,ph,0 0 0 0 0 0
8,How Far I'll Go - From "Moana"                                              ,Alessia Cara     ,01-01-17,ph,0 0 0 0 0 0
9,Let Me Love You                                                             ,DJ Snake         ,01-01-17,ph,0 0 0 0 0 0
10,Starboy                                                                     ,The Weeknd       ,01-01-17,ph,0 0 0 0 0 0
1,Versace On The Floor                                                        ,Bruno Mars       ,02-01-17,ph,0 0 0 0 0 0
2,Say You Won't Let Go                                                        ,James Arthur     ,02-01-17,ph,0 0 0 0 0 0
3,Closer                                                                      ,The Chainsmokers ,02-01-17,ph,0 0 0 0 0 0
4,All We Know                                                                 ,The Chainsmokers ,02-01-17,ph,0 0 0 0 0 0
5,Don't Wanna Know                                                            ,Maroon 5         ,02-01-17,ph,0 0 0 0 0 0
6,24K Magic                                                                   ,Bruno Mars       ,02-01-17,ph,0 0 0 0 0 0
7,Starving                                                                    ,Hailee Steinfeld ,02-01-17,ph,0 0 0 0 0 0
8,How Far I'll Go - From "Moana"                                              ,Alessia Cara     ,02-01-17,ph,0 0 0 0 0 0
9,Starboy                                                                     ,The Weeknd       ,02-01-17,ph,0 0 0 0 0 0
10,Let Me Love You                                                             ,DJ Snake         ,02-01-17,ph,0 0 0 0 0 0
1,Versace On The Floor                                                        ,Bruno Mars       ,03-01-17,ph,0 0 0 0 0 0
2,Say You Won't Let Go                                                        ,James Arthur     ,03-01-17,ph,0 0 0 0 0 0
3,Closer                                                                      ,The Chainsmokers ,03-01-17,ph,0 0 0 0 0 0
4,Don't Wanna Know                                                            ,Maroon 5         ,03-01-17,ph,0 0 0 0 0 0
5,24K Magic                                                                   ,Bruno Mars       ,03-01-17,ph,0 0 0 0 0 0
6,All We Know                                                                 ,The Chainsmokers ,03-01-17,ph,0 0 0 0 0 0
7,Starving                                                                    ,Hailee Steinfeld ,03-01-17,ph,0 0 0 0 0 0
8,How Far I'll Go - From "Moana"                                              ,Alessia Cara     ,03-01-17,ph,0 0 0 0 0 0
9,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,03-01-17,ph,0 0 0 0 0 0
10,Starboy                                                                     ,The Weeknd       ,03-01-17,ph,0 0 0 0 0 0
1,Versace On The Floor                                                        ,Bruno Mars       ,04-01-17,ph,0 1 0 0 0 0
2,Say You Won't Let Go                                                        ,James Arthur     ,04-01-17,ph,0 1 0 0 0 0
