Position,TrackName,Artist,Date,Country,Indicators
1,Let Me Love You                                                             ,DJ Snake         ,01/01/2017,pl,0 0 0 0 0 0
2,Starboy                                                                     ,The Weeknd       ,01/01/2017,pl,0 0 0 0 0 0
3,Closer                                                                      ,The Chainsmokers ,01/01/2017,pl,0 0 0 0 0 0
4,Tuesday                                                                     ,Burak Yeter      ,01/01/2017,pl,0 0 0 0 0 0
5,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,01/01/2017,pl,0 0 0 0 0 0
6,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,01/01/2017,pl,0 0 0 0 0 0
7,Treat You Better                                                            ,Shawn Mendes     ,01/01/2017,pl,0 0 0 0 0 0
8,One Dance                                                                   ,Drake            ,01/01/2017,pl,0 0 0 0 0 0
9,Don't Wanna Know                                                            ,Maroon 5         ,01/01/2017,pl,0 0 0 0 0 0
10,Heathens                                                                    ,Twenty One Pilots,01/01/2017,pl,0 0 0 0 0 0
1,Starboy                                                                     ,The Weeknd       ,02/01/2017,pl,0 0 1 0 0 0
2,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,02/01/2017,pl,0 0 1 0 0 0
3,Tuesday                                                                     ,Burak Yeter      ,02/01/2017,pl,0 0 1 0 0 0
4,Let Me Love You                                                             ,DJ Snake         ,02/01/2017,pl,0 0 1 0 0 0
5,Closer                                                                      ,The Chainsmokers ,02/01/2017,pl,0 0 1 0 0 0
6,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,02/01/2017,pl,0 0 1 0 0 0
7,Don't Wanna Know                                                            ,Maroon 5         ,02/01/2017,pl,0 0 1 0 0 0
8,Heathens                                                                    ,Twenty One Pilots,02/01/2017,pl,0 0 1 0 0 0
9,I Feel It Coming                                                            ,The Weeknd       ,02/01/2017,pl,0 0 1 0 0 0
10,Alone                                                                       ,Alan Walker      ,02/01/2017,pl,0 0 1 0 0 0
1,Starboy                                                                     ,The Weeknd       ,03/01/2017,pl,0 0 1 0 0 0
2,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,03/01/2017,pl,0 0 1 0 0 0
3,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,03/01/2017,pl,0 0 1 0 0 0
4,Tuesday                                                                     ,Burak Yeter      ,03/01/2017,pl,0 0 1 0 0 0
