Position,TrackName,Artist,Date,Country,Indicators
1,Starboy                                                                     ,The Weeknd       ,01/01/2017,pt,0 0 0 0 0 0
2,Let Me Love You                                                             ,DJ Snake         ,01/01/2017,pt,0 0 0 0 0 0
3,24K Magic                                                                   ,Bruno Mars       ,01/01/2017,pt,0 0 0 0 0 0
4,One Dance                                                                   ,Drake            ,01/01/2017,pt,0 0 0 0 0 0
5,Closer                                                                      ,The Chainsmokers ,01/01/2017,pt,0 0 0 0 0 0
6,Say You Won't Let Go                                                        ,James Arthur     ,01/01/2017,pt,0 0 0 0 0 0
7,Loucos                                                                      ,Matias Damásio  ,01/01/2017,pt,0 0 0 0 0 0
8,Chantaje                                                                    ,Shakira          ,01/01/2017,pt,0 0 0 0 0 0
9,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,01/01/2017,pt,0 0 0 0 0 0
10,I Feel It Coming                                                            ,The Weeknd       ,01/01/2017,pt,0 0 0 0 0 0
1,Starboy                                                                     ,The Weeknd       ,02/01/2017,pt,0 1 0 0 0 0
2,Say You Won't Let Go                                                        ,James Arthur     ,02/01/2017,pt,0 1 0 0 0 0
3,Closer                                                                      ,The Chainsmokers ,02/01/2017,pt,0 1 0 0 0 0
4,I Feel It Coming                                                            ,The Weeknd       ,02/01/2017,pt,0 1 0 0 0 0
5,Let Me Love You                                                             ,DJ Snake         ,02/01/2017,pt,0 1 0 0 0 0
6,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,02/01/2017,pt,0 1 0 0 0 0
7,Chantaje                                                                    ,Shakira          ,02/01/2017,pt,0 1 0 0 0 0
8,Mercy                                                                       ,Shawn Mendes     ,02/01/2017,pt,0 1 0 0 0 0
9,24K Magic                                                                   ,Bruno Mars       ,02/01/2017,pt,0 1 0 0 0 0
10,One Dance                                                                   ,Drake            ,02/01/2017,pt,0 1 0 0 0 0
1,Starboy                                                                     ,The Weeknd       ,03/01/2017,pt,1 1 0 0 0 0
2,Say You Won't Let Go                                                        ,James Arthur     ,03/01/2017,pt,1 1 0 0 0 0
3,I Feel It Coming                                                            ,The Weeknd       ,03/01/2017,pt,1 1 0 0 0 0
4,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,03/01/2017,pt,1 1 0 0 0 0
5,Closer                                                                      ,The Chainsmokers ,03/01/2017,pt,1 1 0 0 0 0
6,Chantaje                                                                    ,Shakira          ,03/01/2017,pt,1 1 0 0 0 0
7,Let Me Love You                                                             ,DJ Snake         ,03/01/2017,pt,1 1 0 0 0 0
8,Mercy                                                                       ,Shawn Mendes     ,03/01/2017,pt,1 1 0 0 0 0
9,24K Magic                                                                   ,Bruno Mars       ,03/01/2017,pt,1 1 0 0 0 0
10,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,03/01/2017,pt,1 1 0 0 0 0
1,Starboy                                                                     ,The Weeknd       ,04/01/2017,pt,1 0 0 0 0 0
2,Say You Won't Let Go                                                        ,James Arthur     ,04/01/2017,pt,1 0 0 0 0 0
3,I Feel It Coming                                                            ,The Weeknd       ,04/01/2017,pt,1 0 0 0 0 0
4,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,04/01/2017,pt,1 0 0 0 0 0
5,Closer                                                                      ,The Chainsmokers ,04/01/2017,pt,1 0 0 0 0 0
6,Chantaje                                                                    ,Shakira          ,04/01/2017,pt,1 0 0 0 0 0
7,Let Me Love You                                                             ,DJ Snake         ,04/01/2017,pt,1 0 0 0 0 0
8,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,04/01/2017,pt,1 0 0 0 0 0
9,Mercy                                                                       ,Shawn Mendes     ,04/01/2017,pt,1 0 0 0 0 0
10,Don't Wanna Know                                                            ,Maroon 5         ,04/01/2017,pt,1 0 0 0 0 0
1,Starboy                                                                     ,The Weeknd       ,05/01/2017,pt,1 1 0 0 0 0
2,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,05/01/2017,pt,1 1 0 0 0 0
3,Say You Won't Let Go                                                        ,James Arthur     ,05/01/2017,pt,1 1 0 0 0 0
4,I Feel It Coming                                                            ,The Weeknd       ,05/01/2017,pt,1 1 0 0 0 0
5,Chantaje                                                                    ,Shakira          ,05/01/2017,pt,1 1 0 0 0 0
6,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,05/01/2017,pt,1 1 0 0 0 0
7,Closer                                                                      ,The Chainsmokers ,05/01/2017,pt,1 1 0 0 0 0
8,Let Me Love You                                                             ,DJ Snake         ,05/01/2017,pt,1 1 0 0 0 0
9,Mercy                                                                       ,Shawn Mendes     ,05/01/2017,pt,1 1 0 0 0 0
10,Don't Wanna Know                                                            ,Maroon 5         ,05/01/2017,pt,1 1 0 0 0 0
1,Shape of You                                                                ,Ed Sheeran       ,06/01/2017,pt,1 1 0 0 0 0
2,Starboy                                                                     ,The Weeknd       ,06/01/2017,pt,1 1 0 0 0 0
3,Castle on the Hill                                                          ,Ed Sheeran       ,06/01/2017,pt,1 1 0 0 0 0
4,I Feel It Coming                                                            ,The Weeknd       ,06/01/2017,pt,1 1 0 0 0 0
5,Say You Won't Let Go                                                        ,James Arthur     ,06/01/2017,pt,1 1 0 0 0 0
6,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,06/01/2017,pt,1 1 0 0 0 0
7,Closer                                                                      ,The Chainsmokers ,06/01/2017,pt,1 1 0 0 0 0
8,Chantaje                                                                    ,Shakira          ,06/01/2017,pt,1 1 0 0 0 0
9,24K Magic                                                                   ,Bruno Mars       ,06/01/2017,pt,1 1 0 0 0 0
10,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,06/01/2017,pt,1 1 0 0 0 0
1,Shape of You                                                                ,Ed Sheeran       ,07/01/2017,pt,0 0 0 0 0 0
2,Starboy                                                                     ,The Weeknd       ,07/01/2017,pt,0 0 0 0 0 0
3,Castle on the Hill                                                          ,Ed Sheeran       ,07/01/2017,pt,0 0 0 0 0 0
4,Say You Won't Let Go                                                        ,James Arthur     ,07/01/2017,pt,0 0 0 0 0 0
5,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,07/01/2017,pt,0 0 0 0 0 0
6,I Feel It Coming                                                            ,The Weeknd       ,07/01/2017,pt,0 0 0 0 0 0
7,Chantaje                                                                    ,Shakira          ,07/01/2017,pt,0 0 0 0 0 0
8,Closer                                                                      ,The Chainsmokers ,07/01/2017,pt,0 0 0 0 0 0
9,Mercy                                                                       ,Shawn Mendes     ,07/01/2017,pt,0 0 0 0 0 0
10,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,07/01/2017,pt,0 0 0 0 0 0
1,Shape of You                                                                ,Ed Sheeran       ,08/01/2017,pt,0 0 0 0 0 0
2,Starboy                                                                     ,The Weeknd       ,08/01/2017,pt,0 0 0 0 0 0
3,Castle on the Hill                                                          ,Ed Sheeran       ,08/01/2017,pt,0 0 0 0 0 0
4,Say You Won't Let Go                                                        ,James Arthur     ,08/01/2017,pt,0 0 0 0 0 0
5,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,08/01/2017,pt,0 0 0 0 0 0
6,I Feel It Coming                                                            ,The Weeknd       ,08/01/2017,pt,0 0 0 0 0 0
