Position,TrackName,Artist,Date,Country,Indicators
1,Chantaje                                                                    ,Shakira          ,01-01-17,py,0 1 0 0 1 0
2,Otra Vez (feat. J Balvin)                                                   ,Zion & Lennox    ,01-01-17,py,0 1 0 0 1 0
3,Safari                                                                      ,J Balvin         ,01-01-17,py,0 1 0 0 1 0
4,Reggaet�n Lento (Bailemos)                                                  ,CNCO             ,01-01-17,py,0 1 0 0 1 0
5,Vente Pa' Ca                                                                ,Ricky Martin     ,01-01-17,py,0 1 0 0 1 0
6,Ay Mi Dios                                                                  ,IAmChino         ,01-01-17,py,0 1 0 0 1 0
7,Vacaciones                                                                  ,Wisin            ,01-01-17,py,0 1 0 0 1 0
8,Let Me Love You                                                             ,DJ Snake         ,01-01-17,py,0 1 0 0 1 0
9,Dile Que Tu Me Quieres                                                      ,Ozuna            ,01-01-17,py,0 1 0 0 1 0
10,Closer                                                                      ,The Chainsmokers ,01-01-17,py,0 1 0 0 1 0
1,Chantaje                                                                    ,Shakira          ,02-01-17,py,0 0 0 0 0 0
2,Otra Vez (feat. J Balvin)                                                   ,Zion & Lennox    ,02-01-17,py,0 0 0 0 0 0
3,Reggaet�n Lento (Bailemos)                                                  ,CNCO             ,02-01-17,py,0 0 0 0 0 0
4,Safari                                                                      ,J Balvin         ,02-01-17,py,0 0 0 0 0 0
5,Vente Pa' Ca                                                                ,Ricky Martin     ,02-01-17,py,0 0 0 0 0 0
6,Let Me Love You                                                             ,DJ Snake         ,02-01-17,py,0 0 0 0 0 0
7,Ay Mi Dios                                                                  ,IAmChino         ,02-01-17,py,0 0 0 0 0 0
8,Dile Que Tu Me Quieres                                                      ,Ozuna            ,02-01-17,py,0 0 0 0 0 0
9,Vacaciones                                                                  ,Wisin            ,02-01-17,py,0 0 0 0 0 0
10,Closer                                                                      ,The Chainsmokers ,02-01-17,py,0 0 0 0 0 0
1,Chantaje                                                                    ,Shakira          ,03-01-17,py,0 0 0 0 0 0
2,Reggaet�n Lento (Bailemos)                                                  ,CNCO             ,03-01-17,py,0 0 0 0 0 0
3,Otra Vez (feat. J Balvin)                                                   ,Zion & Lennox    ,03-01-17,py,0 0 0 0 0 0
4,Safari                                                                      ,J Balvin         ,03-01-17,py,0 0 0 0 0 0
5,Vente Pa' Ca                                                                ,Ricky Martin     ,03-01-17,py,0 0 0 0 0 0
6,Let Me Love You                                                             ,DJ Snake         ,03-01-17,py,0 0 0 0 0 0
7,Ay Mi Dios                                                                  ,IAmChino         ,03-01-17,py,0 0 0 0 0 0
8,Vacaciones                                                                  ,Wisin            ,03-01-17,py,0 0 0 0 0 0
9,Dile Que Tu Me Quieres                                                      ,Ozuna            ,03-01-17,py,0 0 0 0 0 0
10,Closer                                                                      ,The Chainsmokers ,03-01-17,py,0 0 0 0 0 0
1,Chantaje                                                                    ,Shakira          ,04-01-17,py,0 0 0 0 0 0
2,Reggaet�n Lento (Bailemos)                                                  ,CNCO             ,04-01-17,py,0 0 0 0 0 0
3,Otra Vez (feat. J Balvin)                                                   ,Zion & Lennox    ,04-01-17,py,0 0 0 0 0 0
4,Safari                                                                      ,J Balvin         ,04-01-17,py,0 0 0 0 0 0
5,Vente Pa' Ca                                                                ,Ricky Martin     ,04-01-17,py,0 0 0 0 0 0
6,Ay Mi Dios                                                                  ,IAmChino         ,04-01-17,py,0 0 0 0 0 0
7,Let Me Love You                                                             ,DJ Snake         ,04-01-17,py,0 0 0 0 0 0
8,Dile Que Tu Me Quieres                                                      ,Ozuna            ,04-01-17,py,0 0 0 0 0 0
9,Vacaciones                                                                  ,Wisin            ,04-01-17,py,0 0 0 0 0 0
10,Closer                                                                      ,The Chainsmokers ,04-01-17,py,0 0 0 0 0 0
1,Reggaet�n Lento (Bailemos)                                                  ,CNCO             ,05-01-17,py,0 0 0 0 0 0
2,Chantaje                                                                    ,Shakira          ,05-01-17,py,0 0 0 0 0 0
3,Otra Vez (feat. J Balvin)                                                   ,Zion & Lennox    ,05-01-17,py,0 0 0 0 0 0
4,Safari                                                                      ,J Balvin         ,05-01-17,py,0 0 0 0 0 0
5,Vente Pa' Ca                                                                ,Ricky Martin     ,05-01-17,py,0 0 0 0 0 0
6,Let Me Love You                                                             ,DJ Snake         ,05-01-17,py,0 0 0 0 0 0
7,Ay Mi Dios                                                                  ,IAmChino         ,05-01-17,py,0 0 0 0 0 0
8,Vacaciones                                                                  ,Wisin            ,05-01-17,py,0 0 0 0 0 0
9,Dile Que Tu Me Quieres                                                      ,Ozuna            ,05-01-17,py,0 0 0 0 0 0
10,Closer                                                                      ,The Chainsmokers ,05-01-17,py,0 0 0 0 0 0
1,Reggaet�n Lento (Bailemos)                                                  ,CNCO             ,06-01-17,py,0 1 0 0 1 0
2,Chantaje                                                                    ,Shakira          ,06-01-17,py,0 1 0 0 1 0
3,Otra Vez (feat. J Balvin)                                                   ,Zion & Lennox    ,06-01-17,py,0 1 0 0 1 0
4,Safari                                                                      ,J Balvin         ,06-01-17,py,0 1 0 0 1 0
5,Vente Pa' Ca                                                                ,Ricky Martin     ,06-01-17,py,0 1 0 0 1 0
6,Ay Mi Dios                                                                  ,IAmChino         ,06-01-17,py,0 1 0 0 1 0
7,Vacaciones                                                                  ,Wisin            ,06-01-17,py,0 1 0 0 1 0
8,Deu Onda                                                                    ,MC G15           ,06-01-17,py,0 1 0 0 1 0
9,Let Me Love You                                                             ,DJ Snake         ,06-01-17,py,0 1 0 0 1 0
10,Dile Que Tu Me Quieres                                                      ,Ozuna            ,06-01-17,py,0 1 0 0 1 0
1,Reggaet�n Lento (Bailemos)                                                  ,CNCO             ,07-01-17,py,0 0 0 0 0 0
2,Chantaje                                                                    ,Shakira          ,07-01-17,py,0 0 0 0 0 0
3,Otra Vez (feat. J Balvin)                                                   ,Zion & Lennox    ,07-01-17,py,0 0 0 0 0 0
4,Safari                                                                      ,J Balvin         ,07-01-17,py,0 0 0 0 0 0
5,Vente Pa' Ca                                                                ,Ricky Martin     ,07-01-17,py,0 0 0 0 0 0
6,Deu Onda                                                                    ,MC G15           ,07-01-17,py,0 0 0 0 0 0
7,Vacaciones                                                                  ,Wisin            ,07-01-17,py,0 0 0 0 0 0
8,Ay Mi Dios                                                                  ,IAmChino         ,07-01-17,py,0 0 0 0 0 0
9,Dile Que Tu Me Quieres                                                      ,Ozuna            ,07-01-17,py,0 0 0 0 0 0
10,Let Me Love You                                                             ,DJ Snake         ,07-01-17,py,0 0 0 0 0 0
1,Reggaet�n Lento (Bailemos)                                                  ,CNCO             ,08-01-17,py,0 0 0 0 0 0
2,Chantaje                                                                    ,Shakira          ,08-01-17,py,0 0 0 0 0 0
3,Otra Vez (feat. J Balvin)                                                   ,Zion & Lennox    ,08-01-17,py,0 0 0 0 0 0
4,Safari                                                                      ,J Balvin         ,08-01-17,py,0 0 0 0 0 0
5,Deu Onda                                                                    ,MC G15           ,08-01-17,py,0 0 0 0 0 0
6,Vente Pa' Ca                                                                ,Ricky Martin     ,08-01-17,py,0 0 0 0 0 0
7,Vacaciones                                                                  ,Wisin            ,08-01-17,py,0 0 0 0 0 0
8,Ay Mi Dios                                                                  ,IAmChino         ,08-01-17,py,0 0 0 0 0 0
9,Dile Que Tu Me Quieres                                                      ,Ozuna            ,08-01-17,py,0 0 0 0 0 0
10,Let Me Love You                                                             ,DJ Snake         ,08-01-17,py,0 0 0 0 0 0
1,Reggaet�n Lento (Bailemos)                                                  ,CNCO             ,09-01-17,py,0 0 0 0 0 0
2,Chantaje                                                                    ,Shakira          ,09-01-17,py,0 0 0 0 0 0
3,Otra Vez (feat. J Balvin)                                                   ,Zion & Lennox    ,09-01-17,py,0 0 0 0 0 0
4,Safari                                                                      ,J Balvin         ,09-01-17,py,0 0 0 0 0 0
5,Deu Onda                                                                    ,MC G15           ,09-01-17,py,0 0 0 0 0 0
6,Vente Pa' Ca                                                                ,Ricky Martin     ,09-01-17,py,0 0 0 0 0 0
7,Vacaciones                                                                  ,Wisin            ,09-01-17,py,0 0 0 0 0 0
8,Dile Que Tu Me Quieres                                                      ,Ozuna            ,09-01-17,py,0 0 0 0 0 0
9,Ay Mi Dios                                                                  ,IAmChino         ,09-01-17,py,0 0 0 0 0 0
10,Let Me Love You                                                             ,DJ Snake         ,09-01-17,py,0 0 0 0 0 0
1,Reggaet�n Lento (Bailemos)                                                  ,CNCO             ,10-01-17,py,0 0 0 0 0 0
