Position,TrackName,Artist,Date,Country,Indicators
1,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,01-01-17,se,0 0 0 0 0 0
2,Alone                                                                       ,Alan Walker      ,01-01-17,se,0 0 0 0 0 0
3,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,01-01-17,se,0 0 0 0 0 0
4,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,01-01-17,se,0 0 0 0 0 0
5,Say You Won't Let Go                                                        ,James Arthur     ,01-01-17,se,0 0 0 0 0 0
6,Solo Dance                                                                  ,Martin Jensen    ,01-01-17,se,0 0 0 0 0 0
7,I Feel It Coming                                                            ,The Weeknd       ,01-01-17,se,0 0 0 0 0 0
8,Starboy                                                                     ,The Weeknd       ,01-01-17,se,0 0 0 0 0 0
9,Let Me Love You                                                             ,DJ Snake         ,01-01-17,se,0 0 0 0 0 0
10,Closer                                                                      ,The Chainsmokers ,01-01-17,se,0 0 0 0 0 0
1,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,02-01-17,se,0 0 0 0 0 0
2,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,02-01-17,se,0 0 0 0 0 0
3,Alone                                                                       ,Alan Walker      ,02-01-17,se,0 0 0 0 0 0
4,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,02-01-17,se,0 0 0 0 0 0
5,Say You Won't Let Go                                                        ,James Arthur     ,02-01-17,se,0 0 0 0 0 0
6,Solo Dance                                                                  ,Martin Jensen    ,02-01-17,se,0 0 0 0 0 0
7,I Feel It Coming                                                            ,The Weeknd       ,02-01-17,se,0 0 0 0 0 0
8,Starboy                                                                     ,The Weeknd       ,02-01-17,se,0 0 0 0 0 0
9,Let Me Love You                                                             ,DJ Snake         ,02-01-17,se,0 0 0 0 0 0
10,Now and Later                                                               ,Sage The Gemini  ,02-01-17,se,0 0 0 0 0 0
1,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,03-01-17,se,0 0 0 0 0 0
2,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,03-01-17,se,0 0 0 0 0 0
3,Alone                                                                       ,Alan Walker      ,03-01-17,se,0 0 0 0 0 0
4,Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,03-01-17,se,0 0 0 0 0 0
5,Say You Won't Let Go                                                        ,James Arthur     ,03-01-17,se,0 0 0 0 0 0
6,Solo Dance                                                                  ,Martin Jensen    ,03-01-17,se,0 0 0 0 0 0
7,Starboy                                                                     ,The Weeknd       ,03-01-17,se,0 0 0 0 0 0
8,I Feel It Coming                                                            ,The Weeknd       ,03-01-17,se,0 0 0 0 0 0
9,Hear Me Now                                                                 ,Alok             ,03-01-17,se,0 0 0 0 0 0
10,Now and Later                                                               ,Sage The Gemini  ,03-01-17,se,0 0 0 0 0 0
1,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,04-01-17,se,0 0 0 0 0 0
2,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,04-01-17,se,0 0 0 0 0 0
3,Alone                                                                       ,Alan Walker      ,04-01-17,se,0 0 0 0 0 0
4,Say You Won't Let Go                                                        ,James Arthur     ,04-01-17,se,0 0 0 0 0 0
