Position,Track Name,Artist,Date,Country
1,Closer                                                                      ,The Chainsmokers ,01/01/2017,tw
2,Starboy                                                                     ,The Weeknd       ,01/01/2017,tw
3,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,01/01/2017,tw
4,Let Me Love You                                                             ,DJ Snake         ,01/01/2017,tw
5,帥到分手                                                                ,NICKTHEREAL      ,01/01/2017,tw
6,Don't Wanna Know                                                            ,Maroon 5         ,01/01/2017,tw
7,Say You Won't Let Go                                                        ,James Arthur     ,01/01/2017,tw
8,All We Know                                                                 ,The Chainsmokers ,01/01/2017,tw
9,Alone                                                                       ,Alan Walker      ,01/01/2017,tw
10,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,01/01/2017,tw
1,Closer                                                                      ,The Chainsmokers ,02/01/2017,tw
2,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,02/01/2017,tw
3,Starboy                                                                     ,The Weeknd       ,02/01/2017,tw
4,Let Me Love You                                                             ,DJ Snake         ,02/01/2017,tw
5,Say You Won't Let Go                                                        ,James Arthur     ,02/01/2017,tw
6,Don't Wanna Know                                                            ,Maroon 5         ,02/01/2017,tw
7,帥到分手                                                                ,NICKTHEREAL      ,02/01/2017,tw
8,Alone                                                                       ,Alan Walker      ,02/01/2017,tw
9,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,02/01/2017,tw
10,All We Know                                                                 ,The Chainsmokers ,02/01/2017,tw
1,Closer                                                                      ,The Chainsmokers ,03/01/2017,tw
2,帥到分手                                                                ,NICKTHEREAL      ,03/01/2017,tw
3,Starboy                                                                     ,The Weeknd       ,03/01/2017,tw
4,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,03/01/2017,tw
5,Let Me Love You                                                             ,DJ Snake         ,03/01/2017,tw
6,演員                                                                      ,Joker Xue        ,03/01/2017,tw
7,Say You Won't Let Go                                                        ,James Arthur     ,03/01/2017,tw
8,Don't Wanna Know                                                            ,Maroon 5         ,03/01/2017,tw
9,�?為誰而作的歌                                                       ,JJ Lin           ,03/01/2017,tw
10,你,好�?好? - Ending Theme Song of TVBS Series "Life List"               ,Eric Chou        ,03/01/2017,tw
1,Closer                                                                      ,The Chainsmokers ,04/01/2017,tw
2,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,04/01/2017,tw
3,Starboy                                                                     ,The Weeknd       ,04/01/2017,tw
4,Let Me Love You                                                             ,DJ Snake         ,04/01/2017,tw
5,Don't Wanna Know                                                            ,Maroon 5         ,04/01/2017,tw
6,帥到分手                                                                ,NICKTHEREAL      ,04/01/2017,tw
7,All We Know                                                                 ,The Chainsmokers ,04/01/2017,tw
8,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,04/01/2017,tw
9,Alone                                                                       ,Alan Walker      ,04/01/2017,tw
10,演員                                                                      ,Joker Xue        ,04/01/2017,tw
1,Closer                                                                      ,The Chainsmokers ,05/01/2017,tw
2,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,05/01/2017,tw
3,Starboy                                                                     ,The Weeknd       ,05/01/2017,tw
4,Let Me Love You                                                             ,DJ Snake         ,05/01/2017,tw
5,Say You Won't Let Go                                                        ,James Arthur     ,05/01/2017,tw
6,Don't Wanna Know                                                            ,Maroon 5         ,05/01/2017,tw
7,All We Know                                                                 ,The Chainsmokers ,05/01/2017,tw
8,帥到分手                                                                ,NICKTHEREAL      ,05/01/2017,tw
9,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,05/01/2017,tw
10,Bad Things (with Camila Cabello)                                            ,Machine Gun Kelly,05/01/2017,tw
1,Castle on the Hill                                                          ,Ed Sheeran       ,06/01/2017,tw
2,Closer                                                                      ,The Chainsmokers ,06/01/2017,tw
3,Shape of You                                                                ,Ed Sheeran       ,06/01/2017,tw
4,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,06/01/2017,tw
5,Starboy                                                                     ,The Weeknd       ,06/01/2017,tw
6,Let Me Love You                                                             ,DJ Snake         ,06/01/2017,tw
7,Don't Wanna Know                                                            ,Maroon 5         ,06/01/2017,tw
8,All We Know                                                                 ,The Chainsmokers ,06/01/2017,tw
9,Say You Won't Let Go                                                        ,James Arthur     ,06/01/2017,tw
10,Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,06/01/2017,tw
1,Shape of You                                                                ,Ed Sheeran       ,07/01/2017,tw
2,Castle on the Hill                                                          ,Ed Sheeran       ,07/01/2017,tw
3,Closer                                                                      ,The Chainsmokers ,07/01/2017,tw
4,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,07/01/2017,tw
5,Starboy                                                                     ,The Weeknd       ,07/01/2017,tw
6,Don't Wanna Know                                                            ,Maroon 5         ,07/01/2017,tw
