Position,Track Name,Artist,Date,Country
1,Bad and Boujee (feat. Lil Uzi Vert)                                         ,Migos            ,01/01/2017,us
2,Fake Love                                                                   ,Drake            ,01/01/2017,us
3,Starboy                                                                     ,The Weeknd       ,01/01/2017,us
4,Closer                                                                      ,The Chainsmokers ,01/01/2017,us
5,Black Beatles                                                               ,Rae Sremmurd     ,01/01/2017,us
6,Broccoli (feat. Lil Yachty)                                                 ,DRAM             ,01/01/2017,us
7,One Dance                                                                   ,Drake            ,01/01/2017,us
8,Caroline                                                                    ,Aminé           ,01/01/2017,us
9,Let Me Love You                                                             ,DJ Snake         ,01/01/2017,us
10,Bounce Back                                                                 ,Big Sean         ,01/01/2017,us
1,Bad and Boujee (feat. Lil Uzi Vert)                                         ,Migos            ,02/01/2017,us
2,Fake Love                                                                   ,Drake            ,02/01/2017,us
3,Starboy                                                                     ,The Weeknd       ,02/01/2017,us
4,Closer                                                                      ,The Chainsmokers ,02/01/2017,us
5,Black Beatles                                                               ,Rae Sremmurd     ,02/01/2017,us
6,Caroline                                                                    ,Aminé           ,02/01/2017,us
7,Bounce Back                                                                 ,Big Sean         ,02/01/2017,us
8,Bad Things (with Camila Cabello)                                            ,Machine Gun Kelly,02/01/2017,us
9,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,02/01/2017,us
10,I Feel It Coming                                                            ,The Weeknd       ,02/01/2017,us
1,Bad and Boujee (feat. Lil Uzi Vert)                                         ,Migos            ,03/01/2017,us
2,Fake Love                                                                   ,Drake            ,03/01/2017,us
3,Starboy                                                                     ,The Weeknd       ,03/01/2017,us
4,Closer                                                                      ,The Chainsmokers ,03/01/2017,us
5,Black Beatles                                                               ,Rae Sremmurd     ,03/01/2017,us
6,I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,03/01/2017,us
7,Bad Things (with Camila Cabello)                                            ,Machine Gun Kelly,03/01/2017,us
8,Caroline                                                                    ,Aminé           ,03/01/2017,us
9,Bounce Back                                                                 ,Big Sean         ,03/01/2017,us
