Position,Track Name,Artist,Date,Country
1,Cuando Se Pone a Bailar                                                     ,Rombai           ,01/01/2017,uy
2,Reggaet�n Lento (Bailemos)                                                  ,CNCO             ,01/01/2017,uy
3,Chantaje                                                                    ,Shakira          ,01/01/2017,uy
4,Vente Pa' Ca                                                                ,Ricky Martin     ,01/01/2017,uy
5,Safari                                                                      ,J Balvin         ,01/01/2017,uy
6,Shaky Shaky                                                                 ,Daddy Yankee     ,01/01/2017,uy
7,Otra Vez (feat. J Balvin)                                                   ,Zion & Lennox    ,01/01/2017,uy
8,La Bicicleta                                                                ,Carlos Vives     ,01/01/2017,uy
9,Traicionera                                                                 ,Sebastian Yatra  ,01/01/2017,uy
10,Carnavalintro                                                               ,CHANO            ,01/01/2017,uy
1,Reggaet�n Lento (Bailemos)                                                  ,CNCO             ,02/01/2017,uy
2,Cuando Se Pone a Bailar                                                     ,Rombai           ,02/01/2017,uy
3,Chantaje                                                                    ,Shakira          ,02/01/2017,uy
4,Vente Pa' Ca                                                                ,Ricky Martin     ,02/01/2017,uy
5,Safari                                                                      ,J Balvin         ,02/01/2017,uy
6,Otra Vez (feat. J Balvin)                                                   ,Zion & Lennox    ,02/01/2017,uy
7,Shaky Shaky                                                                 ,Daddy Yankee     ,02/01/2017,uy
8,Traicionera                                                                 ,Sebastian Yatra  ,02/01/2017,uy
9,Carnavalintro                                                               ,CHANO            ,02/01/2017,uy
10,Piel a Piel                                                                 ,Dame 5           ,02/01/2017,uy
1,Reggaet�n Lento (Bailemos)                                                  ,CNCO             ,03/01/2017,uy
2,Cuando Se Pone a Bailar                                                     ,Rombai           ,03/01/2017,uy
3,Chantaje                                                                    ,Shakira          ,03/01/2017,uy
4,Vente Pa' Ca                                                                ,Ricky Martin     ,03/01/2017,uy
5,Safari                                                                      ,J Balvin         ,03/01/2017,uy
6,Otra Vez (feat. J Balvin)                                                   ,Zion & Lennox    ,03/01/2017,uy
7,Shaky Shaky                                                                 ,Daddy Yankee     ,03/01/2017,uy
8,Traicionera                                                                 ,Sebastian Yatra  ,03/01/2017,uy
9,Piel a Piel                                                                 ,Dame 5           ,03/01/2017,uy
10,Carnavalintro                                                               ,CHANO            ,03/01/2017,uy
1,Cuando Se Pone a Bailar                                                     ,Rombai           ,04/01/2017,uy
2,Reggaet�n Lento (Bailemos)                                                  ,CNCO             ,04/01/2017,uy
3,Chantaje                                                                    ,Shakira          ,04/01/2017,uy
4,Vente Pa' Ca                                                                ,Ricky Martin     ,04/01/2017,uy
5,Safari                                                                      ,J Balvin         ,04/01/2017,uy
