Date,Country,Indicators
01/01/2017,ar,0 1 0 0 0 0
01/01/2017,at,0 0 0 0 0 0
01/01/2017,au,0 0 0 0 0 0
01/01/2017,be,1 1 1 0 0 0
01/01/2017,bo,0 0 0 0 0 0
01/01/2017,br,0 0 0 0 0 0
01/01/2017,ca,0 1 0 0 0 0
01/01/2017,ch,1 0 0 0 0 0
01/01/2017,cl,0 0 0 0 0 0
01/01/2017,co,0 0 0 0 0 0
01/01/2017,cr,0 1 0 0 0 0
01/01/2017,cz,1 0 1 0 0 0
01/01/2017,de,0 0 0 0 0 0
01/01/2017,dk,0 1 0 0 0 0
01/01/2017,do,0 1 0 0 0 0
01/01/2017,ec,0 1 0 0 0 0
01/01/2017,ee,1 1 1 0 0 0
01/01/2017,es,0 0 0 0 0 0
01/01/2017,fi,0 1 0 0 0 0
01/01/2017,fr,0 0 1 0 0 0
01/01/2017,gb,0 1 0 0 0 0
01/01/2017,gr,0 0 0 0 0 0
01/01/2017,gt,0 0 0 0 0 0
01/01/2017,hk,0 0 0 0 0 0
01/01/2017,hn,0 0 0 0 0 0
01/01/2017,hu,1 0 1 0 0 0
01/01/2017,id,0 1 0 0 0 0
01/01/2017,ie,0 1 0 0 0 0
01/01/2017,is,0 1 0 0 0 0
01/01/2017,it,0 1 0 0 0 0
01/01/2017,jp,0 0 0 0 0 0
01/01/2017,lt,0 1 0 0 0 0
01/01/2017,lu,1 1 1 0 0 0
01/01/2017,lv,0 1 0 0 0 0
01/01/2017,mx,0 0 0 0 0 0
01/01/2017,my,0 1 0 0 0 0
01/01/2017,nl,1 1 1 0 0 0
01/01/2017,no,0 1 1 0 0 0
01/01/2017,nz,0 0 0 0 0 0
01/01/2017,pa,0 0 0 0 0 0
01/01/2017,pe,0 0 0 0 0 0
01/01/2017,ph,0 0 0 0 0 0
01/01/2017,pl,0 0 0 0 0 0
01/01/2017,pt,0 0 0 0 0 0
01/01/2017,py,0 1 0 0 1 0
01/01/2017,se,0 0 0 0 0 0
01/01/2017,sg,0 1 0 0 0 0
01/01/2017,sk,0 0 0 0 0 0
01/01/2017,sv,0 0 0 0 0 0
01/01/2017,tr,0 1 1 0 0 0
01/01/2017,tw,1 0 0 0 0 0
01/01/2017,us,0 1 0 0 0 0
01/01/2017,uy,0 1 0 0 1 0
02/01/2017,ar,0 0 0 0 0 0
02/01/2017,at,0 1 0 0 0 0
02/01/2017,au,0 1 0 0 0 0
02/01/2017,be,1 1 1 0 0 0
02/01/2017,bo,0 1 0 0 0 0
02/01/2017,br,0 0 0 0 0 0
02/01/2017,ca,0 0 0 0 0 0
02/01/2017,ch,0 0 1 0 0 0
02/01/2017,cl,0 0 0 0 0 0
02/01/2017,co,0 0 0 0 0 0
02/01/2017,cr,0 1 0 0 0 0
02/01/2017,cz,1 0 1 0 0 0
02/01/2017,de,0 1 1 0 0 0
02/01/2017,dk,0 0 0 0 0 0
02/01/2017,do,0 0 0 0 0 0
02/01/2017,ec,0 0 0 0 0 0
02/01/2017,ee,0 0 1 0 0 0
02/01/2017,es,0 0 0 0 0 0
02/01/2017,fi,0 1 1 0 0 0
02/01/2017,fr,0 1 0 0 0 0
02/01/2017,gb,0 0 0 0 0 0
02/01/2017,gr,0 0 0 0 0 0
02/01/2017,gt,0 0 0 0 0 0
02/01/2017,hk,0 0 0 0 0 0
02/01/2017,hn,0 0 0 0 0 0
02/01/2017,hu,1 0 0 0 0 0
02/01/2017,id,0 0 0 0 0 0
02/01/2017,ie,0 1 0 0 0 0
02/01/2017,is,0 1 0 0 0 0
02/01/2017,it,0 1 0 0 0 0
02/01/2017,jp,0 0 0 0 0 0
02/01/2017,lt,0 1 1 0 0 0
02/01/2017,lu,1 0 1 0 0 0
02/01/2017,lv,0 1 1 0 0 0
02/01/2017,mx,0 0 0 0 0 0
02/01/2017,my,0 1 0 0 1 0
02/01/2017,nl,0 1 0 0 0 0
02/01/2017,no,0 0 0 0 0 0
02/01/2017,nz,0 1 0 0 0 0
02/01/2017,pa,0 0 0 0 0 0
02/01/2017,pe,0 0 0 0 0 0
02/01/2017,ph,0 0 0 0 0 0
02/01/2017,pl,0 0 1 0 0 0
02/01/2017,pt,0 1 0 0 0 0
02/01/2017,py,0 0 0 0 0 0
02/01/2017,se,0 0 0 0 0 0
02/01/2017,sg,0 1 0 0 1 0
02/01/2017,sk,1 0 0 0 0 0
02/01/2017,sv,0 0 0 0 0 0
02/01/2017,tr,0 0 0 0 0 0
02/01/2017,tw,0 1 0 0 0 0
02/01/2017,us,0 0 0 0 0 0
02/01/2017,uy,0 0 0 0 0 0
03/01/2017,ar,0 1 0 0 0 0
03/01/2017,at,0 0 0 0 0 0
03/01/2017,au,0 0 0 0 0 0
03/01/2017,be,0 0 0 0 0 0
03/01/2017,bo,0 0 0 0 0 0
03/01/2017,br,0 0 0 0 0 0
03/01/2017,ca,0 1 0 0 0 0
03/01/2017,ch,1 0 0 0 0 0
03/01/2017,cl,0 0 0 0 0 0
03/01/2017,co,0 0 0 0 0 0
03/01/2017,cr,0 0 0 0 0 0
03/01/2017,cz,0 0 1 0 0 0
03/01/2017,de,0 1 1 0 0 0
03/01/2017,dk,1 1 0 0 0 0
03/01/2017,do,0 0 0 0 0 0
03/01/2017,ec,0 0 0 0 0 0
03/01/2017,ee,0 0 1 0 0 0
03/01/2017,es,0 0 0 0 0 0
03/01/2017,fi,0 1 1 0 0 0
03/01/2017,fr,0 0 0 0 0 0
03/01/2017,gb,0 0 0 0 0 0
03/01/2017,gr,0 0 0 0 0 0
03/01/2017,gt,1 0 0 0 0 0
03/01/2017,hk,0 0 0 0 0 0
03/01/2017,hn,0 0 0 0 0 0
03/01/2017,hu,0 0 0 0 0 0
03/01/2017,id,0 0 0 0 0 0
03/01/2017,ie,0 1 0 0 0 0
03/01/2017,is,0 0 0 0 0 0
03/01/2017,it,0 1 0 0 1 0
03/01/2017,jp,0 0 0 0 0 0
03/01/2017,lt,0 0 1 0 0 0
03/01/2017,lu,1 1 1 0 0 0
03/01/2017,lv,0 0 1 0 0 0
03/01/2017,mx,0 0 0 0 0 0
03/01/2017,my,0 1 0 0 1 0
03/01/2017,nl,0 1 0 0 0 0
03/01/2017,no,0 0 0 0 0 0
03/01/2017,nz,0 1 0 0 0 0
03/01/2017,pa,0 0 0 0 0 0
03/01/2017,pe,0 0 0 0 0 0
03/01/2017,ph,0 0 0 0 0 0
03/01/2017,pl,0 0 1 0 0 0
03/01/2017,pt,1 1 0 0 0 0
03/01/2017,py,0 0 0 0 0 0
03/01/2017,se,0 0 0 0 0 0
03/01/2017,sg,0 1 0 0 1 0
03/01/2017,sk,0 0 1 0 0 0
03/01/2017,sv,0 0 0 0 0 0
03/01/2017,tr,0 0 0 0 0 0
03/01/2017,tw,0 0 0 0 0 0
03/01/2017,us,0 0 0 0 0 0
03/01/2017,uy,0 1 0 0 1 0
04/01/2017,ar,0 0 0 0 0 0
04/01/2017,at,0 1 0 0 0 0
04/01/2017,au,0 1 0 0 0 0
04/01/2017,be,0 1 0 0 0 0
04/01/2017,bo,0 0 0 0 0 0
04/01/2017,br,0 0 0 0 0 0
04/01/2017,ca,0 1 1 0 0 0
04/01/2017,ch,0 1 1 0 0 0
04/01/2017,cl,0 0 0 0 0 0
04/01/2017,co,0 0 0 0 0 0
04/01/2017,cr,0 0 0 0 0 0
04/01/2017,cz,0 1 1 0 0 0
04/01/2017,de,0 1 1 1 1 0
04/01/2017,dk,0 1 1 0 0 0
04/01/2017,do,0 1 0 0 0 0
04/01/2017,ec,0 1 0 0 0 0
04/01/2017,ee,0 0 1 0 0 0
04/01/2017,es,1 0 0 0 0 0
04/01/2017,fi,0 0 1 0 0 0
04/01/2017,fr,0 1 0 0 0 0
04/01/2017,gb,0 1 0 0 0 0
04/01/2017,gr,0 1 0 0 0 0
04/01/2017,gt,0 0 0 0 0 0
04/01/2017,hk,0 0 0 0 0 0
04/01/2017,hn,0 0 0 0 0 0
04/01/2017,hu,0 0 1 0 0 0
04/01/2017,id,0 0 0 0 0 0
04/01/2017,ie,0 1 0 0 0 0
04/01/2017,is,0 1 0 0 0 0
04/01/2017,it,0 0 0 0 0 0
04/01/2017,jp,0 0 0 0 0 0
04/01/2017,lt,0 1 1 0 0 0
04/01/2017,lu,1 1 1 0 1 0
04/01/2017,lv,0 0 1 0 0 0
04/01/2017,mx,0 0 0 0 0 0
04/01/2017,my,0 0 0 0 0 0
04/01/2017,nl,0 1 0 0 0 0
04/01/2017,no,0 0 1 0 0 0
04/01/2017,nz,0 1 0 0 0 0
04/01/2017,pa,0 0 0 0 0 0
04/01/2017,pe,0 0 0 0 0 0
04/01/2017,ph,0 1 0 0 0 0
04/01/2017,pl,0 0 1 0 0 0
04/01/2017,pt,1 0 0 0 0 0
04/01/2017,py,0 0 0 0 0 0
04/01/2017,se,0 0 0 0 0 0
04/01/2017,sg,0 1 0 0 0 0
04/01/2017,sk,0 0 1 0 0 0
04/01/2017,sv,0 0 0 0 0 0
04/01/2017,tr,0 0 0 0 0 0
04/01/2017,tw,0 0 0 0 0 0
04/01/2017,us,0 0 0 0 0 0
04/01/2017,uy,0 1 0 0 1 0
05/01/2017,ar,0 0 0 0 0 0
05/01/2017,at,0 0 0 0 0 0
05/01/2017,au,0 1 0 0 0 0
05/01/2017,be,0 1 0 0 0 0
05/01/2017,bo,0 0 0 0 1 0
05/01/2017,br,0 0 0 0 0 0
05/01/2017,ca,0 0 1 0 0 0
05/01/2017,ch,1 1 1 0 0 0
05/01/2017,cl,0 0 0 0 0 0
05/01/2017,co,0 1 0 0 0 0
05/01/2017,cr,0 0 0 0 0 0
05/01/2017,cz,0 0 1 0 0 0
05/01/2017,de,0 0 1 0 0 0
05/01/2017,dk,0 0 1 0 0 0
05/01/2017,do,0 0 0 0 0 0
05/01/2017,ec,0 1 0 0 0 0
05/01/2017,ee,0 0 1 0 0 0
05/01/2017,es,1 0 0 0 0 0
05/01/2017,fi,0 0 1 0 0 0
05/01/2017,fr,0 0 0 0 0 0
05/01/2017,gb,0 0 0 0 0 0
05/01/2017,gr,0 1 0 0 0 0
05/01/2017,gt,1 0 0 0 0 0
05/01/2017,hk,0 0 0 0 0 0
05/01/2017,hn,0 0 0 0 0 0
