Track Name,Artist,Streams,Date,Country,Indicators
Chantaje                                                                    ,Shakira          ,253019,01/01/2017,ar,0 1 0 0 0 0
Vente Pa' Ca                                                                ,Ricky Martin     ,223988,01/01/2017,ar,0 1 0 0 0 0
Reggaet�n Lento (Bailemos)                                                  ,CNCO             ,210943,01/01/2017,ar,0 1 0 0 0 0
Safari                                                                      ,J Balvin         ,173865,01/01/2017,ar,0 1 0 0 0 0
Shaky Shaky                                                                 ,Daddy Yankee     ,153956,01/01/2017,ar,0 1 0 0 0 0
Traicionera                                                                 ,Sebastian Yatra  ,151140,01/01/2017,ar,0 1 0 0 0 0
Cuando Se Pone a Bailar                                                     ,Rombai           ,148369,01/01/2017,ar,0 1 0 0 0 0
Otra Vez (feat. J Balvin)                                                   ,Zion & Lennox    ,143004,01/01/2017,ar,0 1 0 0 0 0
La Bicicleta                                                                ,Carlos Vives     ,126389,01/01/2017,ar,0 1 0 0 0 0
Dile Que Tu Me Quieres                                                      ,Ozuna            ,112012,01/01/2017,ar,0 1 0 0 0 0
Chantaje                                                                    ,Shakira          ,185399,02/01/2017,ar,0 0 0 0 0 0
Reggaet�n Lento (Bailemos)                                                  ,CNCO             ,165503,02/01/2017,ar,0 0 0 0 0 0
Vente Pa' Ca                                                                ,Ricky Martin     ,142972,02/01/2017,ar,0 0 0 0 0 0
Safari                                                                      ,J Balvin         ,121220,02/01/2017,ar,0 0 0 0 0 0
Traicionera                                                                 ,Sebastian Yatra  ,112753,02/01/2017,ar,0 0 0 0 0 0
Cuando Se Pone a Bailar                                                     ,Rombai           ,112324,02/01/2017,ar,0 0 0 0 0 0
Otra Vez (feat. J Balvin)                                                   ,Zion & Lennox    ,110816,02/01/2017,ar,0 0 0 0 0 0
Shaky Shaky                                                                 ,Daddy Yankee     ,100958,02/01/2017,ar,0 0 0 0 0 0
Dile Que Tu Me Quieres                                                      ,Ozuna            ,84332,02/01/2017,ar,0 0 0 0 0 0
Let Me Love You                                                             ,DJ Snake         ,80115,02/01/2017,ar,0 0 0 0 0 0
Chantaje                                                                    ,Shakira          ,183132,03/01/2017,ar,0 1 0 0 0 0
Reggaet�n Lento (Bailemos)                                                  ,CNCO             ,165390,03/01/2017,ar,0 1 0 0 0 0
Vente Pa' Ca                                                                ,Ricky Martin     ,137013,03/01/2017,ar,0 1 0 0 0 0
Safari                                                                      ,J Balvin         ,118071,03/01/2017,ar,0 1 0 0 0 0
Cuando Se Pone a Bailar                                                     ,Rombai           ,114834,03/01/2017,ar,0 1 0 0 0 0
Otra Vez (feat. J Balvin)                                                   ,Zion & Lennox    ,109984,03/01/2017,ar,0 1 0 0 0 0
Traicionera                                                                 ,Sebastian Yatra  ,107366,03/01/2017,ar,0 1 0 0 0 0
Shaky Shaky                                                                 ,Daddy Yankee     ,96758,03/01/2017,ar,0 1 0 0 0 0
Dile Que Tu Me Quieres                                                      ,Ozuna            ,84938,03/01/2017,ar,0 1 0 0 0 0
Let Me Love You                                                             ,DJ Snake         ,79382,03/01/2017,ar,0 1 0 0 0 0
Chantaje                                                                    ,Shakira          ,186926,04/01/2017,ar,0 0 0 0 0 0
Reggaet�n Lento (Bailemos)                                                  ,CNCO             ,166804,04/01/2017,ar,0 0 0 0 0 0
Vente Pa' Ca                                                                ,Ricky Martin     ,136142,04/01/2017,ar,0 0 0 0 0 0
Cuando Se Pone a Bailar                                                     ,Rombai           ,118907,04/01/2017,ar,0 0 0 0 0 0
Safari                                                                      ,J Balvin         ,116107,04/01/2017,ar,0 0 0 0 0 0
Traicionera                                                                 ,Sebastian Yatra  ,107825,04/01/2017,ar,0 0 0 0 0 0
Otra Vez (feat. J Balvin)                                                   ,Zion & Lennox    ,100493,04/01/2017,ar,0 0 0 0 0 0
Shaky Shaky                                                                 ,Daddy Yankee     ,89949,04/01/2017,ar,0 0 0 0 0 0
Dile Que Tu Me Quieres                                                      ,Ozuna            ,83889,04/01/2017,ar,0 0 0 0 0 0
Let Me Love You                                                             ,DJ Snake         ,79847,04/01/2017,ar,0 0 0 0 0 0
Chantaje                                                                    ,Shakira          ,191288,05/01/2017,ar,0 0 0 0 0 0
Reggaet�n Lento (Bailemos)                                                  ,CNCO             ,175736,05/01/2017,ar,0 0 0 0 0 0
