Track Name,Artist,Streams,Date,Country,Indicators
Alone                                                                       ,Alan Walker      ,12990,01/01/2017,at,0 0 0 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,12897,01/01/2017,at,0 0 0 0 0 0
Chöre                                                                      ,Mark Forster     ,10852,01/01/2017,at,0 0 0 0 0 0
Bad Ideas                                                                   ,Alle Farben      ,10837,01/01/2017,at,0 0 0 0 0 0
Closer                                                                      ,The Chainsmokers ,10317,01/01/2017,at,0 0 0 0 0 0
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,9551,01/01/2017,at,0 0 0 0 0 0
Starboy                                                                     ,The Weeknd       ,9165,01/01/2017,at,0 0 0 0 0 0
Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,9146,01/01/2017,at,0 0 0 0 0 0
Say You Won't Let Go                                                        ,James Arthur     ,8756,01/01/2017,at,0 0 0 0 0 0
Shed a Light                                                                ,Robin Schulz     ,8726,01/01/2017,at,0 0 0 0 0 0
Alone                                                                       ,Alan Walker      ,15752,02/01/2017,at,0 1 0 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,15587,02/01/2017,at,0 1 0 0 0 0
Chöre                                                                      ,Mark Forster     ,12681,02/01/2017,at,0 1 0 0 0 0
Bad Ideas                                                                   ,Alle Farben      ,12588,02/01/2017,at,0 1 0 0 0 0
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,12330,02/01/2017,at,0 1 0 0 0 0
Closer                                                                      ,The Chainsmokers ,11774,02/01/2017,at,0 1 0 0 0 0
Say You Won't Let Go                                                        ,James Arthur     ,11424,02/01/2017,at,0 1 0 0 0 0
Shed a Light                                                                ,Robin Schulz     ,11274,02/01/2017,at,0 1 0 0 0 0
Starboy                                                                     ,The Weeknd       ,11007,02/01/2017,at,0 1 0 0 0 0
Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,10848,02/01/2017,at,0 1 0 0 0 0
Alone                                                                       ,Alan Walker      ,15830,03/01/2017,at,0 0 0 0 0 0
