Track Name,Artist,Streams,Date,Country,Indicators
Starboy                                                                     ,The Weeknd       ,107350,01/01/2017,au,0 0 0 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,105111,01/01/2017,au,0 0 0 0 0 0
Closer                                                                      ,The Chainsmokers ,100617,01/01/2017,au,0 0 0 0 0 0
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,88335,01/01/2017,au,0 0 0 0 0 0
Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,83729,01/01/2017,au,0 0 0 0 0 0
Say You Won't Let Go                                                        ,James Arthur     ,81542,01/01/2017,au,0 0 0 0 0 0
I Feel It Coming                                                            ,The Weeknd       ,81455,01/01/2017,au,0 0 0 0 0 0
Sexual                                                                      ,NEIKED           ,80609,01/01/2017,au,0 0 0 0 0 0
Let Me Love You                                                             ,DJ Snake         ,75363,01/01/2017,au,0 0 0 0 0 0
The Mack                                                                    ,Nevada           ,74950,01/01/2017,au,0 0 0 0 0 0
Starboy                                                                     ,The Weeknd       ,128747,02/01/2017,au,0 1 0 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,123655,02/01/2017,au,0 1 0 0 0 0
Closer                                                                      ,The Chainsmokers ,115949,02/01/2017,au,0 1 0 0 0 0
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,106530,02/01/2017,au,0 1 0 0 0 0
Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,102095,02/01/2017,au,0 1 0 0 0 0
Say You Won't Let Go                                                        ,James Arthur     ,98610,02/01/2017,au,0 1 0 0 0 0
Sexual                                                                      ,NEIKED           ,97793,02/01/2017,au,0 1 0 0 0 0
I Feel It Coming                                                            ,The Weeknd       ,97256,02/01/2017,au,0 1 0 0 0 0
The Mack                                                                    ,Nevada           ,90733,02/01/2017,au,0 1 0 0 0 0
Let Me Love You                                                             ,DJ Snake         ,88654,02/01/2017,au,0 1 0 0 0 0
Starboy                                                                     ,The Weeknd       ,132081,03/01/2017,au,0 0 0 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,125830,03/01/2017,au,0 0 0 0 0 0
Closer                                                                      ,The Chainsmokers ,117317,03/01/2017,au,0 0 0 0 0 0
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,116448,03/01/2017,au,0 0 0 0 0 0
Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,106573,03/01/2017,au,0 0 0 0 0 0
I Feel It Coming                                                            ,The Weeknd       ,104043,03/01/2017,au,0 0 0 0 0 0
Say You Won't Let Go                                                        ,James Arthur     ,101725,03/01/2017,au,0 0 0 0 0 0
Sexual                                                                      ,NEIKED           ,100622,03/01/2017,au,0 0 0 0 0 0
The Mack                                                                    ,Nevada           ,94787,03/01/2017,au,0 0 0 0 0 0
Don't Wanna Know                                                            ,Maroon 5         ,92283,03/01/2017,au,0 0 0 0 0 0
Starboy                                                                     ,The Weeknd       ,133028,04/01/2017,au,0 1 0 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,127214,04/01/2017,au,0 1 0 0 0 0
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,121344,04/01/2017,au,0 1 0 0 0 0
Closer                                                                      ,The Chainsmokers ,119151,04/01/2017,au,0 1 0 0 0 0
Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,109620,04/01/2017,au,0 1 0 0 0 0
I Feel It Coming                                                            ,The Weeknd       ,107031,04/01/2017,au,0 1 0 0 0 0
Say You Won't Let Go                                                        ,James Arthur     ,100076,04/01/2017,au,0 1 0 0 0 0
Sexual                                                                      ,NEIKED           ,99616,04/01/2017,au,0 1 0 0 0 0
The Mack                                                                    ,Nevada           ,97080,04/01/2017,au,0 1 0 0 0 0
Let Me Love You                                                             ,DJ Snake         ,93821,04/01/2017,au,0 1 0 0 0 0
Starboy                                                                     ,The Weeknd       ,131739,05/01/2017,au,0 1 0 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,126086,05/01/2017,au,0 1 0 0 0 0
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,124306,05/01/2017,au,0 1 0 0 0 0
Closer                                                                      ,The Chainsmokers ,119832,05/01/2017,au,0 1 0 0 0 0
I Feel It Coming                                                            ,The Weeknd       ,109269,05/01/2017,au,0 1 0 0 0 0
Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,106727,05/01/2017,au,0 1 0 0 0 0
Say You Won't Let Go                                                        ,James Arthur     ,101953,05/01/2017,au,0 1 0 0 0 0
Sexual                                                                      ,NEIKED           ,101108,05/01/2017,au,0 1 0 0 0 0
Don't Wanna Know                                                            ,Maroon 5         ,94983,05/01/2017,au,0 1 0 0 0 0
Stranger                                                                    ,Peking Duk       ,94112,05/01/2017,au,0 1 0 0 0 0
Shape of You                                                                ,Ed Sheeran       ,155006,06/01/2017,au,0 0 0 0 0 0
Castle on the Hill                                                          ,Ed Sheeran       ,151511,06/01/2017,au,0 0 0 0 0 0
Starboy                                                                     ,The Weeknd       ,133181,06/01/2017,au,0 0 0 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,127685,06/01/2017,au,0 0 0 0 0 0
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,123248,06/01/2017,au,0 0 0 0 0 0
Closer                                                                      ,The Chainsmokers ,119989,06/01/2017,au,0 0 0 0 0 0
I Feel It Coming                                                            ,The Weeknd       ,112265,06/01/2017,au,0 0 0 0 0 0
Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,108094,06/01/2017,au,0 0 0 0 0 0
Say You Won't Let Go                                                        ,James Arthur     ,101218,06/01/2017,au,0 0 0 0 0 0
Sexual                                                                      ,NEIKED           ,100852,06/01/2017,au,0 0 0 0 0 0
Shape of You                                                                ,Ed Sheeran       ,199879,07/01/2017,au,0 0 0 0 0 0
Castle on the Hill                                                          ,Ed Sheeran       ,178231,07/01/2017,au,0 0 0 0 0 0
Starboy                                                                     ,The Weeknd       ,131304,07/01/2017,au,0 0 0 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,124680,07/01/2017,au,0 0 0 0 0 0
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,118829,07/01/2017,au,0 0 0 0 0 0
Closer                                                                      ,The Chainsmokers ,111825,07/01/2017,au,0 0 0 0 0 0
I Feel It Coming                                                            ,The Weeknd       ,110086,07/01/2017,au,0 0 0 0 0 0
Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,104865,07/01/2017,au,0 0 0 0 0 0
Sexual                                                                      ,NEIKED           ,100374,07/01/2017,au,0 0 0 0 0 0
Say You Won't Let Go                                                        ,James Arthur     ,98427,07/01/2017,au,0 0 0 0 0 0
Shape of You                                                                ,Ed Sheeran       ,238606,08/01/2017,au,0 0 0 0 0 0
Castle on the Hill                                                          ,Ed Sheeran       ,200191,08/01/2017,au,0 0 0 0 0 0
Starboy                                                                     ,The Weeknd       ,129502,08/01/2017,au,0 0 0 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,124981,08/01/2017,au,0 0 0 0 0 0
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,124883,08/01/2017,au,0 0 0 0 0 0
Closer                                                                      ,The Chainsmokers ,112375,08/01/2017,au,0 0 0 0 0 0
I Feel It Coming                                                            ,The Weeknd       ,108703,08/01/2017,au,0 0 0 0 0 0
Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,105920,08/01/2017,au,0 0 0 0 0 0
Say You Won't Let Go                                                        ,James Arthur     ,100235,08/01/2017,au,0 0 0 0 0 0
Sexual                                                                      ,NEIKED           ,98959,08/01/2017,au,0 0 0 0 0 0
Shape of You                                                                ,Ed Sheeran       ,250559,09/01/2017,au,0 1 0 0 0 0
Castle on the Hill                                                          ,Ed Sheeran       ,207623,09/01/2017,au,0 1 0 0 0 0
Starboy                                                                     ,The Weeknd       ,137317,09/01/2017,au,0 1 0 0 0 0
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,135165,09/01/2017,au,0 1 0 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,131415,09/01/2017,au,0 1 0 0 0 0
Closer                                                                      ,The Chainsmokers ,116779,09/01/2017,au,0 1 0 0 0 0
I Feel It Coming                                                            ,The Weeknd       ,115569,09/01/2017,au,0 1 0 0 0 0
Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,114125,09/01/2017,au,0 1 0 0 0 0
Say You Won't Let Go                                                        ,James Arthur     ,106666,09/01/2017,au,0 1 0 0 0 0
Sexual                                                                      ,NEIKED           ,104205,09/01/2017,au,0 1 0 0 0 0
Shape of You                                                                ,Ed Sheeran       ,247920,10/01/2017,au,0 0 0 0 0 0
Castle on the Hill                                                          ,Ed Sheeran       ,201399,10/01/2017,au,0 0 0 0 0 0
Starboy                                                                     ,The Weeknd       ,138467,10/01/2017,au,0 0 0 0 0 0
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,136202,10/01/2017,au,0 0 0 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,132393,10/01/2017,au,0 0 0 0 0 0
I Feel It Coming                                                            ,The Weeknd       ,117248,10/01/2017,au,0 0 0 0 0 0
Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,117168,10/01/2017,au,0 0 0 0 0 0
Closer                                                                      ,The Chainsmokers ,116326,10/01/2017,au,0 0 0 0 0 0
Say You Won't Let Go                                                        ,James Arthur     ,106920,10/01/2017,au,0 0 0 0 0 0
Sexual                                                                      ,NEIKED           ,104912,10/01/2017,au,0 0 0 0 0 0
Shape of You                                                                ,Ed Sheeran       ,246177,11/01/2017,au,0 0 0 0 0 0
Castle on the Hill                                                          ,Ed Sheeran       ,195686,11/01/2017,au,0 0 0 0 0 0
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,137302,11/01/2017,au,0 0 0 0 0 0
Starboy                                                                     ,The Weeknd       ,137100,11/01/2017,au,0 0 0 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,136646,11/01/2017,au,0 0 0 0 0 0
Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,119700,11/01/2017,au,0 0 0 0 0 0
I Feel It Coming                                                            ,The Weeknd       ,118241,11/01/2017,au,0 0 0 0 0 0
Closer                                                                      ,The Chainsmokers ,118220,11/01/2017,au,0 0 0 0 0 0
Say You Won't Let Go                                                        ,James Arthur     ,105667,11/01/2017,au,0 0 0 0 0 0
Stranger                                                                    ,Peking Duk       ,104026,11/01/2017,au,0 0 0 0 0 0
Shape of You                                                                ,Ed Sheeran       ,245963,12/01/2017,au,0 0 0 0 0 0
Castle on the Hill                                                          ,Ed Sheeran       ,191362,12/01/2017,au,0 0 0 0 0 0
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,140013,12/01/2017,au,0 0 0 0 0 0
Starboy                                                                     ,The Weeknd       ,137555,12/01/2017,au,0 0 0 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,133836,12/01/2017,au,0 0 0 0 0 0
I Feel It Coming                                                            ,The Weeknd       ,119703,12/01/2017,au,0 0 0 0 0 0
Closer                                                                      ,The Chainsmokers ,118099,12/01/2017,au,0 0 0 0 0 0
Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,116670,12/01/2017,au,0 0 0 0 0 0
Say You Won't Let Go                                                        ,James Arthur     ,107449,12/01/2017,au,0 0 0 0 0 0
Sexual                                                                      ,NEIKED           ,104769,12/01/2017,au,0 0 0 0 0 0
Shape of You                                                                ,Ed Sheeran       ,239733,13/01/2017,au,0 0 0 0 0 0
Castle on the Hill                                                          ,Ed Sheeran       ,176734,13/01/2017,au,0 0 0 0 0 0
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,140788,13/01/2017,au,0 0 0 0 0 0
Starboy                                                                     ,The Weeknd       ,137024,13/01/2017,au,0 0 0 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,134715,13/01/2017,au,0 0 0 0 0 0
I Feel It Coming                                                            ,The Weeknd       ,124356,13/01/2017,au,0 0 0 0 0 0
Closer                                                                      ,The Chainsmokers ,119701,13/01/2017,au,0 0 0 0 0 0
Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,115651,13/01/2017,au,0 0 0 0 0 0
Say You Won't Let Go                                                        ,James Arthur     ,106230,13/01/2017,au,0 0 0 0 0 0
Sexual                                                                      ,NEIKED           ,104084,13/01/2017,au,0 0 0 0 0 0
Shape of You                                                                ,Ed Sheeran       ,226443,14/01/2017,au,0 0 0 0 0 0
Castle on the Hill                                                          ,Ed Sheeran       ,165918,14/01/2017,au,0 0 0 0 0 0
Starboy                                                                     ,The Weeknd       ,133451,14/01/2017,au,0 0 0 0 0 0
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,131624,14/01/2017,au,0 0 0 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,129173,14/01/2017,au,0 0 0 0 0 0
I Feel It Coming                                                            ,The Weeknd       ,118001,14/01/2017,au,0 0 0 0 0 0
Closer                                                                      ,The Chainsmokers ,114360,14/01/2017,au,0 0 0 0 0 0
Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,110977,14/01/2017,au,0 0 0 0 0 0
Sexual                                                                      ,NEIKED           ,102996,14/01/2017,au,0 0 0 0 0 0
Say You Won't Let Go                                                        ,James Arthur     ,102774,14/01/2017,au,0 0 0 0 0 0
Shape of You                                                                ,Ed Sheeran       ,240568,15/01/2017,au,0 0 0 0 0 0
Castle on the Hill                                                          ,Ed Sheeran       ,173010,15/01/2017,au,0 0 0 0 0 0
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,134783,15/01/2017,au,0 0 0 0 0 0
Starboy                                                                     ,The Weeknd       ,127384,15/01/2017,au,0 0 0 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,125353,15/01/2017,au,0 0 0 0 0 0
I Feel It Coming                                                            ,The Weeknd       ,115039,15/01/2017,au,0 0 0 0 0 0
Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,109186,15/01/2017,au,0 0 0 0 0 0
Closer                                                                      ,The Chainsmokers ,108753,15/01/2017,au,0 0 0 0 0 0
Paris                                                                       ,The Chainsmokers ,103320,15/01/2017,au,0 0 0 0 0 0
Say You Won't Let Go                                                        ,James Arthur     ,103113,15/01/2017,au,0 0 0 0 0 0
Shape of You                                                                ,Ed Sheeran       ,257042,16/01/2017,au,0 0 0 0 0 0
Castle on the Hill                                                          ,Ed Sheeran       ,182061,16/01/2017,au,0 0 0 0 0 0
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,143907,16/01/2017,au,0 0 0 0 0 0
Starboy                                                                     ,The Weeknd       ,137115,16/01/2017,au,0 0 0 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,136073,16/01/2017,au,0 0 0 0 0 0
Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,122882,16/01/2017,au,0 0 0 0 0 0
Paris                                                                       ,The Chainsmokers ,122461,16/01/2017,au,0 0 0 0 0 0
I Feel It Coming                                                            ,The Weeknd       ,121114,16/01/2017,au,0 0 0 0 0 0
Closer                                                                      ,The Chainsmokers ,113470,16/01/2017,au,0 0 0 0 0 0
Say You Won't Let Go                                                        ,James Arthur     ,109226,16/01/2017,au,0 0 0 0 0 0
Shape of You                                                                ,Ed Sheeran       ,249534,17/01/2017,au,0 0 0 0 0 0
Castle on the Hill                                                          ,Ed Sheeran       ,173360,17/01/2017,au,0 0 0 0 0 0
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,139098,17/01/2017,au,0 0 0 0 0 0
Starboy                                                                     ,The Weeknd       ,133628,17/01/2017,au,0 0 0 0 0 0
