Track Name,Artist,Streams,Date,Country,Indicators
Hey Baby                                                                    ,Dimitri Vegas & L,23277,01/01/2017,be,1 1 1 0 0 0
Closer                                                                      ,The Chainsmokers ,17456,01/01/2017,be,1 1 1 0 0 0
Starboy                                                                     ,The Weeknd       ,17374,01/01/2017,be,1 1 1 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,16763,01/01/2017,be,1 1 1 0 0 0
What Is Love 2016                                                           ,Lost Frequencies ,16197,01/01/2017,be,1 1 1 0 0 0
Let Me Love You                                                             ,DJ Snake         ,15810,01/01/2017,be,1 1 1 0 0 0
Until the End                                                               ,Henri PFR        ,13510,01/01/2017,be,1 1 1 0 0 0
One Dance                                                                   ,Drake            ,12964,01/01/2017,be,1 1 1 0 0 0
24K Magic                                                                   ,Bruno Mars       ,12661,01/01/2017,be,1 1 1 0 0 0
Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,12506,01/01/2017,be,1 1 1 0 0 0
Hey Baby                                                                    ,Dimitri Vegas & L,24162,02/01/2017,be,1 1 1 0 0 0
Starboy                                                                     ,The Weeknd       ,21492,02/01/2017,be,1 1 1 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,21273,02/01/2017,be,1 1 1 0 0 0
Closer                                                                      ,The Chainsmokers ,19689,02/01/2017,be,1 1 1 0 0 0
What Is Love 2016                                                           ,Lost Frequencies ,17374,02/01/2017,be,1 1 1 0 0 0
Let Me Love You                                                             ,DJ Snake         ,17203,02/01/2017,be,1 1 1 0 0 0
Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,16815,02/01/2017,be,1 1 1 0 0 0
Say You Won't Let Go                                                        ,James Arthur     ,16606,02/01/2017,be,1 1 1 0 0 0
Until the End                                                               ,Henri PFR        ,15363,02/01/2017,be,1 1 1 0 0 0
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,15268,02/01/2017,be,1 1 1 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,22212,03/01/2017,be,0 0 0 0 0 0
Starboy                                                                     ,The Weeknd       ,22086,03/01/2017,be,0 0 0 0 0 0
Closer                                                                      ,The Chainsmokers ,20047,03/01/2017,be,0 0 0 0 0 0
Hey Baby                                                                    ,Dimitri Vegas & L,19647,03/01/2017,be,0 0 0 0 0 0
Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,18437,03/01/2017,be,0 0 0 0 0 0
Say You Won't Let Go                                                        ,James Arthur     ,18309,03/01/2017,be,0 0 0 0 0 0
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,18183,03/01/2017,be,0 0 0 0 0 0
Let Me Love You                                                             ,DJ Snake         ,17730,03/01/2017,be,0 0 0 0 0 0
What Is Love 2016                                                           ,Lost Frequencies ,15948,03/01/2017,be,0 0 0 0 0 0
Don't Wanna Know                                                            ,Maroon 5         ,15867,03/01/2017,be,0 0 0 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,23023,04/01/2017,be,0 1 0 0 0 0
Starboy                                                                     ,The Weeknd       ,22509,04/01/2017,be,0 1 0 0 0 0
Hey Baby                                                                    ,Dimitri Vegas & L,21326,04/01/2017,be,0 1 0 0 0 0
Closer                                                                      ,The Chainsmokers ,20818,04/01/2017,be,0 1 0 0 0 0
Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,18333,04/01/2017,be,0 1 0 0 0 0
Say You Won't Let Go                                                        ,James Arthur     ,18127,04/01/2017,be,0 1 0 0 0 0
Let Me Love You                                                             ,DJ Snake         ,17754,04/01/2017,be,0 1 0 0 0 0
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,17730,04/01/2017,be,0 1 0 0 0 0
What Is Love 2016                                                           ,Lost Frequencies ,16984,04/01/2017,be,0 1 0 0 0 0
Until the End                                                               ,Henri PFR        ,15362,04/01/2017,be,0 1 0 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,23339,05/01/2017,be,0 1 0 0 0 0
Starboy                                                                     ,The Weeknd       ,23276,05/01/2017,be,0 1 0 0 0 0
Hey Baby                                                                    ,Dimitri Vegas & L,21165,05/01/2017,be,0 1 0 0 0 0
Closer                                                                      ,The Chainsmokers ,20292,05/01/2017,be,0 1 0 0 0 0
Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,18770,05/01/2017,be,0 1 0 0 0 0
Say You Won't Let Go                                                        ,James Arthur     ,18073,05/01/2017,be,0 1 0 0 0 0
Let Me Love You                                                             ,DJ Snake         ,17984,05/01/2017,be,0 1 0 0 0 0
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,17933,05/01/2017,be,0 1 0 0 0 0
What Is Love 2016                                                           ,Lost Frequencies ,16913,05/01/2017,be,0 1 0 0 0 0
Until the End                                                               ,Henri PFR        ,15884,05/01/2017,be,0 1 0 0 0 0
Shape of You                                                                ,Ed Sheeran       ,37838,06/01/2017,be,0 0 0 0 0 0
Castle on the Hill                                                          ,Ed Sheeran       ,32309,06/01/2017,be,0 0 0 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,24932,06/01/2017,be,0 0 0 0 0 0
Starboy                                                                     ,The Weeknd       ,23502,06/01/2017,be,0 0 0 0 0 0
Hey Baby                                                                    ,Dimitri Vegas & L,20140,06/01/2017,be,0 0 0 0 0 0
Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,20112,06/01/2017,be,0 0 0 0 0 0
Closer                                                                      ,The Chainsmokers ,19997,06/01/2017,be,0 0 0 0 0 0
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,19471,06/01/2017,be,0 0 0 0 0 0
Say You Won't Let Go                                                        ,James Arthur     ,18184,06/01/2017,be,0 0 0 0 0 0
Let Me Love You                                                             ,DJ Snake         ,17743,06/01/2017,be,0 0 0 0 0 0
Shape of You                                                                ,Ed Sheeran       ,40589,07/01/2017,be,1 1 1 0 0 0
Castle on the Hill                                                          ,Ed Sheeran       ,28706,07/01/2017,be,1 1 1 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,24459,07/01/2017,be,1 1 1 0 0 0
Hey Baby                                                                    ,Dimitri Vegas & L,24222,07/01/2017,be,1 1 1 0 0 0
Starboy                                                                     ,The Weeknd       ,22739,07/01/2017,be,1 1 1 0 0 0
Closer                                                                      ,The Chainsmokers ,22066,07/01/2017,be,1 1 1 0 0 0
What Is Love 2016                                                           ,Lost Frequencies ,20240,07/01/2017,be,1 1 1 0 0 0
Let Me Love You                                                             ,DJ Snake         ,19854,07/01/2017,be,1 1 1 0 0 0
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,19205,07/01/2017,be,1 1 1 0 0 0
Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,19199,07/01/2017,be,1 1 1 0 0 0
Shape of You                                                                ,Ed Sheeran       ,44993,08/01/2017,be,1 0 0 0 0 0
Castle on the Hill                                                          ,Ed Sheeran       ,29922,08/01/2017,be,1 0 0 0 0 0
Hey Baby                                                                    ,Dimitri Vegas & L,23580,08/01/2017,be,1 0 0 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,23007,08/01/2017,be,1 0 0 0 0 0
Starboy                                                                     ,The Weeknd       ,20819,08/01/2017,be,1 0 0 0 0 0
What Is Love 2016                                                           ,Lost Frequencies ,19532,08/01/2017,be,1 0 0 0 0 0
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,19244,08/01/2017,be,1 0 0 0 0 0
Say You Won't Let Go                                                        ,James Arthur     ,19053,08/01/2017,be,1 0 0 0 0 0
Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,18085,08/01/2017,be,1 0 0 0 0 0
Closer                                                                      ,The Chainsmokers ,17780,08/01/2017,be,1 0 0 0 0 0
Shape of You                                                                ,Ed Sheeran       ,44413,09/01/2017,be,0 1 0 0 0 0
Castle on the Hill                                                          ,Ed Sheeran       ,28112,09/01/2017,be,0 1 0 0 0 0
Hey Baby                                                                    ,Dimitri Vegas & L,22502,09/01/2017,be,0 1 0 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,20813,09/01/2017,be,0 1 0 0 0 0
What Is Love 2016                                                           ,Lost Frequencies ,19042,09/01/2017,be,0 1 0 0 0 0
Starboy                                                                     ,The Weeknd       ,18955,09/01/2017,be,0 1 0 0 0 0
Ziet Em Duun                                                                ,Van Echelpoel    ,17869,09/01/2017,be,0 1 0 0 0 0
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,17428,09/01/2017,be,0 1 0 0 0 0
Until the End                                                               ,Henri PFR        ,16946,09/01/2017,be,0 1 0 0 0 0
Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,16709,09/01/2017,be,0 1 0 0 0 0
Shape of You                                                                ,Ed Sheeran       ,44380,10/01/2017,be,0 1 0 0 0 0
Castle on the Hill                                                          ,Ed Sheeran       ,26746,10/01/2017,be,0 1 0 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,21781,10/01/2017,be,0 1 0 0 0 0
Hey Baby                                                                    ,Dimitri Vegas & L,21605,10/01/2017,be,0 1 0 0 0 0
Starboy                                                                     ,The Weeknd       ,19432,10/01/2017,be,0 1 0 0 0 0
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,19393,10/01/2017,be,0 1 0 0 0 0
What Is Love 2016                                                           ,Lost Frequencies ,18783,10/01/2017,be,0 1 0 0 0 0
Say You Won't Let Go                                                        ,James Arthur     ,17581,10/01/2017,be,0 1 0 0 0 0
Until the End                                                               ,Henri PFR        ,17222,10/01/2017,be,0 1 0 0 0 0
Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,16836,10/01/2017,be,0 1 0 0 0 0
Shape of You                                                                ,Ed Sheeran       ,45631,11/01/2017,be,0 1 0 0 0 0
Castle on the Hill                                                          ,Ed Sheeran       ,28068,11/01/2017,be,0 1 0 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,24221,11/01/2017,be,0 1 0 0 0 0
Hey Baby                                                                    ,Dimitri Vegas & L,23218,11/01/2017,be,0 1 0 0 0 0
Starboy                                                                     ,The Weeknd       ,21418,11/01/2017,be,0 1 0 0 0 0
What Is Love 2016                                                           ,Lost Frequencies ,20741,11/01/2017,be,0 1 0 0 0 0
Until the End                                                               ,Henri PFR        ,20250,11/01/2017,be,0 1 0 0 0 0
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,19899,11/01/2017,be,0 1 0 0 0 0
Say You Won't Let Go                                                        ,James Arthur     ,19445,11/01/2017,be,0 1 0 0 0 0
Closer                                                                      ,The Chainsmokers ,18344,11/01/2017,be,0 1 0 0 0 0
Shape of You                                                                ,Ed Sheeran       ,42997,12/01/2017,be,0 1 1 0 0 0
Castle on the Hill                                                          ,Ed Sheeran       ,25486,12/01/2017,be,0 1 1 0 0 0
Hey Baby                                                                    ,Dimitri Vegas & L,22185,12/01/2017,be,0 1 1 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,22092,12/01/2017,be,0 1 1 0 0 0
Starboy                                                                     ,The Weeknd       ,21113,12/01/2017,be,0 1 1 0 0 0
What Is Love 2016                                                           ,Lost Frequencies ,19612,12/01/2017,be,0 1 1 0 0 0
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,18682,12/01/2017,be,0 1 1 0 0 0
Until the End                                                               ,Henri PFR        ,18525,12/01/2017,be,0 1 1 0 0 0
Ziet Em Duun                                                                ,Van Echelpoel    ,17953,12/01/2017,be,0 1 1 0 0 0
Say You Won't Let Go                                                        ,James Arthur     ,17548,12/01/2017,be,0 1 1 0 0 0
Shape of You                                                                ,Ed Sheeran       ,44781,13/01/2017,be,0 1 1 1 0 0
Castle on the Hill                                                          ,Ed Sheeran       ,26417,13/01/2017,be,0 1 1 1 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,23461,13/01/2017,be,0 1 1 1 0 0
Hey Baby                                                                    ,Dimitri Vegas & L,23148,13/01/2017,be,0 1 1 1 0 0
Starboy                                                                     ,The Weeknd       ,21097,13/01/2017,be,0 1 1 1 0 0
What Is Love 2016                                                           ,Lost Frequencies ,20159,13/01/2017,be,0 1 1 1 0 0
Ziet Em Duun                                                                ,Van Echelpoel    ,19808,13/01/2017,be,0 1 1 1 0 0
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,19722,13/01/2017,be,0 1 1 1 0 0
Until the End                                                               ,Henri PFR        ,17753,13/01/2017,be,0 1 1 1 0 0
Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,17426,13/01/2017,be,0 1 1 1 0 0
Shape of You                                                                ,Ed Sheeran       ,51240,14/01/2017,be,0 1 1 0 0 0
Castle on the Hill                                                          ,Ed Sheeran       ,30278,14/01/2017,be,0 1 1 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,27816,14/01/2017,be,0 1 1 0 0 0
Hey Baby                                                                    ,Dimitri Vegas & L,25717,14/01/2017,be,0 1 1 0 0 0
Starboy                                                                     ,The Weeknd       ,25425,14/01/2017,be,0 1 1 0 0 0
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,23544,14/01/2017,be,0 1 1 0 0 0
What Is Love 2016                                                           ,Lost Frequencies ,21779,14/01/2017,be,0 1 1 0 0 0
