Track Name,Artist,Streams,Date,Country,Indicators
Reggaet�n Lento (Bailemos)                                                  ,CNCO             ,6784,01/01/2017,bo,0 0 0 0 0 0
Otra Vez (feat. J Balvin)                                                   ,Zion & Lennox    ,5748,01/01/2017,bo,0 0 0 0 0 0
Chantaje                                                                    ,Shakira          ,5506,01/01/2017,bo,0 0 0 0 0 0
Vente Pa' Ca                                                                ,Ricky Martin     ,4804,01/01/2017,bo,0 0 0 0 0 0
Traicionera                                                                 ,Sebastian Yatra  ,4780,01/01/2017,bo,0 0 0 0 0 0
Safari                                                                      ,J Balvin         ,4399,01/01/2017,bo,0 0 0 0 0 0
Let Me Love You                                                             ,DJ Snake         ,3542,01/01/2017,bo,0 0 0 0 0 0
La Bicicleta                                                                ,Carlos Vives     ,3507,01/01/2017,bo,0 0 0 0 0 0
Ay Mi Dios                                                                  ,IAmChino         ,3446,01/01/2017,bo,0 0 0 0 0 0
Me Llamas (feat. Maluma) - Remix                                            ,Piso 21          ,2979,01/01/2017,bo,0 0 0 0 0 0
Reggaet�n Lento (Bailemos)                                                  ,CNCO             ,5349,02/01/2017,bo,0 1 0 0 0 0
Otra Vez (feat. J Balvin)                                                   ,Zion & Lennox    ,4547,02/01/2017,bo,0 1 0 0 0 0
Chantaje                                                                    ,Shakira          ,4376,02/01/2017,bo,0 1 0 0 0 0
Traicionera                                                                 ,Sebastian Yatra  ,3686,02/01/2017,bo,0 1 0 0 0 0
Vente Pa' Ca                                                                ,Ricky Martin     ,3620,02/01/2017,bo,0 1 0 0 0 0
Let Me Love You                                                             ,DJ Snake         ,3320,02/01/2017,bo,0 1 0 0 0 0
Safari                                                                      ,J Balvin         ,3279,02/01/2017,bo,0 1 0 0 0 0
Closer                                                                      ,The Chainsmokers ,2795,02/01/2017,bo,0 1 0 0 0 0
Ay Mi Dios                                                                  ,IAmChino         ,2638,02/01/2017,bo,0 1 0 0 0 0
Don't Wanna Know                                                            ,Maroon 5         ,2514,02/01/2017,bo,0 1 0 0 0 0
Reggaet�n Lento (Bailemos)                                                  ,CNCO             ,6690,03/01/2017,bo,0 0 0 0 0 0
Chantaje                                                                    ,Shakira          ,5639,03/01/2017,bo,0 0 0 0 0 0
Otra Vez (feat. J Balvin)                                                   ,Zion & Lennox    ,5639,03/01/2017,bo,0 0 0 0 0 0
Vente Pa' Ca                                                                ,Ricky Martin     ,4582,03/01/2017,bo,0 0 0 0 0 0
Traicionera                                                                 ,Sebastian Yatra  ,4400,03/01/2017,bo,0 0 0 0 0 0
Let Me Love You                                                             ,DJ Snake         ,4227,03/01/2017,bo,0 0 0 0 0 0
Safari                                                                      ,J Balvin         ,4147,03/01/2017,bo,0 0 0 0 0 0
Closer                                                                      ,The Chainsmokers ,3685,03/01/2017,bo,0 0 0 0 0 0
Don't Wanna Know                                                            ,Maroon 5         ,3372,03/01/2017,bo,0 0 0 0 0 0
Me Rehúso                                                                  ,Danny Ocean      ,3215,03/01/2017,bo,0 0 0 0 0 0
Reggaet�n Lento (Bailemos)                                                  ,CNCO             ,6595,04/01/2017,bo,0 0 0 0 0 0
Chantaje                                                                    ,Shakira          ,5650,04/01/2017,bo,0 0 0 0 0 0
Otra Vez (feat. J Balvin)                                                   ,Zion & Lennox    ,5550,04/01/2017,bo,0 0 0 0 0 0
Vente Pa' Ca                                                                ,Ricky Martin     ,4608,04/01/2017,bo,0 0 0 0 0 0
Let Me Love You                                                             ,DJ Snake         ,4467,04/01/2017,bo,0 0 0 0 0 0
Traicionera                                                                 ,Sebastian Yatra  ,4344,04/01/2017,bo,0 0 0 0 0 0
Safari                                                                      ,J Balvin         ,4204,04/01/2017,bo,0 0 0 0 0 0
Closer                                                                      ,The Chainsmokers ,3764,04/01/2017,bo,0 0 0 0 0 0
Ay Mi Dios                                                                  ,IAmChino         ,3615,04/01/2017,bo,0 0 0 0 0 0
Don't Wanna Know                                                            ,Maroon 5         ,3366,04/01/2017,bo,0 0 0 0 0 0
Reggaet�n Lento (Bailemos)                                                  ,CNCO             ,6671,05/01/2017,bo,0 0 0 0 1 0
Otra Vez (feat. J Balvin)                                                   ,Zion & Lennox    ,5573,05/01/2017,bo,0 0 0 0 1 0
Chantaje                                                                    ,Shakira          ,5492,05/01/2017,bo,0 0 0 0 1 0
Vente Pa' Ca                                                                ,Ricky Martin     ,4527,05/01/2017,bo,0 0 0 0 1 0
Traicionera                                                                 ,Sebastian Yatra  ,4437,05/01/2017,bo,0 0 0 0 1 0
Let Me Love You                                                             ,DJ Snake         ,4379,05/01/2017,bo,0 0 0 0 1 0
Safari                                                                      ,J Balvin         ,4099,05/01/2017,bo,0 0 0 0 1 0
Ay Mi Dios                                                                  ,IAmChino         ,3592,05/01/2017,bo,0 0 0 0 1 0
Closer                                                                      ,The Chainsmokers ,3447,05/01/2017,bo,0 0 0 0 1 0
Me Rehúso                                                                  ,Danny Ocean      ,3415,05/01/2017,bo,0 0 0 0 1 0
Reggaet�n Lento (Bailemos)                                                  ,CNCO             ,6837,06/01/2017,bo,0 1 0 0 0 0
Otra Vez (feat. J Balvin)                                                   ,Zion & Lennox    ,5664,06/01/2017,bo,0 1 0 0 0 0
Chantaje                                                                    ,Shakira          ,5502,06/01/2017,bo,0 1 0 0 0 0
Vente Pa' Ca                                                                ,Ricky Martin     ,4481,06/01/2017,bo,0 1 0 0 0 0
Traicionera                                                                 ,Sebastian Yatra  ,4418,06/01/2017,bo,0 1 0 0 0 0
Safari                                                                      ,J Balvin         ,4229,06/01/2017,bo,0 1 0 0 0 0
Let Me Love You                                                             ,DJ Snake         ,4220,06/01/2017,bo,0 1 0 0 0 0
Me Rehúso                                                                  ,Danny Ocean      ,3678,06/01/2017,bo,0 1 0 0 0 0
Ay Mi Dios                                                                  ,IAmChino         ,3569,06/01/2017,bo,0 1 0 0 0 0
Closer                                                                      ,The Chainsmokers ,3517,06/01/2017,bo,0 1 0 0 0 0
Reggaet�n Lento (Bailemos)                                                  ,CNCO             ,6785,07/01/2017,bo,1 1 0 0 1 0
Otra Vez (feat. J Balvin)                                                   ,Zion & Lennox    ,5515,07/01/2017,bo,1 1 0 0 1 0
Chantaje                                                                    ,Shakira          ,5505,07/01/2017,bo,1 1 0 0 1 0
Vente Pa' Ca                                                                ,Ricky Martin     ,4307,07/01/2017,bo,1 1 0 0 1 0
Traicionera                                                                 ,Sebastian Yatra  ,4298,07/01/2017,bo,1 1 0 0 1 0
Safari                                                                      ,J Balvin         ,4097,07/01/2017,bo,1 1 0 0 1 0
Let Me Love You                                                             ,DJ Snake         ,3741,07/01/2017,bo,1 1 0 0 1 0
Me Rehúso                                                                  ,Danny Ocean      ,3738,07/01/2017,bo,1 1 0 0 1 0
Ay Mi Dios                                                                  ,IAmChino         ,3544,07/01/2017,bo,1 1 0 0 1 0
Shape of You                                                                ,Ed Sheeran       ,3184,07/01/2017,bo,1 1 0 0 1 0
Reggaet�n Lento (Bailemos)                                                  ,CNCO             ,6217,08/01/2017,bo,0 0 0 0 1 0
Chantaje                                                                    ,Shakira          ,5101,08/01/2017,bo,0 0 0 0 1 0
Otra Vez (feat. J Balvin)                                                   ,Zion & Lennox    ,5000,08/01/2017,bo,0 0 0 0 1 0
Traicionera                                                                 ,Sebastian Yatra  ,3843,08/01/2017,bo,0 0 0 0 1 0
Safari                                                                      ,J Balvin         ,3738,08/01/2017,bo,0 0 0 0 1 0
Vente Pa' Ca                                                                ,Ricky Martin     ,3681,08/01/2017,bo,0 0 0 0 1 0
Me Rehúso                                                                  ,Danny Ocean      ,3435,08/01/2017,bo,0 0 0 0 1 0
Let Me Love You                                                             ,DJ Snake         ,3393,08/01/2017,bo,0 0 0 0 1 0
Ay Mi Dios                                                                  ,IAmChino         ,3202,08/01/2017,bo,0 0 0 0 1 0
Shape of You                                                                ,Ed Sheeran       ,3152,08/01/2017,bo,0 0 0 0 1 0
Reggaet�n Lento (Bailemos)                                                  ,CNCO             ,6866,09/01/2017,bo,0 0 0 0 1 0
Chantaje                                                                    ,Shakira          ,5656,09/01/2017,bo,0 0 0 0 1 0
Otra Vez (feat. J Balvin)                                                   ,Zion & Lennox    ,5507,09/01/2017,bo,0 0 0 0 1 0
Traicionera                                                                 ,Sebastian Yatra  ,4496,09/01/2017,bo,0 0 0 0 1 0
Shape of You                                                                ,Ed Sheeran       ,4283,09/01/2017,bo,0 0 0 0 1 0
Let Me Love You                                                             ,DJ Snake         ,4239,09/01/2017,bo,0 0 0 0 1 0
Vente Pa' Ca                                                                ,Ricky Martin     ,4238,09/01/2017,bo,0 0 0 0 1 0
Safari                                                                      ,J Balvin         ,4155,09/01/2017,bo,0 0 0 0 1 0
Me Rehúso                                                                  ,Danny Ocean      ,4102,09/01/2017,bo,0 0 0 0 1 0
Ay Mi Dios                                                                  ,IAmChino         ,3646,09/01/2017,bo,0 0 0 0 1 0
Reggaet�n Lento (Bailemos)                                                  ,CNCO             ,7082,10/01/2017,bo,0 1 0 0 1 0
Chantaje                                                                    ,Shakira          ,5523,10/01/2017,bo,0 1 0 0 1 0
