Track Name,Artist,Streams,Date,Country,Indicators
Deu Onda                                                                    ,MC G15           ,612271,01/01/2017,br,0 0 0 0 0 0
Hear Me Now                                                                 ,Alok             ,269574,01/01/2017,br,0 0 0 0 0 0
10% - Ao Vivo                                                               ,Maiara & Maraisa ,228307,01/01/2017,br,0 0 0 0 0 0
Eu Sei de Cor - Ao Vivo | Acústico                                         ,Marília Mendonç,217394,01/01/2017,br,0 0 0 0 0 0
Meu Coração Deu PT - Ao Vivo                                              ,Wesley Safadão  ,214171,01/01/2017,br,0 0 0 0 0 0
Medo Bobo - Ao Vivo                                                         ,Maiara & Maraisa ,209183,01/01/2017,br,0 0 0 0 0 0
Sim ou não (Participação especial Maluma)                                ,Anitta           ,192220,01/01/2017,br,0 0 0 0 0 0
Closer                                                                      ,The Chainsmokers ,190936,01/01/2017,br,0 0 0 0 0 0
50 Reais                                                                    ,Naiara Azevedo   ,185333,01/01/2017,br,0 0 0 0 0 0
Infiel - Ao Vivo                                                            ,Marília Mendonç,183344,01/01/2017,br,0 0 0 0 0 0
Deu Onda                                                                    ,MC G15           ,629353,02/01/2017,br,0 0 0 0 0 0
Hear Me Now                                                                 ,Alok             ,293658,02/01/2017,br,0 0 0 0 0 0
Closer                                                                      ,The Chainsmokers ,209054,02/01/2017,br,0 0 0 0 0 0
Eu Sei de Cor - Ao Vivo | Acústico                                         ,Marília Mendonç,207707,02/01/2017,br,0 0 0 0 0 0
Medo Bobo - Ao Vivo                                                         ,Maiara & Maraisa ,201013,02/01/2017,br,0 0 0 0 0 0
10% - Ao Vivo                                                               ,Maiara & Maraisa ,181880,02/01/2017,br,0 0 0 0 0 0
Starboy                                                                     ,The Weeknd       ,177646,02/01/2017,br,0 0 0 0 0 0
Meu Coração Deu PT - Ao Vivo                                              ,Wesley Safadão  ,176444,02/01/2017,br,0 0 0 0 0 0
Te Assumi Pro Brasil - Ao Vivo                                              ,Matheus & Kauan  ,171905,02/01/2017,br,0 0 0 0 0 0
Sim ou não (Participação especial Maluma)                                ,Anitta           ,168509,02/01/2017,br,0 0 0 0 0 0
Deu Onda                                                                    ,MC G15           ,627101,03/01/2017,br,0 0 0 0 0 0
Hear Me Now                                                                 ,Alok             ,302181,03/01/2017,br,0 0 0 0 0 0
Closer                                                                      ,The Chainsmokers ,221815,03/01/2017,br,0 0 0 0 0 0
Eu Sei de Cor - Ao Vivo | Acústico                                         ,Marília Mendonç,209122,03/01/2017,br,0 0 0 0 0 0
Medo Bobo - Ao Vivo                                                         ,Maiara & Maraisa ,199450,03/01/2017,br,0 0 0 0 0 0
Starboy                                                                     ,The Weeknd       ,194063,03/01/2017,br,0 0 0 0 0 0
Te Assumi Pro Brasil - Ao Vivo                                              ,Matheus & Kauan  ,178121,03/01/2017,br,0 0 0 0 0 0
10% - Ao Vivo                                                               ,Maiara & Maraisa ,177132,03/01/2017,br,0 0 0 0 0 0
Meu Coração Deu PT - Ao Vivo                                              ,Wesley Safadão  ,172704,03/01/2017,br,0 0 0 0 0 0
Let Me Love You                                                             ,DJ Snake         ,172654,03/01/2017,br,0 0 0 0 0 0
Deu Onda                                                                    ,MC G15           ,609813,04/01/2017,br,0 0 0 0 0 0
Hear Me Now                                                                 ,Alok             ,316744,04/01/2017,br,0 0 0 0 0 0
Closer                                                                      ,The Chainsmokers ,222494,04/01/2017,br,0 0 0 0 0 0
Eu Sei de Cor - Ao Vivo | Acústico                                         ,Marília Mendonç,217642,04/01/2017,br,0 0 0 0 0 0
Medo Bobo - Ao Vivo                                                         ,Maiara & Maraisa ,205257,04/01/2017,br,0 0 0 0 0 0
Starboy                                                                     ,The Weeknd       ,198583,04/01/2017,br,0 0 0 0 0 0
Te Assumi Pro Brasil - Ao Vivo                                              ,Matheus & Kauan  ,185474,04/01/2017,br,0 0 0 0 0 0
10% - Ao Vivo                                                               ,Maiara & Maraisa ,179776,04/01/2017,br,0 0 0 0 0 0
Meu Coração Deu PT - Ao Vivo                                              ,Wesley Safadão  ,178543,04/01/2017,br,0 0 0 0 0 0
Sim ou não (Participação especial Maluma)                                ,Anitta           ,175418,04/01/2017,br,0 0 0 0 0 0
Deu Onda                                                                    ,MC G15           ,585088,05/01/2017,br,0 0 0 0 0 0
Hear Me Now                                                                 ,Alok             ,314373,05/01/2017,br,0 0 0 0 0 0
Closer                                                                      ,The Chainsmokers ,220528,05/01/2017,br,0 0 0 0 0 0
Eu Sei de Cor - Ao Vivo | Acústico                                         ,Marília Mendonç,209958,05/01/2017,br,0 0 0 0 0 0
Medo Bobo - Ao Vivo                                                         ,Maiara & Maraisa ,198291,05/01/2017,br,0 0 0 0 0 0
Starboy                                                                     ,The Weeknd       ,197554,05/01/2017,br,0 0 0 0 0 0
Te Assumi Pro Brasil - Ao Vivo                                              ,Matheus & Kauan  ,186085,05/01/2017,br,0 0 0 0 0 0
Let Me Love You                                                             ,DJ Snake         ,180583,05/01/2017,br,0 0 0 0 0 0
10% - Ao Vivo                                                               ,Maiara & Maraisa ,176380,05/01/2017,br,0 0 0 0 0 0
Meu Coração Deu PT - Ao Vivo                                              ,Wesley Safadão  ,174703,05/01/2017,br,0 0 0 0 0 0
Deu Onda                                                                    ,MC G15           ,594523,06/01/2017,br,0 0 0 0 0 0
Hear Me Now                                                                 ,Alok             ,329778,06/01/2017,br,0 0 0 0 0 0
Shape of You                                                                ,Ed Sheeran       ,315187,06/01/2017,br,0 0 0 0 0 0
Closer                                                                      ,The Chainsmokers ,227191,06/01/2017,br,0 0 0 0 0 0
Castle on the Hill                                                          ,Ed Sheeran       ,224209,06/01/2017,br,0 0 0 0 0 0
Eu Sei de Cor - Ao Vivo | Acústico                                         ,Marília Mendonç,223399,06/01/2017,br,0 0 0 0 0 0
Starboy                                                                     ,The Weeknd       ,211264,06/01/2017,br,0 0 0 0 0 0
Loka                                                                        ,Simone & Simaria ,208712,06/01/2017,br,0 0 0 0 0 0
Medo Bobo - Ao Vivo                                                         ,Maiara & Maraisa ,207645,06/01/2017,br,0 0 0 0 0 0
Te Assumi Pro Brasil - Ao Vivo                                              ,Matheus & Kauan  ,196463,06/01/2017,br,0 0 0 0 0 0
Deu Onda                                                                    ,MC G15           ,590610,07/01/2017,br,0 0 0 0 0 0
Hear Me Now                                                                 ,Alok             ,322448,07/01/2017,br,0 0 0 0 0 0
Shape of You                                                                ,Ed Sheeran       ,302643,07/01/2017,br,0 0 0 0 0 0
Eu Sei de Cor - Ao Vivo | Acústico                                         ,Marília Mendonç,228938,07/01/2017,br,0 0 0 0 0 0
