Track Name,Artist,Streams,Date,Country,Indicators
Starboy                                                                     ,The Weeknd       ,139175,01/01/2017,ca,0 1 0 0 0 0
Closer                                                                      ,The Chainsmokers ,128481,01/01/2017,ca,0 1 0 0 0 0
Fake Love                                                                   ,Drake            ,118532,01/01/2017,ca,0 1 0 0 0 0
Bad and Boujee (feat. Lil Uzi Vert)                                         ,Migos            ,100524,01/01/2017,ca,0 1 0 0 0 0
One Dance                                                                   ,Drake            ,90257,01/01/2017,ca,0 1 0 0 0 0
Black Beatles                                                               ,Rae Sremmurd     ,90233,01/01/2017,ca,0 1 0 0 0 0
Let Me Love You                                                             ,DJ Snake         ,89982,01/01/2017,ca,0 1 0 0 0 0
I Feel It Coming                                                            ,The Weeknd       ,83442,01/01/2017,ca,0 1 0 0 0 0
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,78503,01/01/2017,ca,0 1 0 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,76004,01/01/2017,ca,0 1 0 0 0 0
Starboy                                                                     ,The Weeknd       ,123085,02/01/2017,ca,0 0 0 0 0 0
Fake Love                                                                   ,Drake            ,109405,02/01/2017,ca,0 0 0 0 0 0
Closer                                                                      ,The Chainsmokers ,100017,02/01/2017,ca,0 0 0 0 0 0
Bad and Boujee (feat. Lil Uzi Vert)                                         ,Migos            ,90884,02/01/2017,ca,0 0 0 0 0 0
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,81538,02/01/2017,ca,0 0 0 0 0 0
Let Me Love You                                                             ,DJ Snake         ,74752,02/01/2017,ca,0 0 0 0 0 0
Black Beatles                                                               ,Rae Sremmurd     ,74171,02/01/2017,ca,0 0 0 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,71111,02/01/2017,ca,0 0 0 0 0 0
Say You Won't Let Go                                                        ,James Arthur     ,69769,02/01/2017,ca,0 0 0 0 0 0
Don't Wanna Know                                                            ,Maroon 5         ,69179,02/01/2017,ca,0 0 0 0 0 0
Starboy                                                                     ,The Weeknd       ,135054,03/01/2017,ca,0 1 0 0 0 0
Fake Love                                                                   ,Drake            ,117513,03/01/2017,ca,0 1 0 0 0 0
Closer                                                                      ,The Chainsmokers ,108517,03/01/2017,ca,0 1 0 0 0 0
Bad and Boujee (feat. Lil Uzi Vert)                                         ,Migos            ,99854,03/01/2017,ca,0 1 0 0 0 0
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,96633,03/01/2017,ca,0 1 0 0 0 0
Let Me Love You                                                             ,DJ Snake         ,82014,03/01/2017,ca,0 1 0 0 0 0
Say You Won't Let Go                                                        ,James Arthur     ,80837,03/01/2017,ca,0 1 0 0 0 0
I Feel It Coming                                                            ,The Weeknd       ,78267,03/01/2017,ca,0 1 0 0 0 0
Black Beatles                                                               ,Rae Sremmurd     ,78082,03/01/2017,ca,0 1 0 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,77978,03/01/2017,ca,0 1 0 0 0 0
Starboy                                                                     ,The Weeknd       ,138790,04/01/2017,ca,0 1 1 0 0 0
Fake Love                                                                   ,Drake            ,121454,04/01/2017,ca,0 1 1 0 0 0
Closer                                                                      ,The Chainsmokers ,114544,04/01/2017,ca,0 1 1 0 0 0
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,103911,04/01/2017,ca,0 1 1 0 0 0
Bad and Boujee (feat. Lil Uzi Vert)                                         ,Migos            ,100812,04/01/2017,ca,0 1 1 0 0 0
Say You Won't Let Go                                                        ,James Arthur     ,85951,04/01/2017,ca,0 1 1 0 0 0
Let Me Love You                                                             ,DJ Snake         ,85797,04/01/2017,ca,0 1 1 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,84682,04/01/2017,ca,0 1 1 0 0 0
Don't Wanna Know                                                            ,Maroon 5         ,81064,04/01/2017,ca,0 1 1 0 0 0
I Feel It Coming                                                            ,The Weeknd       ,80763,04/01/2017,ca,0 1 1 0 0 0
Starboy                                                                     ,The Weeknd       ,136971,05/01/2017,ca,0 0 1 0 0 0
Fake Love                                                                   ,Drake            ,121788,05/01/2017,ca,0 0 1 0 0 0
Closer                                                                      ,The Chainsmokers ,111413,05/01/2017,ca,0 0 1 0 0 0
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,103980,05/01/2017,ca,0 0 1 0 0 0
Bad and Boujee (feat. Lil Uzi Vert)                                         ,Migos            ,100008,05/01/2017,ca,0 0 1 0 0 0
Say You Won't Let Go                                                        ,James Arthur     ,86693,05/01/2017,ca,0 0 1 0 0 0
Let Me Love You                                                             ,DJ Snake         ,85251,05/01/2017,ca,0 0 1 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,84253,05/01/2017,ca,0 0 1 0 0 0
I Feel It Coming                                                            ,The Weeknd       ,80702,05/01/2017,ca,0 0 1 0 0 0
Don't Wanna Know                                                            ,Maroon 5         ,80337,05/01/2017,ca,0 0 1 0 0 0
