Track Name,Artist,Streams,Date,Country,Indicators
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,14352,01/01/2017,ch,1 0 0 0 0 0
Starboy                                                                     ,The Weeknd       ,14218,01/01/2017,ch,1 0 0 0 0 0
Let Me Love You                                                             ,DJ Snake         ,13549,01/01/2017,ch,1 0 0 0 0 0
Closer                                                                      ,The Chainsmokers ,12988,01/01/2017,ch,1 0 0 0 0 0
Say You Won't Let Go                                                        ,James Arthur     ,11289,01/01/2017,ch,1 0 0 0 0 0
One Dance                                                                   ,Drake            ,11000,01/01/2017,ch,1 0 0 0 0 0
Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,10730,01/01/2017,ch,1 0 0 0 0 0
Alone                                                                       ,Alan Walker      ,10249,01/01/2017,ch,1 0 0 0 0 0
I Feel It Coming                                                            ,The Weeknd       ,10175,01/01/2017,ch,1 0 0 0 0 0
Don't Wanna Know                                                            ,Maroon 5         ,10084,01/01/2017,ch,1 0 0 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,18310,02/01/2017,ch,0 0 1 0 0 0
Starboy                                                                     ,The Weeknd       ,17286,02/01/2017,ch,0 0 1 0 0 0
Let Me Love You                                                             ,DJ Snake         ,15136,02/01/2017,ch,0 0 1 0 0 0
Closer                                                                      ,The Chainsmokers ,14466,02/01/2017,ch,0 0 1 0 0 0
Say You Won't Let Go                                                        ,James Arthur     ,13807,02/01/2017,ch,0 0 1 0 0 0
Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,13406,02/01/2017,ch,0 0 1 0 0 0
Alone                                                                       ,Alan Walker      ,12965,02/01/2017,ch,0 0 1 0 0 0
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,12796,02/01/2017,ch,0 0 1 0 0 0
Don't Wanna Know                                                            ,Maroon 5         ,12353,02/01/2017,ch,0 0 1 0 0 0
I Feel It Coming                                                            ,The Weeknd       ,12236,02/01/2017,ch,0 0 1 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,19882,03/01/2017,ch,1 0 0 0 0 0
Starboy                                                                     ,The Weeknd       ,18200,03/01/2017,ch,1 0 0 0 0 0
Let Me Love You                                                             ,DJ Snake         ,15582,03/01/2017,ch,1 0 0 0 0 0
Closer                                                                      ,The Chainsmokers ,15558,03/01/2017,ch,1 0 0 0 0 0
Say You Won't Let Go                                                        ,James Arthur     ,15321,03/01/2017,ch,1 0 0 0 0 0
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,15158,03/01/2017,ch,1 0 0 0 0 0
Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,14775,03/01/2017,ch,1 0 0 0 0 0
Alone                                                                       ,Alan Walker      ,14180,03/01/2017,ch,1 0 0 0 0 0
I Feel It Coming                                                            ,The Weeknd       ,13232,03/01/2017,ch,1 0 0 0 0 0
Don't Wanna Know                                                            ,Maroon 5         ,13153,03/01/2017,ch,1 0 0 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,19592,04/01/2017,ch,0 1 1 0 0 0
Starboy                                                                     ,The Weeknd       ,18298,04/01/2017,ch,0 1 1 0 0 0
Closer                                                                      ,The Chainsmokers ,15962,04/01/2017,ch,0 1 1 0 0 0
