Track Name,Artist,Streams,Date,Country,Indicators
Chantaje                                                                    ,Shakira          ,136652,01/01/2017,cl,0 0 0 0 0 0
Otra Vez (feat. J Balvin)                                                   ,Zion & Lennox    ,108344,01/01/2017,cl,0 0 0 0 0 0
Vente Pa' Ca                                                                ,Ricky Martin     ,105203,01/01/2017,cl,0 0 0 0 0 0
Reggaet�n Lento (Bailemos)                                                  ,CNCO             ,97931,01/01/2017,cl,0 0 0 0 0 0
Safari                                                                      ,J Balvin         ,82663,01/01/2017,cl,0 0 0 0 0 0
Shaky Shaky                                                                 ,Daddy Yankee     ,81743,01/01/2017,cl,0 0 0 0 0 0
Andas En Mi Cabeza                                                          ,Chino & Nacho    ,68556,01/01/2017,cl,0 0 0 0 0 0
Noche Loca                                                                  ,Marama           ,60649,01/01/2017,cl,0 0 0 0 0 0
Dile Que Tu Me Quieres                                                      ,Ozuna            ,59274,01/01/2017,cl,0 0 0 0 0 0
Me Llamas (feat. Maluma) - Remix                                            ,Piso 21          ,58041,01/01/2017,cl,0 0 0 0 0 0
Chantaje                                                                    ,Shakira          ,103606,02/01/2017,cl,0 0 0 0 0 0
Otra Vez (feat. J Balvin)                                                   ,Zion & Lennox    ,90328,02/01/2017,cl,0 0 0 0 0 0
Reggaet�n Lento (Bailemos)                                                  ,CNCO             ,89342,02/01/2017,cl,0 0 0 0 0 0
Vente Pa' Ca                                                                ,Ricky Martin     ,81590,02/01/2017,cl,0 0 0 0 0 0
Safari                                                                      ,J Balvin         ,69591,02/01/2017,cl,0 0 0 0 0 0
Shaky Shaky                                                                 ,Daddy Yankee     ,59582,02/01/2017,cl,0 0 0 0 0 0
Let Me Love You                                                             ,DJ Snake         ,55141,02/01/2017,cl,0 0 0 0 0 0
One Dance                                                                   ,Drake            ,52829,02/01/2017,cl,0 0 0 0 0 0
Andas En Mi Cabeza                                                          ,Chino & Nacho    ,50936,02/01/2017,cl,0 0 0 0 0 0
Me Llamas (feat. Maluma) - Remix                                            ,Piso 21          ,49624,02/01/2017,cl,0 0 0 0 0 0
Chantaje                                                                    ,Shakira          ,116869,03/01/2017,cl,0 0 0 0 0 0
Reggaet�n Lento (Bailemos)                                                  ,CNCO             ,106096,03/01/2017,cl,0 0 0 0 0 0
Otra Vez (feat. J Balvin)                                                   ,Zion & Lennox    ,103530,03/01/2017,cl,0 0 0 0 0 0
Vente Pa' Ca                                                                ,Ricky Martin     ,92521,03/01/2017,cl,0 0 0 0 0 0
