Track Name,Artist,Streams,Date,Country,Indicators
Otra Vez (feat. J Balvin)                                                   ,Zion & Lennox    ,38341,01/01/2017,co,0 0 0 0 0 0
Chantaje                                                                    ,Shakira          ,30797,01/01/2017,co,0 0 0 0 0 0
Safari                                                                      ,J Balvin         ,29805,01/01/2017,co,0 0 0 0 0 0
La Bicicleta                                                                ,Carlos Vives     ,29357,01/01/2017,co,0 0 0 0 0 0
Ya No Me Duele Más                                                         ,Silvestre Dangond,28921,01/01/2017,co,0 0 0 0 0 0
Vente Pa' Ca                                                                ,Ricky Martin     ,25676,01/01/2017,co,0 0 0 0 0 0
Bailame Despacio                                                            ,Xantos           ,23243,01/01/2017,co,0 0 0 0 0 0
Andas En Mi Cabeza                                                          ,Chino & Nacho    ,21651,01/01/2017,co,0 0 0 0 0 0
Traicionera                                                                 ,Sebastian Yatra  ,21360,01/01/2017,co,0 0 0 0 0 0
Reggaet�n Lento (Bailemos)                                                  ,CNCO             ,21141,01/01/2017,co,0 0 0 0 0 0
Otra Vez (feat. J Balvin)                                                   ,Zion & Lennox    ,38509,02/01/2017,co,0 0 0 0 0 0
Chantaje                                                                    ,Shakira          ,32057,02/01/2017,co,0 0 0 0 0 0
Safari                                                                      ,J Balvin         ,29023,02/01/2017,co,0 0 0 0 0 0
Let Me Love You                                                             ,DJ Snake         ,26640,02/01/2017,co,0 0 0 0 0 0
Vente Pa' Ca                                                                ,Ricky Martin     ,26192,02/01/2017,co,0 0 0 0 0 0
Reggaet�n Lento (Bailemos)                                                  ,CNCO             ,24551,02/01/2017,co,0 0 0 0 0 0
Ya No Me Duele Más                                                         ,Silvestre Dangond,24409,02/01/2017,co,0 0 0 0 0 0
Closer                                                                      ,The Chainsmokers ,23955,02/01/2017,co,0 0 0 0 0 0
Bailame Despacio                                                            ,Xantos           ,23919,02/01/2017,co,0 0 0 0 0 0
One Dance                                                                   ,Drake            ,23700,02/01/2017,co,0 0 0 0 0 0
Otra Vez (feat. J Balvin)                                                   ,Zion & Lennox    ,40651,03/01/2017,co,0 0 0 0 0 0
Chantaje                                                                    ,Shakira          ,34107,03/01/2017,co,0 0 0 0 0 0
Safari                                                                      ,J Balvin         ,29954,03/01/2017,co,0 0 0 0 0 0
Let Me Love You                                                             ,DJ Snake         ,28816,03/01/2017,co,0 0 0 0 0 0
Vente Pa' Ca                                                                ,Ricky Martin     ,28290,03/01/2017,co,0 0 0 0 0 0
Reggaet�n Lento (Bailemos)                                                  ,CNCO             ,27231,03/01/2017,co,0 0 0 0 0 0
Closer                                                                      ,The Chainsmokers ,25647,03/01/2017,co,0 0 0 0 0 0
Bailame Despacio                                                            ,Xantos           ,25112,03/01/2017,co,0 0 0 0 0 0
Ya No Me Duele Más                                                         ,Silvestre Dangond,25072,03/01/2017,co,0 0 0 0 0 0
