Track Name,Artist,Streams,Date,Country,Indicators
Reggaet�n Lento (Bailemos)                                                  ,CNCO             ,20171,01/01/2017,cr,0 1 0 0 0 0
Chantaje                                                                    ,Shakira          ,18779,01/01/2017,cr,0 1 0 0 0 0
Otra Vez (feat. J Balvin)                                                   ,Zion & Lennox    ,18196,01/01/2017,cr,0 1 0 0 0 0
Safari                                                                      ,J Balvin         ,18035,01/01/2017,cr,0 1 0 0 0 0
La Bicicleta                                                                ,Carlos Vives     ,14388,01/01/2017,cr,0 1 0 0 0 0
Vente Pa' Ca                                                                ,Ricky Martin     ,13366,01/01/2017,cr,0 1 0 0 0 0
Let Me Love You                                                             ,DJ Snake         ,12411,01/01/2017,cr,0 1 0 0 0 0
One Dance                                                                   ,Drake            ,11701,01/01/2017,cr,0 1 0 0 0 0
Chillax                                                                     ,Farruko          ,11661,01/01/2017,cr,0 1 0 0 0 0
Closer                                                                      ,The Chainsmokers ,11553,01/01/2017,cr,0 1 0 0 0 0
Reggaet�n Lento (Bailemos)                                                  ,CNCO             ,18397,02/01/2017,cr,0 1 0 0 0 0
Otra Vez (feat. J Balvin)                                                   ,Zion & Lennox    ,16133,02/01/2017,cr,0 1 0 0 0 0
Chantaje                                                                    ,Shakira          ,15768,02/01/2017,cr,0 1 0 0 0 0
Safari                                                                      ,J Balvin         ,14126,02/01/2017,cr,0 1 0 0 0 0
Let Me Love You                                                             ,DJ Snake         ,13509,02/01/2017,cr,0 1 0 0 0 0
Closer                                                                      ,The Chainsmokers ,13245,02/01/2017,cr,0 1 0 0 0 0
One Dance                                                                   ,Drake            ,11653,02/01/2017,cr,0 1 0 0 0 0
Chillax                                                                     ,Farruko          ,10403,02/01/2017,cr,0 1 0 0 0 0
Vente Pa' Ca                                                                ,Ricky Martin     ,10325,02/01/2017,cr,0 1 0 0 0 0
Starboy                                                                     ,The Weeknd       ,10248,02/01/2017,cr,0 1 0 0 0 0
Reggaet�n Lento (Bailemos)                                                  ,CNCO             ,20029,03/01/2017,cr,0 0 0 0 0 0
Otra Vez (feat. J Balvin)                                                   ,Zion & Lennox    ,17592,03/01/2017,cr,0 0 0 0 0 0
Chantaje                                                                    ,Shakira          ,16438,03/01/2017,cr,0 0 0 0 0 0
Safari                                                                      ,J Balvin         ,14758,03/01/2017,cr,0 0 0 0 0 0
Let Me Love You                                                             ,DJ Snake         ,14552,03/01/2017,cr,0 0 0 0 0 0
Closer                                                                      ,The Chainsmokers ,14298,03/01/2017,cr,0 0 0 0 0 0
One Dance                                                                   ,Drake            ,12197,03/01/2017,cr,0 0 0 0 0 0
Chillax                                                                     ,Farruko          ,11177,03/01/2017,cr,0 0 0 0 0 0
Vente Pa' Ca                                                                ,Ricky Martin     ,11105,03/01/2017,cr,0 0 0 0 0 0
