Track Name,Artist,Streams,Date,Country,Indicators
Closer                                                                      ,The Chainsmokers ,6406,01/01/2017,cz,1 0 1 0 0 0
Starboy                                                                     ,The Weeknd       ,6165,01/01/2017,cz,1 0 1 0 0 0
Let Me Love You                                                             ,DJ Snake         ,6040,01/01/2017,cz,1 0 1 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,5416,01/01/2017,cz,1 0 1 0 0 0
Don't Wanna Know                                                            ,Maroon 5         ,4865,01/01/2017,cz,1 0 1 0 0 0
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,4620,01/01/2017,cz,1 0 1 0 0 0
Heathens                                                                    ,Twenty One Pilots,4522,01/01/2017,cz,1 0 1 0 0 0
Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,4407,01/01/2017,cz,1 0 1 0 0 0
Say You Won't Let Go                                                        ,James Arthur     ,4332,01/01/2017,cz,1 0 1 0 0 0
My Way                                                                      ,Calvin Harris    ,4282,01/01/2017,cz,1 0 1 0 0 0
Starboy                                                                     ,The Weeknd       ,8504,02/01/2017,cz,1 0 1 0 0 0
Closer                                                                      ,The Chainsmokers ,7966,02/01/2017,cz,1 0 1 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,7874,02/01/2017,cz,1 0 1 0 0 0
Let Me Love You                                                             ,DJ Snake         ,7683,02/01/2017,cz,1 0 1 0 0 0
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,6907,02/01/2017,cz,1 0 1 0 0 0
Don't Wanna Know                                                            ,Maroon 5         ,6453,02/01/2017,cz,1 0 1 0 0 0
Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,6390,02/01/2017,cz,1 0 1 0 0 0
Say You Won't Let Go                                                        ,James Arthur     ,6043,02/01/2017,cz,1 0 1 0 0 0
Just Hold On                                                                ,Steve Aoki       ,5854,02/01/2017,cz,1 0 1 0 0 0
Heathens                                                                    ,Twenty One Pilots,5836,02/01/2017,cz,1 0 1 0 0 0
Starboy                                                                     ,The Weeknd       ,7937,03/01/2017,cz,0 0 1 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,7476,03/01/2017,cz,0 0 1 0 0 0
Closer                                                                      ,The Chainsmokers ,7400,03/01/2017,cz,0 0 1 0 0 0
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,7303,03/01/2017,cz,0 0 1 0 0 0
Let Me Love You                                                             ,DJ Snake         ,7031,03/01/2017,cz,0 0 1 0 0 0
Don't Wanna Know                                                            ,Maroon 5         ,6300,03/01/2017,cz,0 0 1 0 0 0
Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,6259,03/01/2017,cz,0 0 1 0 0 0
Say You Won't Let Go                                                        ,James Arthur     ,6148,03/01/2017,cz,0 0 1 0 0 0
Just Hold On                                                                ,Steve Aoki       ,5384,03/01/2017,cz,0 0 1 0 0 0
I Feel It Coming                                                            ,The Weeknd       ,5383,03/01/2017,cz,0 0 1 0 0 0
Starboy                                                                     ,The Weeknd       ,7909,04/01/2017,cz,0 1 1 0 0 0
Closer                                                                      ,The Chainsmokers ,7479,04/01/2017,cz,0 1 1 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,7242,04/01/2017,cz,0 1 1 0 0 0
Let Me Love You                                                             ,DJ Snake         ,7102,04/01/2017,cz,0 1 1 0 0 0
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,6972,04/01/2017,cz,0 1 1 0 0 0
Don't Wanna Know                                                            ,Maroon 5         ,5811,04/01/2017,cz,0 1 1 0 0 0
Say You Won't Let Go                                                        ,James Arthur     ,5763,04/01/2017,cz,0 1 1 0 0 0
Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,5696,04/01/2017,cz,0 1 1 0 0 0
I Feel It Coming                                                            ,The Weeknd       ,5548,04/01/2017,cz,0 1 1 0 0 0
All We Know                                                                 ,The Chainsmokers ,5296,04/01/2017,cz,0 1 1 0 0 0
Starboy                                                                     ,The Weeknd       ,8125,05/01/2017,cz,0 0 1 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,7417,05/01/2017,cz,0 0 1 0 0 0
Closer                                                                      ,The Chainsmokers ,7009,05/01/2017,cz,0 0 1 0 0 0
Let Me Love You                                                             ,DJ Snake         ,6958,05/01/2017,cz,0 0 1 0 0 0
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,6786,05/01/2017,cz,0 0 1 0 0 0
Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,5988,05/01/2017,cz,0 0 1 0 0 0
Don't Wanna Know                                                            ,Maroon 5         ,5832,05/01/2017,cz,0 0 1 0 0 0
I Feel It Coming                                                            ,The Weeknd       ,5741,05/01/2017,cz,0 0 1 0 0 0
Say You Won't Let Go                                                        ,James Arthur     ,5585,05/01/2017,cz,0 0 1 0 0 0
Heathens                                                                    ,Twenty One Pilots,5256,05/01/2017,cz,0 0 1 0 0 0
Shape of You                                                                ,Ed Sheeran       ,17225,06/01/2017,cz,0 0 1 0 0 0
Castle on the Hill                                                          ,Ed Sheeran       ,14633,06/01/2017,cz,0 0 1 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,7886,06/01/2017,cz,0 0 1 0 0 0
Starboy                                                                     ,The Weeknd       ,7793,06/01/2017,cz,0 0 1 0 0 0
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,6924,06/01/2017,cz,0 0 1 0 0 0
Closer                                                                      ,The Chainsmokers ,6790,06/01/2017,cz,0 0 1 0 0 0
Let Me Love You                                                             ,DJ Snake         ,6408,06/01/2017,cz,0 0 1 0 0 0
Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,6363,06/01/2017,cz,0 0 1 0 0 0
Don't Wanna Know                                                            ,Maroon 5         ,6058,06/01/2017,cz,0 0 1 0 0 0
Heathens                                                                    ,Twenty One Pilots,5623,06/01/2017,cz,0 0 1 0 0 0
Shape of You                                                                ,Ed Sheeran       ,18859,07/01/2017,cz,0 0 1 0 0 0
Castle on the Hill                                                          ,Ed Sheeran       ,12555,07/01/2017,cz,0 0 1 0 0 0
Closer                                                                      ,The Chainsmokers ,7730,07/01/2017,cz,0 0 1 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,7666,07/01/2017,cz,0 0 1 0 0 0
Starboy                                                                     ,The Weeknd       ,7592,07/01/2017,cz,0 0 1 0 0 0
Let Me Love You                                                             ,DJ Snake         ,7457,07/01/2017,cz,0 0 1 0 0 0
