Track Name,Artist,Streams,Date,Country,Indicators
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,229398,01/01/2017,de,0 0 0 0 0 0
Alone                                                                       ,Alan Walker      ,192026,01/01/2017,de,0 0 0 0 0 0
Chöre                                                                      ,Mark Forster     ,181869,01/01/2017,de,0 0 0 0 0 0
Starboy                                                                     ,The Weeknd       ,176328,01/01/2017,de,0 0 0 0 0 0
Closer                                                                      ,The Chainsmokers ,170745,01/01/2017,de,0 0 0 0 0 0
Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,168678,01/01/2017,de,0 0 0 0 0 0
Bad Ideas                                                                   ,Alle Farben      ,165064,01/01/2017,de,0 0 0 0 0 0
Ohne mein Team                                                              ,Bonez MC         ,164441,01/01/2017,de,0 0 0 0 0 0
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,163405,01/01/2017,de,0 0 0 0 0 0
Shed a Light                                                                ,Robin Schulz     ,153587,01/01/2017,de,0 0 0 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,258441,02/01/2017,de,0 1 1 0 0 0
Alone                                                                       ,Alan Walker      ,225333,02/01/2017,de,0 1 1 0 0 0
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,208742,02/01/2017,de,0 1 1 0 0 0
Starboy                                                                     ,The Weeknd       ,204511,02/01/2017,de,0 1 1 0 0 0
Chöre                                                                      ,Mark Forster     ,200768,02/01/2017,de,0 1 1 0 0 0
Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,191871,02/01/2017,de,0 1 1 0 0 0
Shed a Light                                                                ,Robin Schulz     ,190081,02/01/2017,de,0 1 1 0 0 0
Closer                                                                      ,The Chainsmokers ,188417,02/01/2017,de,0 1 1 0 0 0
Ohne mein Team                                                              ,Bonez MC         ,183307,02/01/2017,de,0 1 1 0 0 0
Now and Later                                                               ,Sage The Gemini  ,180199,02/01/2017,de,0 1 1 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,251496,03/01/2017,de,0 1 1 0 0 0
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,221842,03/01/2017,de,0 1 1 0 0 0
Alone                                                                       ,Alan Walker      ,220708,03/01/2017,de,0 1 1 0 0 0
Starboy                                                                     ,The Weeknd       ,202324,03/01/2017,de,0 1 1 0 0 0
Shed a Light                                                                ,Robin Schulz     ,197148,03/01/2017,de,0 1 1 0 0 0
Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,194101,03/01/2017,de,0 1 1 0 0 0
Chöre                                                                      ,Mark Forster     ,189769,03/01/2017,de,0 1 1 0 0 0
Now and Later                                                               ,Sage The Gemini  ,185674,03/01/2017,de,0 1 1 0 0 0
Closer                                                                      ,The Chainsmokers ,182556,03/01/2017,de,0 1 1 0 0 0
Say You Won't Let Go                                                        ,James Arthur     ,182115,03/01/2017,de,0 1 1 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,258747,04/01/2017,de,0 1 1 1 1 0
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,227102,04/01/2017,de,0 1 1 1 1 0
Alone                                                                       ,Alan Walker      ,219935,04/01/2017,de,0 1 1 1 1 0
Starboy                                                                     ,The Weeknd       ,204781,04/01/2017,de,0 1 1 1 1 0
Shed a Light                                                                ,Robin Schulz     ,201854,04/01/2017,de,0 1 1 1 1 0
Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,196392,04/01/2017,de,0 1 1 1 1 0
Now and Later                                                               ,Sage The Gemini  ,194768,04/01/2017,de,0 1 1 1 1 0
Chöre                                                                      ,Mark Forster     ,191935,04/01/2017,de,0 1 1 1 1 0
Say You Won't Let Go                                                        ,James Arthur     ,185721,04/01/2017,de,0 1 1 1 1 0
Closer                                                                      ,The Chainsmokers ,184792,04/01/2017,de,0 1 1 1 1 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,260574,05/01/2017,de,0 0 1 0 0 0
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,236232,05/01/2017,de,0 0 1 0 0 0
Alone                                                                       ,Alan Walker      ,223197,05/01/2017,de,0 0 1 0 0 0
Shed a Light                                                                ,Robin Schulz     ,210880,05/01/2017,de,0 0 1 0 0 0
Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,208653,05/01/2017,de,0 0 1 0 0 0
Starboy                                                                     ,The Weeknd       ,206234,05/01/2017,de,0 0 1 0 0 0
Now and Later                                                               ,Sage The Gemini  ,198016,05/01/2017,de,0 0 1 0 0 0
Chöre                                                                      ,Mark Forster     ,189493,05/01/2017,de,0 0 1 0 0 0
Say You Won't Let Go                                                        ,James Arthur     ,187946,05/01/2017,de,0 0 1 0 0 0
Closer                                                                      ,The Chainsmokers ,184568,05/01/2017,de,0 0 1 0 0 0
Castle on the Hill                                                          ,Ed Sheeran       ,336461,06/01/2017,de,0 0 0 0 0 0
Shape of You                                                                ,Ed Sheeran       ,307942,06/01/2017,de,0 0 0 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,273418,06/01/2017,de,0 0 0 0 0 0
