Track Name,Artist,Streams,Date,Country,Indicators
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,50956,01/01/2017,dk,0 1 0 0 0 0
Ked Af Det                                                                  ,Gulddreng        ,50360,01/01/2017,dk,0 1 0 0 0 0
KranAlarm                                                                   ,Jesu Brødre     ,45434,01/01/2017,dk,0 1 0 0 0 0
Helwa                                                                       ,Gilli            ,44174,01/01/2017,dk,0 1 0 0 0 0
Starboy                                                                     ,The Weeknd       ,43664,01/01/2017,dk,0 1 0 0 0 0
Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,43582,01/01/2017,dk,0 1 0 0 0 0
Say You Won't Let Go                                                        ,James Arthur     ,42353,01/01/2017,dk,0 1 0 0 0 0
I Feel It Coming                                                            ,The Weeknd       ,34601,01/01/2017,dk,0 1 0 0 0 0
Pakker Bar                                                                  ,NODE             ,33180,01/01/2017,dk,0 1 0 0 0 0
Black Beatles                                                               ,Rae Sremmurd     ,32893,01/01/2017,dk,0 1 0 0 0 0
Ked Af Det                                                                  ,Gulddreng        ,67870,02/01/2017,dk,0 0 0 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,64157,02/01/2017,dk,0 0 0 0 0 0
Helwa                                                                       ,Gilli            ,61138,02/01/2017,dk,0 0 0 0 0 0
Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,58524,02/01/2017,dk,0 0 0 0 0 0
Starboy                                                                     ,The Weeknd       ,57745,02/01/2017,dk,0 0 0 0 0 0
Say You Won't Let Go                                                        ,James Arthur     ,56993,02/01/2017,dk,0 0 0 0 0 0
KranAlarm                                                                   ,Jesu Brødre     ,54453,02/01/2017,dk,0 0 0 0 0 0
I Feel It Coming                                                            ,The Weeknd       ,50030,02/01/2017,dk,0 0 0 0 0 0
Pakker Bar                                                                  ,NODE             ,49918,02/01/2017,dk,0 0 0 0 0 0
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,48818,02/01/2017,dk,0 0 0 0 0 0
Ked Af Det                                                                  ,Gulddreng        ,66338,03/01/2017,dk,1 1 0 0 0 0
Helwa                                                                       ,Gilli            ,63095,03/01/2017,dk,1 1 0 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,63039,03/01/2017,dk,1 1 0 0 0 0
Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,59382,03/01/2017,dk,1 1 0 0 0 0
Say You Won't Let Go                                                        ,James Arthur     ,59187,03/01/2017,dk,1 1 0 0 0 0
Starboy                                                                     ,The Weeknd       ,57576,03/01/2017,dk,1 1 0 0 0 0
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,53623,03/01/2017,dk,1 1 0 0 0 0
KranAlarm                                                                   ,Jesu Brødre     ,53104,03/01/2017,dk,1 1 0 0 0 0
Pakker Bar                                                                  ,NODE             ,52135,03/01/2017,dk,1 1 0 0 0 0
Giv Mig Noget                                                               ,Jimilian         ,51048,03/01/2017,dk,1 1 0 0 0 0
Ked Af Det                                                                  ,Gulddreng        ,65712,04/01/2017,dk,0 1 1 0 0 0
Helwa                                                                       ,Gilli            ,65664,04/01/2017,dk,0 1 1 0 0 0
