Track Name,Artist,Streams,Date,Country,Indicators
Chantaje                                                                    ,Shakira          ,7707,01/01/2017,do,0 1 0 0 0 0
Otra Vez (feat. J Balvin)                                                   ,Zion & Lennox    ,7267,01/01/2017,do,0 1 0 0 0 0
Dile Que Tu Me Quieres                                                      ,Ozuna            ,7005,01/01/2017,do,0 1 0 0 0 0
Diles (feat. Arcangel, Nengo Flow, Dj Luian & Mambo Kings)                  ,Farruko          ,6606,01/01/2017,do,0 1 0 0 0 0
Dema Ga Ge Gi Go Gu                                                         ,El Alfa          ,6313,01/01/2017,do,0 1 0 0 0 0
Safari                                                                      ,J Balvin         ,6253,01/01/2017,do,0 1 0 0 0 0
Soy Peor                                                                    ,Bad Bunny        ,6170,01/01/2017,do,0 1 0 0 0 0
Tu No Vive Asi (feat. Mambo Kingz & DJ Luian)                               ,Arcangel         ,6024,01/01/2017,do,0 1 0 0 0 0
Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]            ,Anuel Aa         ,5352,01/01/2017,do,0 1 0 0 0 0
Let Me Love You                                                             ,DJ Snake         ,4568,01/01/2017,do,0 1 0 0 0 0
Chantaje                                                                    ,Shakira          ,7346,02/01/2017,do,0 0 0 0 0 0
Soy Peor                                                                    ,Bad Bunny        ,7129,02/01/2017,do,0 0 0 0 0 0
Diles (feat. Arcangel, Nengo Flow, Dj Luian & Mambo Kings)                  ,Farruko          ,6346,02/01/2017,do,0 0 0 0 0 0
Otra Vez (feat. J Balvin)                                                   ,Zion & Lennox    ,6189,02/01/2017,do,0 0 0 0 0 0
Tu No Vive Asi (feat. Mambo Kingz & DJ Luian)                               ,Arcangel         ,6094,02/01/2017,do,0 0 0 0 0 0
Dile Que Tu Me Quieres                                                      ,Ozuna            ,6042,02/01/2017,do,0 0 0 0 0 0
Dema Ga Ge Gi Go Gu                                                         ,El Alfa          ,5565,02/01/2017,do,0 0 0 0 0 0
Safari                                                                      ,J Balvin         ,5273,02/01/2017,do,0 0 0 0 0 0
Sola (Remix) [feat. Daddy Yankee, Wisin, Farruko, Zion & Lennox]            ,Anuel Aa         ,5267,02/01/2017,do,0 0 0 0 0 0
Let Me Love You                                                             ,DJ Snake         ,4920,02/01/2017,do,0 0 0 0 0 0
Soy Peor                                                                    ,Bad Bunny        ,8100,03/01/2017,do,0 0 0 0 0 0
Chantaje                                                                    ,Shakira          ,7582,03/01/2017,do,0 0 0 0 0 0
Diles (feat. Arcangel, Nengo Flow, Dj Luian & Mambo Kings)                  ,Farruko          ,6885,03/01/2017,do,0 0 0 0 0 0
Tu No Vive Asi (feat. Mambo Kingz & DJ Luian)                               ,Arcangel         ,6585,03/01/2017,do,0 0 0 0 0 0
Otra Vez (feat. J Balvin)                                                   ,Zion & Lennox    ,6437,03/01/2017,do,0 0 0 0 0 0
Dema Ga Ge Gi Go Gu                                                         ,El Alfa          ,6138,03/01/2017,do,0 0 0 0 0 0
Dile Que Tu Me Quieres                                                      ,Ozuna            ,6076,03/01/2017,do,0 0 0 0 0 0
