Track Name,Artist,Streams,Date,Country,Indicators
Reggaet�n Lento (Bailemos)                                                  ,CNCO             ,19272,01/01/2017,ec,0 1 0 0 0 0
Chantaje                                                                    ,Shakira          ,19270,01/01/2017,ec,0 1 0 0 0 0
Otra Vez (feat. J Balvin)                                                   ,Zion & Lennox    ,15761,01/01/2017,ec,0 1 0 0 0 0
Vente Pa' Ca                                                                ,Ricky Martin     ,14954,01/01/2017,ec,0 1 0 0 0 0
Safari                                                                      ,J Balvin         ,14269,01/01/2017,ec,0 1 0 0 0 0
La Bicicleta                                                                ,Carlos Vives     ,12843,01/01/2017,ec,0 1 0 0 0 0
Ay Mi Dios                                                                  ,IAmChino         ,10986,01/01/2017,ec,0 1 0 0 0 0
Andas En Mi Cabeza                                                          ,Chino & Nacho    ,10653,01/01/2017,ec,0 1 0 0 0 0
Traicionera                                                                 ,Sebastian Yatra  ,9807,01/01/2017,ec,0 1 0 0 0 0
Shaky Shaky                                                                 ,Daddy Yankee     ,9612,01/01/2017,ec,0 1 0 0 0 0
Reggaet�n Lento (Bailemos)                                                  ,CNCO             ,16672,02/01/2017,ec,0 0 0 0 0 0
Chantaje                                                                    ,Shakira          ,15594,02/01/2017,ec,0 0 0 0 0 0
Otra Vez (feat. J Balvin)                                                   ,Zion & Lennox    ,13507,02/01/2017,ec,0 0 0 0 0 0
Safari                                                                      ,J Balvin         ,11958,02/01/2017,ec,0 0 0 0 0 0
Vente Pa' Ca                                                                ,Ricky Martin     ,11590,02/01/2017,ec,0 0 0 0 0 0
Let Me Love You                                                             ,DJ Snake         ,9096,02/01/2017,ec,0 0 0 0 0 0
Ay Mi Dios                                                                  ,IAmChino         ,9023,02/01/2017,ec,0 0 0 0 0 0
Traicionera                                                                 ,Sebastian Yatra  ,8511,02/01/2017,ec,0 0 0 0 0 0
La Bicicleta                                                                ,Carlos Vives     ,8288,02/01/2017,ec,0 0 0 0 0 0
Vacaciones                                                                  ,Wisin            ,8205,02/01/2017,ec,0 0 0 0 0 0
Reggaet�n Lento (Bailemos)                                                  ,CNCO             ,17258,03/01/2017,ec,0 0 0 0 0 0
Chantaje                                                                    ,Shakira          ,16614,03/01/2017,ec,0 0 0 0 0 0
Otra Vez (feat. J Balvin)                                                   ,Zion & Lennox    ,14148,03/01/2017,ec,0 0 0 0 0 0
Safari                                                                      ,J Balvin         ,12336,03/01/2017,ec,0 0 0 0 0 0
Vente Pa' Ca                                                                ,Ricky Martin     ,12280,03/01/2017,ec,0 0 0 0 0 0
Let Me Love You                                                             ,DJ Snake         ,10652,03/01/2017,ec,0 0 0 0 0 0
Ay Mi Dios                                                                  ,IAmChino         ,9519,03/01/2017,ec,0 0 0 0 0 0
Closer                                                                      ,The Chainsmokers ,9244,03/01/2017,ec,0 0 0 0 0 0
Vacaciones                                                                  ,Wisin            ,9032,03/01/2017,ec,0 0 0 0 0 0
Traicionera                                                                 ,Sebastian Yatra  ,8993,03/01/2017,ec,0 0 0 0 0 0
Reggaet�n Lento (Bailemos)                                                  ,CNCO             ,18146,04/01/2017,ec,0 1 0 0 0 0
Chantaje                                                                    ,Shakira          ,16582,04/01/2017,ec,0 1 0 0 0 0
Otra Vez (feat. J Balvin)                                                   ,Zion & Lennox    ,14602,04/01/2017,ec,0 1 0 0 0 0
Vente Pa' Ca                                                                ,Ricky Martin     ,12413,04/01/2017,ec,0 1 0 0 0 0
Safari                                                                      ,J Balvin         ,12386,04/01/2017,ec,0 1 0 0 0 0
Let Me Love You                                                             ,DJ Snake         ,11303,04/01/2017,ec,0 1 0 0 0 0
Ay Mi Dios                                                                  ,IAmChino         ,10134,04/01/2017,ec,0 1 0 0 0 0
Closer                                                                      ,The Chainsmokers ,9747,04/01/2017,ec,0 1 0 0 0 0
Vacaciones                                                                  ,Wisin            ,9544,04/01/2017,ec,0 1 0 0 0 0
Traicionera                                                                 ,Sebastian Yatra  ,9073,04/01/2017,ec,0 1 0 0 0 0
Reggaet�n Lento (Bailemos)                                                  ,CNCO             ,17788,05/01/2017,ec,0 1 0 0 0 0
Chantaje                                                                    ,Shakira          ,16254,05/01/2017,ec,0 1 0 0 0 0
Otra Vez (feat. J Balvin)                                                   ,Zion & Lennox    ,14529,05/01/2017,ec,0 1 0 0 0 0
Vente Pa' Ca                                                                ,Ricky Martin     ,12337,05/01/2017,ec,0 1 0 0 0 0
Safari                                                                      ,J Balvin         ,12102,05/01/2017,ec,0 1 0 0 0 0
Let Me Love You                                                             ,DJ Snake         ,10765,05/01/2017,ec,0 1 0 0 0 0
Ay Mi Dios                                                                  ,IAmChino         ,10379,05/01/2017,ec,0 1 0 0 0 0
Vacaciones                                                                  ,Wisin            ,9666,05/01/2017,ec,0 1 0 0 0 0
Closer                                                                      ,The Chainsmokers ,9384,05/01/2017,ec,0 1 0 0 0 0
