Track Name,Artist,Streams,Date,Country,Indicators
Starboy                                                                     ,The Weeknd       ,1950,01/01/2017,ee,1 1 1 0 0 0
Tuesday                                                                     ,Burak Yeter      ,1727,01/01/2017,ee,1 1 1 0 0 0
Closer                                                                      ,The Chainsmokers ,1692,01/01/2017,ee,1 1 1 0 0 0
Alone                                                                       ,Alan Walker      ,1649,01/01/2017,ee,1 1 1 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,1638,01/01/2017,ee,1 1 1 0 0 0
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,1629,01/01/2017,ee,1 1 1 0 0 0
Black Beatles                                                               ,Rae Sremmurd     ,1427,01/01/2017,ee,1 1 1 0 0 0
Say You Won't Let Go                                                        ,James Arthur     ,1353,01/01/2017,ee,1 1 1 0 0 0
I Feel It Coming                                                            ,The Weeknd       ,1328,01/01/2017,ee,1 1 1 0 0 0
Let Me Love You                                                             ,DJ Snake         ,1296,01/01/2017,ee,1 1 1 0 0 0
Starboy                                                                     ,The Weeknd       ,2580,02/01/2017,ee,0 0 1 0 0 0
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,2287,02/01/2017,ee,0 0 1 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,2075,02/01/2017,ee,0 0 1 0 0 0
Closer                                                                      ,The Chainsmokers ,2070,02/01/2017,ee,0 0 1 0 0 0
Tuesday                                                                     ,Burak Yeter      ,2066,02/01/2017,ee,0 0 1 0 0 0
I Feel It Coming                                                            ,The Weeknd       ,1867,02/01/2017,ee,0 0 1 0 0 0
Alone                                                                       ,Alan Walker      ,1837,02/01/2017,ee,0 0 1 0 0 0
Say You Won't Let Go                                                        ,James Arthur     ,1740,02/01/2017,ee,0 0 1 0 0 0
Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,1682,02/01/2017,ee,0 0 1 0 0 0
Black Beatles                                                               ,Rae Sremmurd     ,1677,02/01/2017,ee,0 0 1 0 0 0
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,2636,03/01/2017,ee,0 0 1 0 0 0
Starboy                                                                     ,The Weeknd       ,2618,03/01/2017,ee,0 0 1 0 0 0
Closer                                                                      ,The Chainsmokers ,2186,03/01/2017,ee,0 0 1 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,2175,03/01/2017,ee,0 0 1 0 0 0
Tuesday                                                                     ,Burak Yeter      ,2169,03/01/2017,ee,0 0 1 0 0 0
Alone                                                                       ,Alan Walker      ,1948,03/01/2017,ee,0 0 1 0 0 0
Say You Won't Let Go                                                        ,James Arthur     ,1926,03/01/2017,ee,0 0 1 0 0 0
I Feel It Coming                                                            ,The Weeknd       ,1917,03/01/2017,ee,0 0 1 0 0 0
Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,1778,03/01/2017,ee,0 0 1 0 0 0
Let Me Love You                                                             ,DJ Snake         ,1739,03/01/2017,ee,0 0 1 0 0 0
Starboy                                                                     ,The Weeknd       ,2582,04/01/2017,ee,0 0 1 0 0 0
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,2579,04/01/2017,ee,0 0 1 0 0 0
