Track Name,Artist,Streams,Date,Country,Indicators
Chantaje                                                                    ,Shakira          ,189721,01/01/2017,es,0 0 0 0 0 0
Reggaet�n Lento (Bailemos)                                                  ,CNCO             ,165291,01/01/2017,es,0 0 0 0 0 0
Safari                                                                      ,J Balvin         ,141575,01/01/2017,es,0 0 0 0 0 0
Vente Pa' Ca                                                                ,Ricky Martin     ,119865,01/01/2017,es,0 0 0 0 0 0
La Bicicleta                                                                ,Carlos Vives     ,119181,01/01/2017,es,0 0 0 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,113411,01/01/2017,es,0 0 0 0 0 0
Traicionera                                                                 ,Sebastian Yatra  ,102619,01/01/2017,es,0 0 0 0 0 0
Gyal You A Party Animal - Remix                                             ,Charly Black     ,96304,01/01/2017,es,0 0 0 0 0 0
Otra Vez (feat. J Balvin)                                                   ,Zion & Lennox    ,95084,01/01/2017,es,0 0 0 0 0 0
24K Magic                                                                   ,Bruno Mars       ,82569,01/01/2017,es,0 0 0 0 0 0
Chantaje                                                                    ,Shakira          ,211834,02/01/2017,es,0 0 0 0 0 0
Reggaet�n Lento (Bailemos)                                                  ,CNCO             ,192725,02/01/2017,es,0 0 0 0 0 0
Safari                                                                      ,J Balvin         ,156542,02/01/2017,es,0 0 0 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,155818,02/01/2017,es,0 0 0 0 0 0
Vente Pa' Ca                                                                ,Ricky Martin     ,136916,02/01/2017,es,0 0 0 0 0 0
Otra Vez (feat. J Balvin)                                                   ,Zion & Lennox    ,122904,02/01/2017,es,0 0 0 0 0 0
Traicionera                                                                 ,Sebastian Yatra  ,120460,02/01/2017,es,0 0 0 0 0 0
Gyal You A Party Animal - Remix                                             ,Charly Black     ,118549,02/01/2017,es,0 0 0 0 0 0
Let Me Love You                                                             ,DJ Snake         ,113909,02/01/2017,es,0 0 0 0 0 0
24K Magic                                                                   ,Bruno Mars       ,110304,02/01/2017,es,0 0 0 0 0 0
Chantaje                                                                    ,Shakira          ,212954,03/01/2017,es,0 0 0 0 0 0
Reggaet�n Lento (Bailemos)                                                  ,CNCO             ,197352,03/01/2017,es,0 0 0 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,163770,03/01/2017,es,0 0 0 0 0 0
Safari                                                                      ,J Balvin         ,157405,03/01/2017,es,0 0 0 0 0 0
Vente Pa' Ca                                                                ,Ricky Martin     ,138957,03/01/2017,es,0 0 0 0 0 0
Otra Vez (feat. J Balvin)                                                   ,Zion & Lennox    ,128251,03/01/2017,es,0 0 0 0 0 0
Let Me Love You                                                             ,DJ Snake         ,119514,03/01/2017,es,0 0 0 0 0 0
Gyal You A Party Animal - Remix                                             ,Charly Black     ,119383,03/01/2017,es,0 0 0 0 0 0
Traicionera                                                                 ,Sebastian Yatra  ,118870,03/01/2017,es,0 0 0 0 0 0
24K Magic                                                                   ,Bruno Mars       ,114650,03/01/2017,es,0 0 0 0 0 0
Chantaje                                                                    ,Shakira          ,218958,04/01/2017,es,1 0 0 0 0 0
Reggaet�n Lento (Bailemos)                                                  ,CNCO             ,202983,04/01/2017,es,1 0 0 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,169582,04/01/2017,es,1 0 0 0 0 0
Safari                                                                      ,J Balvin         ,162648,04/01/2017,es,1 0 0 0 0 0
Vente Pa' Ca                                                                ,Ricky Martin     ,144620,04/01/2017,es,1 0 0 0 0 0
Otra Vez (feat. J Balvin)                                                   ,Zion & Lennox    ,133849,04/01/2017,es,1 0 0 0 0 0
Gyal You A Party Animal - Remix                                             ,Charly Black     ,125115,04/01/2017,es,1 0 0 0 0 0
Let Me Love You                                                             ,DJ Snake         ,123502,04/01/2017,es,1 0 0 0 0 0
Traicionera                                                                 ,Sebastian Yatra  ,123246,04/01/2017,es,1 0 0 0 0 0
24K Magic                                                                   ,Bruno Mars       ,116322,04/01/2017,es,1 0 0 0 0 0
Chantaje                                                                    ,Shakira          ,235938,05/01/2017,es,1 0 0 0 0 0
Reggaet�n Lento (Bailemos)                                                  ,CNCO             ,218044,05/01/2017,es,1 0 0 0 0 0
Safari                                                                      ,J Balvin         ,174141,05/01/2017,es,1 0 0 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,173294,05/01/2017,es,1 0 0 0 0 0
Vente Pa' Ca                                                                ,Ricky Martin     ,154965,05/01/2017,es,1 0 0 0 0 0
Otra Vez (feat. J Balvin)                                                   ,Zion & Lennox    ,143107,05/01/2017,es,1 0 0 0 0 0
Gyal You A Party Animal - Remix                                             ,Charly Black     ,134587,05/01/2017,es,1 0 0 0 0 0
Traicionera                                                                 ,Sebastian Yatra  ,129811,05/01/2017,es,1 0 0 0 0 0
Let Me Love You                                                             ,DJ Snake         ,123898,05/01/2017,es,1 0 0 0 0 0
