Track Name,Artist,Streams,Date,Country,Indicators
Hukutaan                                                                    ,Arttu Lindeman   ,60220,01/01/2017,fi,0 1 0 0 0 0
Alone                                                                       ,Alan Walker      ,56319,01/01/2017,fi,0 1 0 0 0 0
Loistat Pimeäs                                                             ,Mikael Gabriel   ,48022,01/01/2017,fi,0 1 0 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,44903,01/01/2017,fi,0 1 0 0 0 0
Sinuhe                                                                      ,Profeetat        ,38004,01/01/2017,fi,0 1 0 0 0 0
Starboy                                                                     ,The Weeknd       ,33454,01/01/2017,fi,0 1 0 0 0 0
Just Hold On                                                                ,Steve Aoki       ,32917,01/01/2017,fi,0 1 0 0 0 0
Tuesday                                                                     ,Burak Yeter      ,32423,01/01/2017,fi,0 1 0 0 0 0
Pisamat                                                                     ,Nikke Ankara     ,30998,01/01/2017,fi,0 1 0 0 0 0
Black Beatles                                                               ,Rae Sremmurd     ,29358,01/01/2017,fi,0 1 0 0 0 0
Hukutaan                                                                    ,Arttu Lindeman   ,71977,02/01/2017,fi,0 1 1 0 0 0
Alone                                                                       ,Alan Walker      ,66528,02/01/2017,fi,0 1 1 0 0 0
Loistat Pimeäs                                                             ,Mikael Gabriel   ,57862,02/01/2017,fi,0 1 1 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,55985,02/01/2017,fi,0 1 1 0 0 0
Sinuhe                                                                      ,Profeetat        ,45336,02/01/2017,fi,0 1 1 0 0 0
Just Hold On                                                                ,Steve Aoki       ,43341,02/01/2017,fi,0 1 1 0 0 0
Starboy                                                                     ,The Weeknd       ,42187,02/01/2017,fi,0 1 1 0 0 0
Steady 1234 (feat. Jasmine Thompson & Skizzy Mars)                          ,Vice             ,37189,02/01/2017,fi,0 1 1 0 0 0
Tuesday                                                                     ,Burak Yeter      ,37155,02/01/2017,fi,0 1 1 0 0 0
Pisamat                                                                     ,Nikke Ankara     ,37067,02/01/2017,fi,0 1 1 0 0 0
Hukutaan                                                                    ,Arttu Lindeman   ,70802,03/01/2017,fi,0 1 1 0 0 0
Alone                                                                       ,Alan Walker      ,66975,03/01/2017,fi,0 1 1 0 0 0
Loistat Pimeäs                                                             ,Mikael Gabriel   ,57442,03/01/2017,fi,0 1 1 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,55377,03/01/2017,fi,0 1 1 0 0 0
Just Hold On                                                                ,Steve Aoki       ,45404,03/01/2017,fi,0 1 1 0 0 0
Sinuhe                                                                      ,Profeetat        ,45318,03/01/2017,fi,0 1 1 0 0 0
Starboy                                                                     ,The Weeknd       ,41703,03/01/2017,fi,0 1 1 0 0 0
Steady 1234 (feat. Jasmine Thompson & Skizzy Mars)                          ,Vice             ,38712,03/01/2017,fi,0 1 1 0 0 0
Now and Later                                                               ,Sage The Gemini  ,37539,03/01/2017,fi,0 1 1 0 0 0
Pisamat                                                                     ,Nikke Ankara     ,37209,03/01/2017,fi,0 1 1 0 0 0
Mä hiihdän                                                                ,Antti Tuisku     ,140987,04/01/2017,fi,0 0 1 0 0 0
Hukutaan                                                                    ,Arttu Lindeman   ,71523,04/01/2017,fi,0 0 1 0 0 0
Alone                                                                       ,Alan Walker      ,69507,04/01/2017,fi,0 0 1 0 0 0
Loistat Pimeäs                                                             ,Mikael Gabriel   ,59438,04/01/2017,fi,0 0 1 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,57335,04/01/2017,fi,0 0 1 0 0 0
Sinuhe                                                                      ,Profeetat        ,48485,04/01/2017,fi,0 0 1 0 0 0
Just Hold On                                                                ,Steve Aoki       ,47896,04/01/2017,fi,0 0 1 0 0 0
Steady 1234 (feat. Jasmine Thompson & Skizzy Mars)                          ,Vice             ,44058,04/01/2017,fi,0 0 1 0 0 0
Starboy                                                                     ,The Weeknd       ,41643,04/01/2017,fi,0 0 1 0 0 0
Now and Later                                                               ,Sage The Gemini  ,39343,04/01/2017,fi,0 0 1 0 0 0
Mä hiihdän                                                                ,Antti Tuisku     ,114126,05/01/2017,fi,0 0 1 0 0 0
Alone                                                                       ,Alan Walker      ,75003,05/01/2017,fi,0 0 1 0 0 0
Hukutaan                                                                    ,Arttu Lindeman   ,74342,05/01/2017,fi,0 0 1 0 0 0
Loistat Pimeäs                                                             ,Mikael Gabriel   ,62433,05/01/2017,fi,0 0 1 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,60655,05/01/2017,fi,0 0 1 0 0 0
Sinuhe                                                                      ,Profeetat        ,51508,05/01/2017,fi,0 0 1 0 0 0
Just Hold On                                                                ,Steve Aoki       ,49974,05/01/2017,fi,0 0 1 0 0 0
Steady 1234 (feat. Jasmine Thompson & Skizzy Mars)                          ,Vice             ,45288,05/01/2017,fi,0 0 1 0 0 0
Starboy                                                                     ,The Weeknd       ,44397,05/01/2017,fi,0 0 1 0 0 0
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,42792,05/01/2017,fi,0 0 1 0 0 0
Mä hiihdän                                                                ,Antti Tuisku     ,106889,06/01/2017,fi,0 0 1 0 0 0
Shape of You                                                                ,Ed Sheeran       ,94929,06/01/2017,fi,0 0 1 0 0 0
Alone                                                                       ,Alan Walker      ,72242,06/01/2017,fi,0 0 1 0 0 0
Castle on the Hill                                                          ,Ed Sheeran       ,72021,06/01/2017,fi,0 0 1 0 0 0
Hukutaan                                                                    ,Arttu Lindeman   ,68097,06/01/2017,fi,0 0 1 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,60377,06/01/2017,fi,0 0 1 0 0 0
Loistat Pimeäs                                                             ,Mikael Gabriel   ,58936,06/01/2017,fi,0 0 1 0 0 0
Sinuhe                                                                      ,Profeetat        ,50227,06/01/2017,fi,0 0 1 0 0 0
Just Hold On                                                                ,Steve Aoki       ,47213,06/01/2017,fi,0 0 1 0 0 0
Starboy                                                                     ,The Weeknd       ,44143,06/01/2017,fi,0 0 1 0 0 0
Shape of You                                                                ,Ed Sheeran       ,114036,07/01/2017,fi,0 1 1 0 0 0
Mä hiihdän                                                                ,Antti Tuisku     ,89072,07/01/2017,fi,0 1 1 0 0 0
Alone                                                                       ,Alan Walker      ,71365,07/01/2017,fi,0 1 1 0 0 0
Castle on the Hill                                                          ,Ed Sheeran       ,70658,07/01/2017,fi,0 1 1 0 0 0
Hukutaan                                                                    ,Arttu Lindeman   ,63168,07/01/2017,fi,0 1 1 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,60097,07/01/2017,fi,0 1 1 0 0 0
Loistat Pimeäs                                                             ,Mikael Gabriel   ,55513,07/01/2017,fi,0 1 1 0 0 0
Sinuhe                                                                      ,Profeetat        ,48877,07/01/2017,fi,0 1 1 0 0 0
Just Hold On                                                                ,Steve Aoki       ,47251,07/01/2017,fi,0 1 1 0 0 0
Starboy                                                                     ,The Weeknd       ,43413,07/01/2017,fi,0 1 1 0 0 0
Shape of You                                                                ,Ed Sheeran       ,112523,08/01/2017,fi,1 1 0 0 0 0
Mä hiihdän                                                                ,Antti Tuisku     ,72154,08/01/2017,fi,1 1 0 0 0 0
Castle on the Hill                                                          ,Ed Sheeran       ,64475,08/01/2017,fi,1 1 0 0 0 0
Alone                                                                       ,Alan Walker      ,64099,08/01/2017,fi,1 1 0 0 0 0
Hukutaan                                                                    ,Arttu Lindeman   ,58725,08/01/2017,fi,1 1 0 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,52105,08/01/2017,fi,1 1 0 0 0 0
Loistat Pimeäs                                                             ,Mikael Gabriel   ,51486,08/01/2017,fi,1 1 0 0 0 0
Sinuhe                                                                      ,Profeetat        ,43833,08/01/2017,fi,1 1 0 0 0 0
Just Hold On                                                                ,Steve Aoki       ,42671,08/01/2017,fi,1 1 0 0 0 0
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,39001,08/01/2017,fi,1 1 0 0 0 0
Shape of You                                                                ,Ed Sheeran       ,124228,09/01/2017,fi,0 1 0 0 0 0
Castle on the Hill                                                          ,Ed Sheeran       ,70768,09/01/2017,fi,0 1 0 0 0 0
Mä hiihdän                                                                ,Antti Tuisku     ,70525,09/01/2017,fi,0 1 0 0 0 0
Alone                                                                       ,Alan Walker      ,67838,09/01/2017,fi,0 1 0 0 0 0
Hukutaan                                                                    ,Arttu Lindeman   ,59201,09/01/2017,fi,0 1 0 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,57313,09/01/2017,fi,0 1 0 0 0 0
Loistat Pimeäs                                                             ,Mikael Gabriel   ,55760,09/01/2017,fi,0 1 0 0 0 0
Just Hold On                                                                ,Steve Aoki       ,48077,09/01/2017,fi,0 1 0 0 0 0
Sinuhe                                                                      ,Profeetat        ,45831,09/01/2017,fi,0 1 0 0 0 0
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,43843,09/01/2017,fi,0 1 0 0 0 0
Shape of You                                                                ,Ed Sheeran       ,121858,10/01/2017,fi,0 1 0 0 0 0
Castle on the Hill                                                          ,Ed Sheeran       ,67930,10/01/2017,fi,0 1 0 0 0 0
