Track Name,Artist,Streams,Date,Country,Indicators
One Dance                                                                   ,Drake            ,89403,01/01/2017,fr,0 0 1 0 0 0
Starboy                                                                     ,The Weeknd       ,80882,01/01/2017,fr,0 0 1 0 0 0
24K Magic                                                                   ,Bruno Mars       ,80838,01/01/2017,fr,0 0 1 0 0 0
My Way                                                                      ,Calvin Harris    ,72133,01/01/2017,fr,0 0 1 0 0 0
Mauvaise graine                                                             ,Nekfeu           ,71082,01/01/2017,fr,0 0 1 0 0 0
Squa                                                                        ,Nekfeu           ,70542,01/01/2017,fr,0 0 1 0 0 0
Let Me Love You                                                             ,DJ Snake         ,69647,01/01/2017,fr,0 0 1 0 0 0
Afro Trap Pt. 7 (La puissance)                                              ,MHD              ,62394,01/01/2017,fr,0 0 1 0 0 0
Black Beatles                                                               ,Rae Sremmurd     ,60080,01/01/2017,fr,0 0 1 0 0 0
Tchoin                                                                      ,Kaaris           ,59226,01/01/2017,fr,0 0 1 0 0 0
Mauvaise graine                                                             ,Nekfeu           ,91971,02/01/2017,fr,0 1 0 0 0 0
Squa                                                                        ,Nekfeu           ,89589,02/01/2017,fr,0 1 0 0 0 0
Starboy                                                                     ,The Weeknd       ,84800,02/01/2017,fr,0 1 0 0 0 0
One Dance                                                                   ,Drake            ,75816,02/01/2017,fr,0 1 0 0 0 0
Saturne                                                                     ,Nekfeu           ,75007,02/01/2017,fr,0 1 0 0 0 0
Afro Trap Pt. 7 (La puissance)                                              ,MHD              ,74851,02/01/2017,fr,0 1 0 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,71209,02/01/2017,fr,0 1 0 0 0 0
24K Magic                                                                   ,Bruno Mars       ,71017,02/01/2017,fr,0 1 0 0 0 0
Sunset Lover                                                                ,Petit Biscuit    ,69774,02/01/2017,fr,0 1 0 0 0 0
My Way                                                                      ,Calvin Harris    ,67471,02/01/2017,fr,0 1 0 0 0 0
Mauvaise graine                                                             ,Nekfeu           ,94563,03/01/2017,fr,0 0 0 0 0 0
Squa                                                                        ,Nekfeu           ,91538,03/01/2017,fr,0 0 0 0 0 0
Afro Trap Pt. 7 (La puissance)                                              ,MHD              ,78764,03/01/2017,fr,0 0 0 0 0 0
Starboy                                                                     ,The Weeknd       ,77771,03/01/2017,fr,0 0 0 0 0 0
Saturne                                                                     ,Nekfeu           ,77617,03/01/2017,fr,0 0 0 0 0 0
Tchoin                                                                      ,Kaaris           ,67579,03/01/2017,fr,0 0 0 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,66333,03/01/2017,fr,0 0 0 0 0 0
One Dance                                                                   ,Drake            ,65624,03/01/2017,fr,0 0 0 0 0 0
Human                                                                       ,Rag'n'Bone Man   ,63899,03/01/2017,fr,0 0 0 0 0 0
24K Magic                                                                   ,Bruno Mars       ,61259,03/01/2017,fr,0 0 0 0 0 0
Mauvaise graine                                                             ,Nekfeu           ,99606,04/01/2017,fr,0 1 0 0 0 0
Squa                                                                        ,Nekfeu           ,96790,04/01/2017,fr,0 1 0 0 0 0
Starboy                                                                     ,The Weeknd       ,89968,04/01/2017,fr,0 1 0 0 0 0
Afro Trap Pt. 7 (La puissance)                                              ,MHD              ,85188,04/01/2017,fr,0 1 0 0 0 0
Saturne                                                                     ,Nekfeu           ,81826,04/01/2017,fr,0 1 0 0 0 0
One Dance                                                                   ,Drake            ,78569,04/01/2017,fr,0 1 0 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,77994,04/01/2017,fr,0 1 0 0 0 0
Human                                                                       ,Rag'n'Bone Man   ,77049,04/01/2017,fr,0 1 0 0 0 0
Sunset Lover                                                                ,Petit Biscuit    ,75157,04/01/2017,fr,0 1 0 0 0 0
