Track Name,Artist,Streams,Date,Country,Indicators
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,272020,01/01/2017,gb,0 1 0 0 0 0
Starboy                                                                     ,The Weeknd       ,209873,01/01/2017,gb,0 1 0 0 0 0
Say You Won't Let Go                                                        ,James Arthur     ,194633,01/01/2017,gb,0 1 0 0 0 0
Sexual                                                                      ,NEIKED           ,184896,01/01/2017,gb,0 1 0 0 0 0
I Would Like                                                                ,Zara Larsson     ,182520,01/01/2017,gb,0 1 0 0 0 0
Touch                                                                       ,Little Mix       ,178228,01/01/2017,gb,0 1 0 0 0 0
Closer                                                                      ,The Chainsmokers ,175261,01/01/2017,gb,0 1 0 0 0 0
One Dance                                                                   ,Drake            ,168014,01/01/2017,gb,0 1 0 0 0 0
Don't Wanna Know                                                            ,Maroon 5         ,166120,01/01/2017,gb,0 1 0 0 0 0
Black Beatles                                                               ,Rae Sremmurd     ,159432,01/01/2017,gb,0 1 0 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,303812,02/01/2017,gb,0 0 0 0 0 0
Touch                                                                       ,Little Mix       ,242166,02/01/2017,gb,0 0 0 0 0 0
I Would Like                                                                ,Zara Larsson     ,241482,02/01/2017,gb,0 0 0 0 0 0
Say You Won't Let Go                                                        ,James Arthur     ,240217,02/01/2017,gb,0 0 0 0 0 0
Starboy                                                                     ,The Weeknd       ,233511,02/01/2017,gb,0 0 0 0 0 0
Sexual                                                                      ,NEIKED           ,215355,02/01/2017,gb,0 0 0 0 0 0
Just Hold On                                                                ,Steve Aoki       ,203970,02/01/2017,gb,0 0 0 0 0 0
Don't Wanna Know                                                            ,Maroon 5         ,202536,02/01/2017,gb,0 0 0 0 0 0
Human                                                                       ,Rag'n'Bone Man   ,198193,02/01/2017,gb,0 0 0 0 0 0
Closer                                                                      ,The Chainsmokers ,196995,02/01/2017,gb,0 0 0 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,322236,03/01/2017,gb,0 0 0 0 0 0
Touch                                                                       ,Little Mix       ,272114,03/01/2017,gb,0 0 0 0 0 0
I Would Like                                                                ,Zara Larsson     ,265908,03/01/2017,gb,0 0 0 0 0 0
Say You Won't Let Go                                                        ,James Arthur     ,260138,03/01/2017,gb,0 0 0 0 0 0
Starboy                                                                     ,The Weeknd       ,254313,03/01/2017,gb,0 0 0 0 0 0
Sexual                                                                      ,NEIKED           ,233628,03/01/2017,gb,0 0 0 0 0 0
Just Hold On                                                                ,Steve Aoki       ,225422,03/01/2017,gb,0 0 0 0 0 0
Human                                                                       ,Rag'n'Bone Man   ,223774,03/01/2017,gb,0 0 0 0 0 0
Don't Wanna Know                                                            ,Maroon 5         ,221702,03/01/2017,gb,0 0 0 0 0 0
Closer                                                                      ,The Chainsmokers ,203369,03/01/2017,gb,0 0 0 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,321863,04/01/2017,gb,0 1 0 0 0 0
Touch                                                                       ,Little Mix       ,284652,04/01/2017,gb,0 1 0 0 0 0
I Would Like                                                                ,Zara Larsson     ,275854,04/01/2017,gb,0 1 0 0 0 0
Say You Won't Let Go                                                        ,James Arthur     ,265281,04/01/2017,gb,0 1 0 0 0 0
Starboy                                                                     ,The Weeknd       ,252617,04/01/2017,gb,0 1 0 0 0 0
Sexual                                                                      ,NEIKED           ,237082,04/01/2017,gb,0 1 0 0 0 0
Just Hold On                                                                ,Steve Aoki       ,235220,04/01/2017,gb,0 1 0 0 0 0
Human                                                                       ,Rag'n'Bone Man   ,234385,04/01/2017,gb,0 1 0 0 0 0
Don't Wanna Know                                                            ,Maroon 5         ,227669,04/01/2017,gb,0 1 0 0 0 0
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,218422,04/01/2017,gb,0 1 0 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,305680,05/01/2017,gb,0 0 0 0 0 0
Touch                                                                       ,Little Mix       ,272143,05/01/2017,gb,0 0 0 0 0 0
I Would Like                                                                ,Zara Larsson     ,265100,05/01/2017,gb,0 0 0 0 0 0
Say You Won't Let Go                                                        ,James Arthur     ,253597,05/01/2017,gb,0 0 0 0 0 0
Starboy                                                                     ,The Weeknd       ,248526,05/01/2017,gb,0 0 0 0 0 0
Just Hold On                                                                ,Steve Aoki       ,228409,05/01/2017,gb,0 0 0 0 0 0
Human                                                                       ,Rag'n'Bone Man   ,225536,05/01/2017,gb,0 0 0 0 0 0
Sexual                                                                      ,NEIKED           ,223379,05/01/2017,gb,0 0 0 0 0 0
Don't Wanna Know                                                            ,Maroon 5         ,209880,05/01/2017,gb,0 0 0 0 0 0
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,207802,05/01/2017,gb,0 0 0 0 0 0
Shape of You                                                                ,Ed Sheeran       ,1280898,06/01/2017,gb,1 1 0 0 0 0
