Track Name,Artist,Streams,Date,Country,Indicators
Starboy                                                                     ,The Weeknd       ,4209,01/01/2017,gr,0 0 0 0 0 0
Let Me Love You                                                             ,DJ Snake         ,2467,01/01/2017,gr,0 0 0 0 0 0
Closer                                                                      ,The Chainsmokers ,2450,01/01/2017,gr,0 0 0 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,2183,01/01/2017,gr,0 0 0 0 0 0
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,2045,01/01/2017,gr,0 0 0 0 0 0
One Dance                                                                   ,Drake            ,2006,01/01/2017,gr,0 0 0 0 0 0
Fake Love                                                                   ,Drake            ,1938,01/01/2017,gr,0 0 0 0 0 0
Black Beatles                                                               ,Rae Sremmurd     ,1936,01/01/2017,gr,0 0 0 0 0 0
I Feel It Coming                                                            ,The Weeknd       ,1861,01/01/2017,gr,0 0 0 0 0 0
Don't Wanna Know                                                            ,Maroon 5         ,1836,01/01/2017,gr,0 0 0 0 0 0
Starboy                                                                     ,The Weeknd       ,4835,02/01/2017,gr,0 0 0 0 0 0
Let Me Love You                                                             ,DJ Snake         ,2637,02/01/2017,gr,0 0 0 0 0 0
Closer                                                                      ,The Chainsmokers ,2634,02/01/2017,gr,0 0 0 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,2554,02/01/2017,gr,0 0 0 0 0 0
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,2503,02/01/2017,gr,0 0 0 0 0 0
Fake Love                                                                   ,Drake            ,2443,02/01/2017,gr,0 0 0 0 0 0
One Dance                                                                   ,Drake            ,2181,02/01/2017,gr,0 0 0 0 0 0
Black Beatles                                                               ,Rae Sremmurd     ,2131,02/01/2017,gr,0 0 0 0 0 0
I Feel It Coming                                                            ,The Weeknd       ,2128,02/01/2017,gr,0 0 0 0 0 0
Don't Wanna Know                                                            ,Maroon 5         ,2005,02/01/2017,gr,0 0 0 0 0 0
Starboy                                                                     ,The Weeknd       ,5026,03/01/2017,gr,0 0 0 0 0 0
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,3062,03/01/2017,gr,0 0 0 0 0 0
Closer                                                                      ,The Chainsmokers ,2820,03/01/2017,gr,0 0 0 0 0 0
Let Me Love You                                                             ,DJ Snake         ,2776,03/01/2017,gr,0 0 0 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,2631,03/01/2017,gr,0 0 0 0 0 0
Fake Love                                                                   ,Drake            ,2577,03/01/2017,gr,0 0 0 0 0 0
I Feel It Coming                                                            ,The Weeknd       ,2331,03/01/2017,gr,0 0 0 0 0 0
Don't Wanna Know                                                            ,Maroon 5         ,2295,03/01/2017,gr,0 0 0 0 0 0
Black Beatles                                                               ,Rae Sremmurd     ,2167,03/01/2017,gr,0 0 0 0 0 0
Just Hold On                                                                ,Steve Aoki       ,2060,03/01/2017,gr,0 0 0 0 0 0
Starboy                                                                     ,The Weeknd       ,5359,04/01/2017,gr,0 1 0 0 0 0
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,3101,04/01/2017,gr,0 1 0 0 0 0
Closer                                                                      ,The Chainsmokers ,3034,04/01/2017,gr,0 1 0 0 0 0
Let Me Love You                                                             ,DJ Snake         ,2873,04/01/2017,gr,0 1 0 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,2812,04/01/2017,gr,0 1 0 0 0 0
Fake Love                                                                   ,Drake            ,2713,04/01/2017,gr,0 1 0 0 0 0
I Feel It Coming                                                            ,The Weeknd       ,2515,04/01/2017,gr,0 1 0 0 0 0
Black Beatles                                                               ,Rae Sremmurd     ,2327,04/01/2017,gr,0 1 0 0 0 0
One Dance                                                                   ,Drake            ,2244,04/01/2017,gr,0 1 0 0 0 0
Don't Wanna Know                                                            ,Maroon 5         ,2202,04/01/2017,gr,0 1 0 0 0 0
Starboy                                                                     ,The Weeknd       ,5439,05/01/2017,gr,0 1 0 0 0 0
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,3235,05/01/2017,gr,0 1 0 0 0 0
Let Me Love You                                                             ,DJ Snake         ,3030,05/01/2017,gr,0 1 0 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,3020,05/01/2017,gr,0 1 0 0 0 0
Closer                                                                      ,The Chainsmokers ,2976,05/01/2017,gr,0 1 0 0 0 0
Fake Love                                                                   ,Drake            ,2702,05/01/2017,gr,0 1 0 0 0 0
I Feel It Coming                                                            ,The Weeknd       ,2655,05/01/2017,gr,0 1 0 0 0 0
Don't Wanna Know                                                            ,Maroon 5         ,2325,05/01/2017,gr,0 1 0 0 0 0
Black Beatles                                                               ,Rae Sremmurd     ,2300,05/01/2017,gr,0 1 0 0 0 0
One Dance                                                                   ,Drake            ,2271,05/01/2017,gr,0 1 0 0 0 0
Shape of You                                                                ,Ed Sheeran       ,9568,06/01/2017,gr,0 1 0 0 0 0
Castle on the Hill                                                          ,Ed Sheeran       ,6689,06/01/2017,gr,0 1 0 0 0 0
Starboy                                                                     ,The Weeknd       ,4957,06/01/2017,gr,0 1 0 0 0 0
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,3167,06/01/2017,gr,0 1 0 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,2965,06/01/2017,gr,0 1 0 0 0 0
Let Me Love You                                                             ,DJ Snake         ,2778,06/01/2017,gr,0 1 0 0 0 0
Closer                                                                      ,The Chainsmokers ,2613,06/01/2017,gr,0 1 0 0 0 0
Fake Love                                                                   ,Drake            ,2585,06/01/2017,gr,0 1 0 0 0 0
Black Beatles                                                               ,Rae Sremmurd     ,2376,06/01/2017,gr,0 1 0 0 0 0
Don't Wanna Know                                                            ,Maroon 5         ,2370,06/01/2017,gr,0 1 0 0 0 0
Shape of You                                                                ,Ed Sheeran       ,9211,07/01/2017,gr,0 0 0 0 0 0
Castle on the Hill                                                          ,Ed Sheeran       ,5100,07/01/2017,gr,0 0 0 0 0 0
Starboy                                                                     ,The Weeknd       ,4846,07/01/2017,gr,0 0 0 0 0 0
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,3123,07/01/2017,gr,0 0 0 0 0 0
Closer                                                                      ,The Chainsmokers ,3014,07/01/2017,gr,0 0 0 0 0 0
Let Me Love You                                                             ,DJ Snake         ,2980,07/01/2017,gr,0 0 0 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,2960,07/01/2017,gr,0 0 0 0 0 0
Fake Love                                                                   ,Drake            ,2753,07/01/2017,gr,0 0 0 0 0 0
One Dance                                                                   ,Drake            ,2564,07/01/2017,gr,0 0 0 0 0 0
I Feel It Coming                                                            ,The Weeknd       ,2455,07/01/2017,gr,0 0 0 0 0 0
Shape of You                                                                ,Ed Sheeran       ,10472,08/01/2017,gr,0 0 0 0 0 0
Castle on the Hill                                                          ,Ed Sheeran       ,5599,08/01/2017,gr,0 0 0 0 0 0
Starboy                                                                     ,The Weeknd       ,4499,08/01/2017,gr,0 0 0 0 0 0
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,3234,08/01/2017,gr,0 0 0 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,3010,08/01/2017,gr,0 0 0 0 0 0
Fake Love                                                                   ,Drake            ,2518,08/01/2017,gr,0 0 0 0 0 0
Closer                                                                      ,The Chainsmokers ,2472,08/01/2017,gr,0 0 0 0 0 0
Let Me Love You                                                             ,DJ Snake         ,2426,08/01/2017,gr,0 0 0 0 0 0
I Feel It Coming                                                            ,The Weeknd       ,2356,08/01/2017,gr,0 0 0 0 0 0
Don't Wanna Know                                                            ,Maroon 5         ,2355,08/01/2017,gr,0 0 0 0 0 0
Shape of You                                                                ,Ed Sheeran       ,10143,09/01/2017,gr,0 0 1 0 0 0
Castle on the Hill                                                          ,Ed Sheeran       ,5081,09/01/2017,gr,0 0 1 0 0 0
Starboy                                                                     ,The Weeknd       ,4699,09/01/2017,gr,0 0 1 0 0 0
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,3380,09/01/2017,gr,0 0 1 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,3107,09/01/2017,gr,0 0 1 0 0 0
Fake Love                                                                   ,Drake            ,2697,09/01/2017,gr,0 0 1 0 0 0
Closer                                                                      ,The Chainsmokers ,2378,09/01/2017,gr,0 0 1 0 0 0
I Feel It Coming                                                            ,The Weeknd       ,2370,09/01/2017,gr,0 0 1 0 0 0
Let Me Love You                                                             ,DJ Snake         ,2369,09/01/2017,gr,0 0 1 0 0 0
Don't Wanna Know                                                            ,Maroon 5         ,2362,09/01/2017,gr,0 0 1 0 0 0
Shape of You                                                                ,Ed Sheeran       ,10334,10/01/2017,gr,0 0 1 0 0 0
Starboy                                                                     ,The Weeknd       ,5025,10/01/2017,gr,0 0 1 0 0 0
Castle on the Hill                                                          ,Ed Sheeran       ,4806,10/01/2017,gr,0 0 1 0 0 0
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,4194,10/01/2017,gr,0 0 1 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,3552,10/01/2017,gr,0 0 1 0 0 0
Fake Love                                                                   ,Drake            ,2845,10/01/2017,gr,0 0 1 0 0 0
I Feel It Coming                                                            ,The Weeknd       ,2728,10/01/2017,gr,0 0 1 0 0 0
Don't Wanna Know                                                            ,Maroon 5         ,2630,10/01/2017,gr,0 0 1 0 0 0
Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,2623,10/01/2017,gr,0 0 1 0 0 0
Closer                                                                      ,The Chainsmokers ,2537,10/01/2017,gr,0 0 1 0 0 0
Shape of You                                                                ,Ed Sheeran       ,9161,11/01/2017,gr,0 1 0 0 0 0
Starboy                                                                     ,The Weeknd       ,4735,11/01/2017,gr,0 1 0 0 0 0
Castle on the Hill                                                          ,Ed Sheeran       ,4260,11/01/2017,gr,0 1 0 0 0 0
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,3429,11/01/2017,gr,0 1 0 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,3178,11/01/2017,gr,0 1 0 0 0 0
Fake Love                                                                   ,Drake            ,2652,11/01/2017,gr,0 1 0 0 0 0
I Feel It Coming                                                            ,The Weeknd       ,2618,11/01/2017,gr,0 1 0 0 0 0
Closer                                                                      ,The Chainsmokers ,2470,11/01/2017,gr,0 1 0 0 0 0
Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,2317,11/01/2017,gr,0 1 0 0 0 0
Don't Wanna Know                                                            ,Maroon 5         ,2267,11/01/2017,gr,0 1 0 0 0 0
Shape of You                                                                ,Ed Sheeran       ,9306,12/01/2017,gr,0 0 0 0 0 0
Starboy                                                                     ,The Weeknd       ,5446,12/01/2017,gr,0 0 0 0 0 0
Castle on the Hill                                                          ,Ed Sheeran       ,4304,12/01/2017,gr,0 0 0 0 0 0
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,3576,12/01/2017,gr,0 0 0 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,3328,12/01/2017,gr,0 0 0 0 0 0
I Feel It Coming                                                            ,The Weeknd       ,2966,12/01/2017,gr,0 0 0 0 0 0
Fake Love                                                                   ,Drake            ,2766,12/01/2017,gr,0 0 0 0 0 0
Closer                                                                      ,The Chainsmokers ,2591,12/01/2017,gr,0 0 0 0 0 0
Don't Wanna Know                                                            ,Maroon 5         ,2438,12/01/2017,gr,0 0 0 0 0 0
