Track Name,Artist,Streams,Date,Country,Indicators
Reggaet�n Lento (Bailemos)                                                  ,CNCO             ,9124,01/01/2017,gt,0 0 0 0 0 0
Otra Vez (feat. J Balvin)                                                   ,Zion & Lennox    ,8886,01/01/2017,gt,0 0 0 0 0 0
Chantaje                                                                    ,Shakira          ,8693,01/01/2017,gt,0 0 0 0 0 0
Safari                                                                      ,J Balvin         ,7482,01/01/2017,gt,0 0 0 0 0 0
Vente Pa' Ca                                                                ,Ricky Martin     ,6503,01/01/2017,gt,0 0 0 0 0 0
Let Me Love You                                                             ,DJ Snake         ,5401,01/01/2017,gt,0 0 0 0 0 0
La Bicicleta                                                                ,Carlos Vives     ,5318,01/01/2017,gt,0 0 0 0 0 0
Ay Mi Dios                                                                  ,IAmChino         ,5178,01/01/2017,gt,0 0 0 0 0 0
Closer                                                                      ,The Chainsmokers ,5044,01/01/2017,gt,0 0 0 0 0 0
Shaky Shaky                                                                 ,Daddy Yankee     ,4960,01/01/2017,gt,0 0 0 0 0 0
Reggaet�n Lento (Bailemos)                                                  ,CNCO             ,8163,02/01/2017,gt,0 0 0 0 0 0
Chantaje                                                                    ,Shakira          ,7494,02/01/2017,gt,0 0 0 0 0 0
Otra Vez (feat. J Balvin)                                                   ,Zion & Lennox    ,7329,02/01/2017,gt,0 0 0 0 0 0
Safari                                                                      ,J Balvin         ,5982,02/01/2017,gt,0 0 0 0 0 0
Let Me Love You                                                             ,DJ Snake         ,5785,02/01/2017,gt,0 0 0 0 0 0
Closer                                                                      ,The Chainsmokers ,5632,02/01/2017,gt,0 0 0 0 0 0
Vente Pa' Ca                                                                ,Ricky Martin     ,5389,02/01/2017,gt,0 0 0 0 0 0
Starboy                                                                     ,The Weeknd       ,4588,02/01/2017,gt,0 0 0 0 0 0
Ay Mi Dios                                                                  ,IAmChino         ,4559,02/01/2017,gt,0 0 0 0 0 0
One Dance                                                                   ,Drake            ,4182,02/01/2017,gt,0 0 0 0 0 0
Reggaet�n Lento (Bailemos)                                                  ,CNCO             ,9081,03/01/2017,gt,1 0 0 0 0 0
Chantaje                                                                    ,Shakira          ,8412,03/01/2017,gt,1 0 0 0 0 0
Otra Vez (feat. J Balvin)                                                   ,Zion & Lennox    ,8015,03/01/2017,gt,1 0 0 0 0 0
Let Me Love You                                                             ,DJ Snake         ,6476,03/01/2017,gt,1 0 0 0 0 0
Safari                                                                      ,J Balvin         ,6447,03/01/2017,gt,1 0 0 0 0 0
Closer                                                                      ,The Chainsmokers ,6053,03/01/2017,gt,1 0 0 0 0 0
Vente Pa' Ca                                                                ,Ricky Martin     ,5927,03/01/2017,gt,1 0 0 0 0 0
Starboy                                                                     ,The Weeknd       ,5026,03/01/2017,gt,1 0 0 0 0 0
Ay Mi Dios                                                                  ,IAmChino         ,4746,03/01/2017,gt,1 0 0 0 0 0
Don't Wanna Know                                                            ,Maroon 5         ,4676,03/01/2017,gt,1 0 0 0 0 0
Reggaet�n Lento (Bailemos)                                                  ,CNCO             ,8848,04/01/2017,gt,0 0 0 0 0 0
Chantaje                                                                    ,Shakira          ,8090,04/01/2017,gt,0 0 0 0 0 0
Otra Vez (feat. J Balvin)                                                   ,Zion & Lennox    ,7815,04/01/2017,gt,0 0 0 0 0 0
Let Me Love You                                                             ,DJ Snake         ,6437,04/01/2017,gt,0 0 0 0 0 0
Safari                                                                      ,J Balvin         ,6373,04/01/2017,gt,0 0 0 0 0 0
Closer                                                                      ,The Chainsmokers ,6013,04/01/2017,gt,0 0 0 0 0 0
Vente Pa' Ca                                                                ,Ricky Martin     ,5632,04/01/2017,gt,0 0 0 0 0 0
Starboy                                                                     ,The Weeknd       ,5036,04/01/2017,gt,0 0 0 0 0 0
Ay Mi Dios                                                                  ,IAmChino         ,4836,04/01/2017,gt,0 0 0 0 0 0
In the Name of Love                                                         ,Martin Garrix    ,4722,04/01/2017,gt,0 0 0 0 0 0
Reggaet�n Lento (Bailemos)                                                  ,CNCO             ,9283,05/01/2017,gt,1 0 0 0 0 0
Otra Vez (feat. J Balvin)                                                   ,Zion & Lennox    ,8210,05/01/2017,gt,1 0 0 0 0 0
Chantaje                                                                    ,Shakira          ,8204,05/01/2017,gt,1 0 0 0 0 0
Safari                                                                      ,J Balvin         ,6513,05/01/2017,gt,1 0 0 0 0 0
Let Me Love You                                                             ,DJ Snake         ,6510,05/01/2017,gt,1 0 0 0 0 0
Closer                                                                      ,The Chainsmokers ,6210,05/01/2017,gt,1 0 0 0 0 0
Vente Pa' Ca                                                                ,Ricky Martin     ,5877,05/01/2017,gt,1 0 0 0 0 0
Starboy                                                                     ,The Weeknd       ,5060,05/01/2017,gt,1 0 0 0 0 0
Don't Wanna Know                                                            ,Maroon 5         ,4917,05/01/2017,gt,1 0 0 0 0 0
Ay Mi Dios                                                                  ,IAmChino         ,4830,05/01/2017,gt,1 0 0 0 0 0
Reggaet�n Lento (Bailemos)                                                  ,CNCO             ,9698,06/01/2017,gt,0 0 0 0 0 0
Chantaje                                                                    ,Shakira          ,8674,06/01/2017,gt,0 0 0 0 0 0
Otra Vez (feat. J Balvin)                                                   ,Zion & Lennox    ,8670,06/01/2017,gt,0 0 0 0 0 0
Safari                                                                      ,J Balvin         ,6798,06/01/2017,gt,0 0 0 0 0 0
Let Me Love You                                                             ,DJ Snake         ,6531,06/01/2017,gt,0 0 0 0 0 0
Vente Pa' Ca                                                                ,Ricky Martin     ,6074,06/01/2017,gt,0 0 0 0 0 0
Closer                                                                      ,The Chainsmokers ,5998,06/01/2017,gt,0 0 0 0 0 0
Shape of You                                                                ,Ed Sheeran       ,5127,06/01/2017,gt,0 0 0 0 0 0
Ay Mi Dios                                                                  ,IAmChino         ,5005,06/01/2017,gt,0 0 0 0 0 0
Starboy                                                                     ,The Weeknd       ,4982,06/01/2017,gt,0 0 0 0 0 0
Reggaet�n Lento (Bailemos)                                                  ,CNCO             ,9938,07/01/2017,gt,0 1 0 0 0 0
Otra Vez (feat. J Balvin)                                                   ,Zion & Lennox    ,8877,07/01/2017,gt,0 1 0 0 0 0
Chantaje                                                                    ,Shakira          ,8858,07/01/2017,gt,0 1 0 0 0 0
Safari                                                                      ,J Balvin         ,7020,07/01/2017,gt,0 1 0 0 0 0
Let Me Love You                                                             ,DJ Snake         ,6113,07/01/2017,gt,0 1 0 0 0 0
Vente Pa' Ca                                                                ,Ricky Martin     ,5979,07/01/2017,gt,0 1 0 0 0 0
Closer                                                                      ,The Chainsmokers ,5735,07/01/2017,gt,0 1 0 0 0 0
Shape of You                                                                ,Ed Sheeran       ,5725,07/01/2017,gt,0 1 0 0 0 0
Ay Mi Dios                                                                  ,IAmChino         ,5135,07/01/2017,gt,0 1 0 0 0 0
Dile Que Tu Me Quieres                                                      ,Ozuna            ,4908,07/01/2017,gt,0 1 0 0 0 0
Reggaet�n Lento (Bailemos)                                                  ,CNCO             ,8290,08/01/2017,gt,0 1 0 0 0 0
Otra Vez (feat. J Balvin)                                                   ,Zion & Lennox    ,7268,08/01/2017,gt,0 1 0 0 0 0
Chantaje                                                                    ,Shakira          ,7246,08/01/2017,gt,0 1 0 0 0 0
Safari                                                                      ,J Balvin         ,5813,08/01/2017,gt,0 1 0 0 0 0
Shape of You                                                                ,Ed Sheeran       ,5052,08/01/2017,gt,0 1 0 0 0 0
Let Me Love You                                                             ,DJ Snake         ,5001,08/01/2017,gt,0 1 0 0 0 0
Vente Pa' Ca                                                                ,Ricky Martin     ,4865,08/01/2017,gt,0 1 0 0 0 0
Closer                                                                      ,The Chainsmokers ,4697,08/01/2017,gt,0 1 0 0 0 0
Ay Mi Dios                                                                  ,IAmChino         ,4143,08/01/2017,gt,0 1 0 0 0 0
Dile Que Tu Me Quieres                                                      ,Ozuna            ,4012,08/01/2017,gt,0 1 0 0 0 0
Reggaet�n Lento (Bailemos)                                                  ,CNCO             ,8571,09/01/2017,gt,0 1 0 0 0 0
Chantaje                                                                    ,Shakira          ,7619,09/01/2017,gt,0 1 0 0 0 0
Otra Vez (feat. J Balvin)                                                   ,Zion & Lennox    ,7240,09/01/2017,gt,0 1 0 0 0 0
Shape of You                                                                ,Ed Sheeran       ,5992,09/01/2017,gt,0 1 0 0 0 0
