Track Name,Artist,Streams,Date,Country,Indicators
Closer                                                                      ,The Chainsmokers ,12831,01/01/2017,hk,0 0 0 0 0 0
Starboy                                                                     ,The Weeknd       ,9626,01/01/2017,hk,0 0 0 0 0 0
Let Me Love You                                                             ,DJ Snake         ,9499,01/01/2017,hk,0 0 0 0 0 0
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,8210,01/01/2017,hk,0 0 0 0 0 0
Don't Wanna Know                                                            ,Maroon 5         ,7606,01/01/2017,hk,0 0 0 0 0 0
24K Magic                                                                   ,Bruno Mars       ,6840,01/01/2017,hk,0 0 0 0 0 0
We Don't Talk Anymore (feat. Selena Gomez)                                  ,Charlie Puth     ,6797,01/01/2017,hk,0 0 0 0 0 0
Bad Things (with Camila Cabello)                                            ,Machine Gun Kelly,6730,01/01/2017,hk,0 0 0 0 0 0
Say You Won't Let Go                                                        ,James Arthur     ,6729,01/01/2017,hk,0 0 0 0 0 0
I Feel It Coming                                                            ,The Weeknd       ,6608,01/01/2017,hk,0 0 0 0 0 0
Closer                                                                      ,The Chainsmokers ,12449,02/01/2017,hk,0 0 0 0 0 0
Starboy                                                                     ,The Weeknd       ,10855,02/01/2017,hk,0 0 0 0 0 0
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,9456,02/01/2017,hk,0 0 0 0 0 0
Let Me Love You                                                             ,DJ Snake         ,9230,02/01/2017,hk,0 0 0 0 0 0
Don't Wanna Know                                                            ,Maroon 5         ,8560,02/01/2017,hk,0 0 0 0 0 0
分手總約在雨天                                                       ,Charmaine Fong   ,8279,02/01/2017,hk,0 0 0 0 0 0
Say You Won't Let Go                                                        ,James Arthur     ,7997,02/01/2017,hk,0 0 0 0 0 0
Bad Things (with Camila Cabello)                                            ,Machine Gun Kelly,7797,02/01/2017,hk,0 0 0 0 0 0
經�?�一些秋與冬                                                       ,Dear Jane        ,7683,02/01/2017,hk,0 0 0 0 0 0
沒有你, 我甚麼都�?是                                               ,Jason Chan       ,7590,02/01/2017,hk,0 0 0 0 0 0
Closer                                                                      ,The Chainsmokers ,13646,03/01/2017,hk,0 0 0 0 0 0
Starboy                                                                     ,The Weeknd       ,12182,03/01/2017,hk,0 0 0 0 0 0
