Track Name,Artist,Streams,Date,Country,Indicators
Otra Vez (feat. J Balvin)                                                   ,Zion & Lennox    ,6762,01/01/2017,hn,0 0 0 0 0 0
Chantaje                                                                    ,Shakira          ,6467,01/01/2017,hn,0 0 0 0 0 0
Safari                                                                      ,J Balvin         ,5951,01/01/2017,hn,0 0 0 0 0 0
Reggaet�n Lento (Bailemos)                                                  ,CNCO             ,5760,01/01/2017,hn,0 0 0 0 0 0
Shaky Shaky                                                                 ,Daddy Yankee     ,5054,01/01/2017,hn,0 0 0 0 0 0
Vente Pa' Ca                                                                ,Ricky Martin     ,4823,01/01/2017,hn,0 0 0 0 0 0
La Bicicleta                                                                ,Carlos Vives     ,4631,01/01/2017,hn,0 0 0 0 0 0
Closer                                                                      ,The Chainsmokers ,4215,01/01/2017,hn,0 0 0 0 0 0
Let Me Love You                                                             ,DJ Snake         ,4207,01/01/2017,hn,0 0 0 0 0 0
Dile Que Tu Me Quieres                                                      ,Ozuna            ,4186,01/01/2017,hn,0 0 0 0 0 0
Chantaje                                                                    ,Shakira          ,5051,02/01/2017,hn,0 0 0 0 0 0
Otra Vez (feat. J Balvin)                                                   ,Zion & Lennox    ,5015,02/01/2017,hn,0 0 0 0 0 0
Reggaet�n Lento (Bailemos)                                                  ,CNCO             ,4751,02/01/2017,hn,0 0 0 0 0 0
Closer                                                                      ,The Chainsmokers ,4321,02/01/2017,hn,0 0 0 0 0 0
Safari                                                                      ,J Balvin         ,4221,02/01/2017,hn,0 0 0 0 0 0
Let Me Love You                                                             ,DJ Snake         ,4035,02/01/2017,hn,0 0 0 0 0 0
Starboy                                                                     ,The Weeknd       ,3816,02/01/2017,hn,0 0 0 0 0 0
Vente Pa' Ca                                                                ,Ricky Martin     ,3492,02/01/2017,hn,0 0 0 0 0 0
One Dance                                                                   ,Drake            ,3334,02/01/2017,hn,0 0 0 0 0 0
Dile Que Tu Me Quieres                                                      ,Ozuna            ,3296,02/01/2017,hn,0 0 0 0 0 0
Otra Vez (feat. J Balvin)                                                   ,Zion & Lennox    ,5525,03/01/2017,hn,0 0 0 0 0 0
Chantaje                                                                    ,Shakira          ,5450,03/01/2017,hn,0 0 0 0 0 0
Reggaet�n Lento (Bailemos)                                                  ,CNCO             ,5413,03/01/2017,hn,0 0 0 0 0 0
Closer                                                                      ,The Chainsmokers ,4776,03/01/2017,hn,0 0 0 0 0 0
Let Me Love You                                                             ,DJ Snake         ,4642,03/01/2017,hn,0 0 0 0 0 0
Safari                                                                      ,J Balvin         ,4577,03/01/2017,hn,0 0 0 0 0 0
Starboy                                                                     ,The Weeknd       ,4251,03/01/2017,hn,0 0 0 0 0 0
Vente Pa' Ca                                                                ,Ricky Martin     ,3794,03/01/2017,hn,0 0 0 0 0 0
One Dance                                                                   ,Drake            ,3698,03/01/2017,hn,0 0 0 0 0 0
