Track Name,Artist,Streams,Date,Country,Indicators
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,6263,01/01/2017,hu,1 0 1 0 0 0
Starboy                                                                     ,The Weeknd       ,5158,01/01/2017,hu,1 0 1 0 0 0
Closer                                                                      ,The Chainsmokers ,5095,01/01/2017,hu,1 0 1 0 0 0
Let Me Love You                                                             ,DJ Snake         ,4956,01/01/2017,hu,1 0 1 0 0 0
Don't Wanna Know                                                            ,Maroon 5         ,3723,01/01/2017,hu,1 0 1 0 0 0
Heathens                                                                    ,Twenty One Pilots,3698,01/01/2017,hu,1 0 1 0 0 0
Cheap Thrills                                                               ,Sia              ,3495,01/01/2017,hu,1 0 1 0 0 0
In the Name of Love                                                         ,Martin Garrix    ,3416,01/01/2017,hu,1 0 1 0 0 0
Treat You Better                                                            ,Shawn Mendes     ,3396,01/01/2017,hu,1 0 1 0 0 0
Just Hold On                                                                ,Steve Aoki       ,3385,01/01/2017,hu,1 0 1 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,8809,02/01/2017,hu,1 0 0 0 0 0
Starboy                                                                     ,The Weeknd       ,6937,02/01/2017,hu,1 0 0 0 0 0
Closer                                                                      ,The Chainsmokers ,6138,02/01/2017,hu,1 0 0 0 0 0
Let Me Love You                                                             ,DJ Snake         ,6048,02/01/2017,hu,1 0 0 0 0 0
Don't Wanna Know                                                            ,Maroon 5         ,5135,02/01/2017,hu,1 0 0 0 0 0
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,5076,02/01/2017,hu,1 0 0 0 0 0
Just Hold On                                                                ,Steve Aoki       ,4861,02/01/2017,hu,1 0 0 0 0 0
Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,4782,02/01/2017,hu,1 0 0 0 0 0
In the Name of Love                                                         ,Martin Garrix    ,4502,02/01/2017,hu,1 0 0 0 0 0
Human                                                                       ,Rag'n'Bone Man   ,4413,02/01/2017,hu,1 0 0 0 0 0
