Track Name,Artist,Streams,Date,Country,Indicators
Closer                                                                      ,The Chainsmokers ,45330,01/01/2017,id,0 1 0 0 0 0
Say You Won't Let Go                                                        ,James Arthur     ,40815,01/01/2017,id,0 1 0 0 0 0
All We Know                                                                 ,The Chainsmokers ,39557,01/01/2017,id,0 1 0 0 0 0
Let Me Love You                                                             ,DJ Snake         ,35205,01/01/2017,id,0 1 0 0 0 0
Don't Wanna Know                                                            ,Maroon 5         ,34084,01/01/2017,id,0 1 0 0 0 0
Starving                                                                    ,Hailee Steinfeld ,30847,01/01/2017,id,0 1 0 0 0 0
Starboy                                                                     ,The Weeknd       ,30457,01/01/2017,id,0 1 0 0 0 0
Bad Things (with Camila Cabello)                                            ,Machine Gun Kelly,29412,01/01/2017,id,0 1 0 0 0 0
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,28572,01/01/2017,id,0 1 0 0 0 0
Alone                                                                       ,Marshmello       ,28562,01/01/2017,id,0 1 0 0 0 0
Closer                                                                      ,The Chainsmokers ,51301,02/01/2017,id,0 0 0 0 0 0
Say You Won't Let Go                                                        ,James Arthur     ,48366,02/01/2017,id,0 0 0 0 0 0
All We Know                                                                 ,The Chainsmokers ,44486,02/01/2017,id,0 0 0 0 0 0
Let Me Love You                                                             ,DJ Snake         ,40394,02/01/2017,id,0 0 0 0 0 0
Don't Wanna Know                                                            ,Maroon 5         ,38640,02/01/2017,id,0 0 0 0 0 0
Starving                                                                    ,Hailee Steinfeld ,35757,02/01/2017,id,0 0 0 0 0 0
Starboy                                                                     ,The Weeknd       ,35214,02/01/2017,id,0 0 0 0 0 0
Bad Things (with Camila Cabello)                                            ,Machine Gun Kelly,35039,02/01/2017,id,0 0 0 0 0 0
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,33953,02/01/2017,id,0 0 0 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,32607,02/01/2017,id,0 0 0 0 0 0
Closer                                                                      ,The Chainsmokers ,57186,03/01/2017,id,0 0 0 0 0 0
Say You Won't Let Go                                                        ,James Arthur     ,54604,03/01/2017,id,0 0 0 0 0 0
All We Know                                                                 ,The Chainsmokers ,48564,03/01/2017,id,0 0 0 0 0 0
Let Me Love You                                                             ,DJ Snake         ,44507,03/01/2017,id,0 0 0 0 0 0
Don't Wanna Know                                                            ,Maroon 5         ,43705,03/01/2017,id,0 0 0 0 0 0
Starving                                                                    ,Hailee Steinfeld ,39924,03/01/2017,id,0 0 0 0 0 0
Bad Things (with Camila Cabello)                                            ,Machine Gun Kelly,39594,03/01/2017,id,0 0 0 0 0 0
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,39010,03/01/2017,id,0 0 0 0 0 0
Starboy                                                                     ,The Weeknd       ,38153,03/01/2017,id,0 0 0 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,36929,03/01/2017,id,0 0 0 0 0 0
