Track Name,Artist,Streams,Date,Country,Indicators
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,24914,01/01/2017,ie,0 1 0 0 0 0
Starboy                                                                     ,The Weeknd       ,20407,01/01/2017,ie,0 1 0 0 0 0
Say You Won't Let Go                                                        ,James Arthur     ,18749,01/01/2017,ie,0 1 0 0 0 0
Sexual                                                                      ,NEIKED           ,18662,01/01/2017,ie,0 1 0 0 0 0
All Night                                                                   ,The Vamps        ,16781,01/01/2017,ie,0 1 0 0 0 0
Closer                                                                      ,The Chainsmokers ,16423,01/01/2017,ie,0 1 0 0 0 0
Don't Wanna Know                                                            ,Maroon 5         ,16287,01/01/2017,ie,0 1 0 0 0 0
Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,15645,01/01/2017,ie,0 1 0 0 0 0
Just Hold On                                                                ,Steve Aoki       ,15182,01/01/2017,ie,0 1 0 0 0 0
One Dance                                                                   ,Drake            ,14813,01/01/2017,ie,0 1 0 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,26654,02/01/2017,ie,0 1 0 0 0 0
Starboy                                                                     ,The Weeknd       ,22071,02/01/2017,ie,0 1 0 0 0 0
Say You Won't Let Go                                                        ,James Arthur     ,21158,02/01/2017,ie,0 1 0 0 0 0
Sexual                                                                      ,NEIKED           ,20182,02/01/2017,ie,0 1 0 0 0 0
All Night                                                                   ,The Vamps        ,19272,02/01/2017,ie,0 1 0 0 0 0
Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,19236,02/01/2017,ie,0 1 0 0 0 0
Don't Wanna Know                                                            ,Maroon 5         ,18415,02/01/2017,ie,0 1 0 0 0 0
Just Hold On                                                                ,Steve Aoki       ,18321,02/01/2017,ie,0 1 0 0 0 0
Closer                                                                      ,The Chainsmokers ,17540,02/01/2017,ie,0 1 0 0 0 0
I Would Like                                                                ,Zara Larsson     ,17254,02/01/2017,ie,0 1 0 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,29311,03/01/2017,ie,0 1 0 0 0 0
Starboy                                                                     ,The Weeknd       ,25602,03/01/2017,ie,0 1 0 0 0 0
Say You Won't Let Go                                                        ,James Arthur     ,23873,03/01/2017,ie,0 1 0 0 0 0
Sexual                                                                      ,NEIKED           ,22973,03/01/2017,ie,0 1 0 0 0 0
All Night                                                                   ,The Vamps        ,22643,03/01/2017,ie,0 1 0 0 0 0
Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,22327,03/01/2017,ie,0 1 0 0 0 0
Don't Wanna Know                                                            ,Maroon 5         ,21539,03/01/2017,ie,0 1 0 0 0 0
Just Hold On                                                                ,Steve Aoki       ,20813,03/01/2017,ie,0 1 0 0 0 0
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,20299,03/01/2017,ie,0 1 0 0 0 0
Touch                                                                       ,Little Mix       ,19756,03/01/2017,ie,0 1 0 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,30531,04/01/2017,ie,0 1 0 0 0 0
Say You Won't Let Go                                                        ,James Arthur     ,25342,04/01/2017,ie,0 1 0 0 0 0
Starboy                                                                     ,The Weeknd       ,25312,04/01/2017,ie,0 1 0 0 0 0
Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,24098,04/01/2017,ie,0 1 0 0 0 0
Sexual                                                                      ,NEIKED           ,24043,04/01/2017,ie,0 1 0 0 0 0
All Night                                                                   ,The Vamps        ,23425,04/01/2017,ie,0 1 0 0 0 0
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,22815,04/01/2017,ie,0 1 0 0 0 0
Don't Wanna Know                                                            ,Maroon 5         ,22380,04/01/2017,ie,0 1 0 0 0 0
Just Hold On                                                                ,Steve Aoki       ,22250,04/01/2017,ie,0 1 0 0 0 0
Touch                                                                       ,Little Mix       ,21913,04/01/2017,ie,0 1 0 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,29553,05/01/2017,ie,0 0 0 0 0 0
Starboy                                                                     ,The Weeknd       ,24982,05/01/2017,ie,0 0 0 0 0 0
Say You Won't Let Go                                                        ,James Arthur     ,24686,05/01/2017,ie,0 0 0 0 0 0
Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,24004,05/01/2017,ie,0 0 0 0 0 0
Sexual                                                                      ,NEIKED           ,23349,05/01/2017,ie,0 0 0 0 0 0
All Night                                                                   ,The Vamps        ,22685,05/01/2017,ie,0 0 0 0 0 0
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,22179,05/01/2017,ie,0 0 0 0 0 0
Just Hold On                                                                ,Steve Aoki       ,21688,05/01/2017,ie,0 0 0 0 0 0
Don't Wanna Know                                                            ,Maroon 5         ,21203,05/01/2017,ie,0 0 0 0 0 0
Touch                                                                       ,Little Mix       ,21131,05/01/2017,ie,0 0 0 0 0 0
Shape of You                                                                ,Ed Sheeran       ,137359,06/01/2017,ie,0 1 0 0 0 0
Castle on the Hill                                                          ,Ed Sheeran       ,132419,06/01/2017,ie,0 1 0 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,29660,06/01/2017,ie,0 1 0 0 0 0
Starboy                                                                     ,The Weeknd       ,25046,06/01/2017,ie,0 1 0 0 0 0
Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,23551,06/01/2017,ie,0 1 0 0 0 0
Say You Won't Let Go                                                        ,James Arthur     ,23160,06/01/2017,ie,0 1 0 0 0 0
Sexual                                                                      ,NEIKED           ,22702,06/01/2017,ie,0 1 0 0 0 0
All Night                                                                   ,The Vamps        ,22465,06/01/2017,ie,0 1 0 0 0 0
Touch                                                                       ,Little Mix       ,21753,06/01/2017,ie,0 1 0 0 0 0
Just Hold On                                                                ,Steve Aoki       ,21566,06/01/2017,ie,0 1 0 0 0 0
Shape of You                                                                ,Ed Sheeran       ,128365,07/01/2017,ie,0 1 0 0 0 0
Castle on the Hill                                                          ,Ed Sheeran       ,113954,07/01/2017,ie,0 1 0 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,31922,07/01/2017,ie,0 1 0 0 0 0
Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,27064,07/01/2017,ie,0 1 0 0 0 0
Touch                                                                       ,Little Mix       ,25152,07/01/2017,ie,0 1 0 0 0 0
Starboy                                                                     ,The Weeknd       ,25051,07/01/2017,ie,0 1 0 0 0 0
All Night                                                                   ,The Vamps        ,23796,07/01/2017,ie,0 1 0 0 0 0
Sexual                                                                      ,NEIKED           ,23688,07/01/2017,ie,0 1 0 0 0 0
Say You Won't Let Go                                                        ,James Arthur     ,23610,07/01/2017,ie,0 1 0 0 0 0
Just Hold On                                                                ,Steve Aoki       ,23295,07/01/2017,ie,0 1 0 0 0 0
Shape of You                                                                ,Ed Sheeran       ,119400,08/01/2017,ie,0 1 0 0 0 0
Castle on the Hill                                                          ,Ed Sheeran       ,101142,08/01/2017,ie,0 1 0 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,28709,08/01/2017,ie,0 1 0 0 0 0
Starboy                                                                     ,The Weeknd       ,23641,08/01/2017,ie,0 1 0 0 0 0
Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,23475,08/01/2017,ie,0 1 0 0 0 0
Say You Won't Let Go                                                        ,James Arthur     ,22772,08/01/2017,ie,0 1 0 0 0 0
Touch                                                                       ,Little Mix       ,22113,08/01/2017,ie,0 1 0 0 0 0
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,21514,08/01/2017,ie,0 1 0 0 0 0
All Night                                                                   ,The Vamps        ,20873,08/01/2017,ie,0 1 0 0 0 0
Just Hold On                                                                ,Steve Aoki       ,20579,08/01/2017,ie,0 1 0 0 0 0
Shape of You                                                                ,Ed Sheeran       ,116766,09/01/2017,ie,0 1 0 0 0 0
Castle on the Hill                                                          ,Ed Sheeran       ,94214,09/01/2017,ie,0 1 0 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,30472,09/01/2017,ie,0 1 0 0 0 0
Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,25178,09/01/2017,ie,0 1 0 0 0 0
Starboy                                                                     ,The Weeknd       ,23785,09/01/2017,ie,0 1 0 0 0 0
