Track Name,Artist,Streams,Date,Country,Indicators
Starboy                                                                     ,The Weeknd       ,3311,01/01/2017,is,0 1 0 0 0 0
Silfurskotta                                                                ,Emmsjé Gauti    ,2292,01/01/2017,is,0 1 0 0 0 0
I Feel It Coming                                                            ,The Weeknd       ,2247,01/01/2017,is,0 1 0 0 0 0
Let Me Love You                                                             ,DJ Snake         ,2128,01/01/2017,is,0 1 0 0 0 0
Reykjavík                                                                  ,Emmsjé Gauti    ,2114,01/01/2017,is,0 1 0 0 0 0
Black Beatles                                                               ,Rae Sremmurd     ,2096,01/01/2017,is,0 1 0 0 0 0
One Dance                                                                   ,Drake            ,2059,01/01/2017,is,0 1 0 0 0 0
Say You Won't Let Go                                                        ,James Arthur     ,2056,01/01/2017,is,0 1 0 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,1952,01/01/2017,is,0 1 0 0 0 0
Fröken Reykjavík                                                          ,Friðrik Dór    ,1928,01/01/2017,is,0 1 0 0 0 0
Starboy                                                                     ,The Weeknd       ,3771,02/01/2017,is,0 1 0 0 0 0
Say You Won't Let Go                                                        ,James Arthur     ,2961,02/01/2017,is,0 1 0 0 0 0
I Feel It Coming                                                            ,The Weeknd       ,2900,02/01/2017,is,0 1 0 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,2711,02/01/2017,is,0 1 0 0 0 0
Let Me Love You                                                             ,DJ Snake         ,2551,02/01/2017,is,0 1 0 0 0 0
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,2528,02/01/2017,is,0 1 0 0 0 0
Fake Love                                                                   ,Drake            ,2374,02/01/2017,is,0 1 0 0 0 0
Silfurskotta                                                                ,Emmsjé Gauti    ,2265,02/01/2017,is,0 1 0 0 0 0
Lítur vel út                                                              ,Aron Can         ,2247,02/01/2017,is,0 1 0 0 0 0
Black Beatles                                                               ,Rae Sremmurd     ,2183,02/01/2017,is,0 1 0 0 0 0
Starboy                                                                     ,The Weeknd       ,3984,03/01/2017,is,0 0 0 0 0 0
Say You Won't Let Go                                                        ,James Arthur     ,3051,03/01/2017,is,0 0 0 0 0 0
I Feel It Coming                                                            ,The Weeknd       ,2980,03/01/2017,is,0 0 0 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,2972,03/01/2017,is,0 0 0 0 0 0
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,2842,03/01/2017,is,0 0 0 0 0 0
Fake Love                                                                   ,Drake            ,2615,03/01/2017,is,0 0 0 0 0 0
Let Me Love You                                                             ,DJ Snake         ,2611,03/01/2017,is,0 0 0 0 0 0
Lítur vel út                                                              ,Aron Can         ,2448,03/01/2017,is,0 0 0 0 0 0
Bad and Boujee (feat. Lil Uzi Vert)                                         ,Migos            ,2400,03/01/2017,is,0 0 0 0 0 0
Silfurskotta                                                                ,Emmsjé Gauti    ,2222,03/01/2017,is,0 0 0 0 0 0
Starboy                                                                     ,The Weeknd       ,4197,04/01/2017,is,0 1 0 0 0 0
Say You Won't Let Go                                                        ,James Arthur     ,3265,04/01/2017,is,0 1 0 0 0 0
I Feel It Coming                                                            ,The Weeknd       ,3231,04/01/2017,is,0 1 0 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,3227,04/01/2017,is,0 1 0 0 0 0
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,3025,04/01/2017,is,0 1 0 0 0 0
Bad and Boujee (feat. Lil Uzi Vert)                                         ,Migos            ,2701,04/01/2017,is,0 1 0 0 0 0
Let Me Love You                                                             ,DJ Snake         ,2627,04/01/2017,is,0 1 0 0 0 0
Fake Love                                                                   ,Drake            ,2607,04/01/2017,is,0 1 0 0 0 0
Lítur vel út                                                              ,Aron Can         ,2350,04/01/2017,is,0 1 0 0 0 0
Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,2323,04/01/2017,is,0 1 0 0 0 0
Starboy                                                                     ,The Weeknd       ,4028,05/01/2017,is,0 1 1 0 0 0
I Feel It Coming                                                            ,The Weeknd       ,3320,05/01/2017,is,0 1 1 0 0 0
Say You Won't Let Go                                                        ,James Arthur     ,3315,05/01/2017,is,0 1 1 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,3176,05/01/2017,is,0 1 1 0 0 0
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,3092,05/01/2017,is,0 1 1 0 0 0
Bad and Boujee (feat. Lil Uzi Vert)                                         ,Migos            ,2759,05/01/2017,is,0 1 1 0 0 0
Fake Love                                                                   ,Drake            ,2742,05/01/2017,is,0 1 1 0 0 0
Let Me Love You                                                             ,DJ Snake         ,2468,05/01/2017,is,0 1 1 0 0 0
Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,2421,05/01/2017,is,0 1 1 0 0 0
Svona er þetta                                                             ,Emmsjé Gauti    ,2241,05/01/2017,is,0 1 1 0 0 0
Shape of You                                                                ,Ed Sheeran       ,6673,06/01/2017,is,0 1 1 0 0 0
Castle on the Hill                                                          ,Ed Sheeran       ,5857,06/01/2017,is,0 1 1 0 0 0
Starboy                                                                     ,The Weeknd       ,4388,06/01/2017,is,0 1 1 0 0 0
I Feel It Coming                                                            ,The Weeknd       ,3551,06/01/2017,is,0 1 1 0 0 0
Say You Won't Let Go                                                        ,James Arthur     ,3530,06/01/2017,is,0 1 1 0 0 0
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,3483,06/01/2017,is,0 1 1 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,3452,06/01/2017,is,0 1 1 0 0 0
Bad and Boujee (feat. Lil Uzi Vert)                                         ,Migos            ,3064,06/01/2017,is,0 1 1 0 0 0
Fake Love                                                                   ,Drake            ,3039,06/01/2017,is,0 1 1 0 0 0
Let Me Love You                                                             ,DJ Snake         ,2656,06/01/2017,is,0 1 1 0 0 0
Shape of You                                                                ,Ed Sheeran       ,6376,07/01/2017,is,0 1 1 0 0 0
Castle on the Hill                                                          ,Ed Sheeran       ,4420,07/01/2017,is,0 1 1 0 0 0
Starboy                                                                     ,The Weeknd       ,4117,07/01/2017,is,0 1 1 0 0 0
I Feel It Coming                                                            ,The Weeknd       ,3485,07/01/2017,is,0 1 1 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,3478,07/01/2017,is,0 1 1 0 0 0
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,3326,07/01/2017,is,0 1 1 0 0 0
Say You Won't Let Go                                                        ,James Arthur     ,3169,07/01/2017,is,0 1 1 0 0 0
Fake Love                                                                   ,Drake            ,2775,07/01/2017,is,0 1 1 0 0 0
Bad and Boujee (feat. Lil Uzi Vert)                                         ,Migos            ,2680,07/01/2017,is,0 1 1 0 0 0
Fröken Reykjavík                                                          ,Friðrik Dór    ,2548,07/01/2017,is,0 1 1 0 0 0
Shape of You                                                                ,Ed Sheeran       ,6303,08/01/2017,is,0 1 0 0 0 0
Castle on the Hill                                                          ,Ed Sheeran       ,4151,08/01/2017,is,0 1 0 0 0 0
Starboy                                                                     ,The Weeknd       ,3450,08/01/2017,is,0 1 0 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,3078,08/01/2017,is,0 1 0 0 0 0
I Feel It Coming                                                            ,The Weeknd       ,3074,08/01/2017,is,0 1 0 0 0 0
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,3069,08/01/2017,is,0 1 0 0 0 0
Say You Won't Let Go                                                        ,James Arthur     ,3014,08/01/2017,is,0 1 0 0 0 0
Fake Love                                                                   ,Drake            ,2553,08/01/2017,is,0 1 0 0 0 0
Bad and Boujee (feat. Lil Uzi Vert)                                         ,Migos            ,2447,08/01/2017,is,0 1 0 0 0 0
Fröken Reykjavík                                                          ,Friðrik Dór    ,2289,08/01/2017,is,0 1 0 0 0 0
Shape of You                                                                ,Ed Sheeran       ,7603,09/01/2017,is,0 1 0 0 0 0
Castle on the Hill                                                          ,Ed Sheeran       ,4874,09/01/2017,is,0 1 0 0 0 0
Starboy                                                                     ,The Weeknd       ,4271,09/01/2017,is,0 1 0 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,3870,09/01/2017,is,0 1 0 0 0 0
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,3837,09/01/2017,is,0 1 0 0 0 0
Bad and Boujee (feat. Lil Uzi Vert)                                         ,Migos            ,3714,09/01/2017,is,0 1 0 0 0 0
I Feel It Coming                                                            ,The Weeknd       ,3708,09/01/2017,is,0 1 0 0 0 0
Say You Won't Let Go                                                        ,James Arthur     ,3543,09/01/2017,is,0 1 0 0 0 0
Fake Love                                                                   ,Drake            ,3118,09/01/2017,is,0 1 0 0 0 0
Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,2643,09/01/2017,is,0 1 0 0 0 0
Shape of You                                                                ,Ed Sheeran       ,7376,10/01/2017,is,0 1 1 0 0 0
Castle on the Hill                                                          ,Ed Sheeran       ,4338,10/01/2017,is,0 1 1 0 0 0
Starboy                                                                     ,The Weeknd       ,4264,10/01/2017,is,0 1 1 0 0 0
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,3888,10/01/2017,is,0 1 1 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,3808,10/01/2017,is,0 1 1 0 0 0
Bad and Boujee (feat. Lil Uzi Vert)                                         ,Migos            ,3740,10/01/2017,is,0 1 1 0 0 0
I Feel It Coming                                                            ,The Weeknd       ,3673,10/01/2017,is,0 1 1 0 0 0
Say You Won't Let Go                                                        ,James Arthur     ,3544,10/01/2017,is,0 1 1 0 0 0
Fake Love                                                                   ,Drake            ,3035,10/01/2017,is,0 1 1 0 0 0
