Track Name,Artist,Streams,Date,Country,Indicators
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,71014,01/01/2017,it,0 1 0 0 0 0
Tutto Molto Interessante                                                    ,Fabio Rovazzi    ,54803,01/01/2017,it,0 1 0 0 0 0
Closer                                                                      ,The Chainsmokers ,54136,01/01/2017,it,0 1 0 0 0 0
Let Me Love You                                                             ,DJ Snake         ,52883,01/01/2017,it,0 1 0 0 0 0
Human                                                                       ,Rag'n'Bone Man   ,48454,01/01/2017,it,0 1 0 0 0 0
Assenzio                                                                    ,J-AX             ,45699,01/01/2017,it,0 1 0 0 0 0
Don't Wanna Know                                                            ,Maroon 5         ,43754,01/01/2017,it,0 1 0 0 0 0
Starboy                                                                     ,The Weeknd       ,40261,01/01/2017,it,0 1 0 0 0 0
Don't Let Me Down                                                           ,The Chainsmokers ,37734,01/01/2017,it,0 1 0 0 0 0
Chantaje                                                                    ,Shakira          ,36586,01/01/2017,it,0 1 0 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,101375,02/01/2017,it,0 1 0 0 0 0
Closer                                                                      ,The Chainsmokers ,76302,02/01/2017,it,0 1 0 0 0 0
Let Me Love You                                                             ,DJ Snake         ,71468,02/01/2017,it,0 1 0 0 0 0
Tutto Molto Interessante                                                    ,Fabio Rovazzi    ,68411,02/01/2017,it,0 1 0 0 0 0
Assenzio                                                                    ,J-AX             ,67129,02/01/2017,it,0 1 0 0 0 0
Human                                                                       ,Rag'n'Bone Man   ,65799,02/01/2017,it,0 1 0 0 0 0
Don't Wanna Know                                                            ,Maroon 5         ,62857,02/01/2017,it,0 1 0 0 0 0
Starboy                                                                     ,The Weeknd       ,59423,02/01/2017,it,0 1 0 0 0 0
Chantaje                                                                    ,Shakira          ,53269,02/01/2017,it,0 1 0 0 0 0
In the Name of Love                                                         ,Martin Garrix    ,51796,02/01/2017,it,0 1 0 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,112628,03/01/2017,it,0 1 0 0 1 0
Let Me Love You                                                             ,DJ Snake         ,78505,03/01/2017,it,0 1 0 0 1 0
Closer                                                                      ,The Chainsmokers ,78304,03/01/2017,it,0 1 0 0 1 0
Assenzio                                                                    ,J-AX             ,71427,03/01/2017,it,0 1 0 0 1 0
Don't Wanna Know                                                            ,Maroon 5         ,71020,03/01/2017,it,0 1 0 0 1 0
Tutto Molto Interessante                                                    ,Fabio Rovazzi    ,70765,03/01/2017,it,0 1 0 0 1 0
Human                                                                       ,Rag'n'Bone Man   ,70597,03/01/2017,it,0 1 0 0 1 0
Starboy                                                                     ,The Weeknd       ,64906,03/01/2017,it,0 1 0 0 1 0
Chantaje                                                                    ,Shakira          ,59238,03/01/2017,it,0 1 0 0 1 0
In the Name of Love                                                         ,Martin Garrix    ,55479,03/01/2017,it,0 1 0 0 1 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,117496,04/01/2017,it,0 0 0 0 0 0
Let Me Love You                                                             ,DJ Snake         ,82774,04/01/2017,it,0 0 0 0 0 0
Closer                                                                      ,The Chainsmokers ,80432,04/01/2017,it,0 0 0 0 0 0
Assenzio                                                                    ,J-AX             ,75398,04/01/2017,it,0 0 0 0 0 0
Human                                                                       ,Rag'n'Bone Man   ,73565,04/01/2017,it,0 0 0 0 0 0
Don't Wanna Know                                                            ,Maroon 5         ,73564,04/01/2017,it,0 0 0 0 0 0
Tutto Molto Interessante                                                    ,Fabio Rovazzi    ,70959,04/01/2017,it,0 0 0 0 0 0
Starboy                                                                     ,The Weeknd       ,67211,04/01/2017,it,0 0 0 0 0 0
Chantaje                                                                    ,Shakira          ,63479,04/01/2017,it,0 0 0 0 0 0
In the Name of Love                                                         ,Martin Garrix    ,60270,04/01/2017,it,0 0 0 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,116902,05/01/2017,it,0 0 0 0 0 0
Closer                                                                      ,The Chainsmokers ,81837,05/01/2017,it,0 0 0 0 0 0
Let Me Love You                                                             ,DJ Snake         ,80668,05/01/2017,it,0 0 0 0 0 0
Assenzio                                                                    ,J-AX             ,73975,05/01/2017,it,0 0 0 0 0 0
Tutto Molto Interessante                                                    ,Fabio Rovazzi    ,71518,05/01/2017,it,0 0 0 0 0 0
Don't Wanna Know                                                            ,Maroon 5         ,71422,05/01/2017,it,0 0 0 0 0 0
Human                                                                       ,Rag'n'Bone Man   ,71178,05/01/2017,it,0 0 0 0 0 0
Starboy                                                                     ,The Weeknd       ,64598,05/01/2017,it,0 0 0 0 0 0
In the Name of Love                                                         ,Martin Garrix    ,61785,05/01/2017,it,0 0 0 0 0 0
Chantaje                                                                    ,Shakira          ,61156,05/01/2017,it,0 0 0 0 0 0
Shape of You                                                                ,Ed Sheeran       ,139989,06/01/2017,it,0 0 0 0 0 0
Castle on the Hill                                                          ,Ed Sheeran       ,125192,06/01/2017,it,0 0 0 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,100518,06/01/2017,it,0 0 0 0 0 0
Closer                                                                      ,The Chainsmokers ,70378,06/01/2017,it,0 0 0 0 0 0
Let Me Love You                                                             ,DJ Snake         ,65656,06/01/2017,it,0 0 0 0 0 0
Tutto Molto Interessante                                                    ,Fabio Rovazzi    ,64455,06/01/2017,it,0 0 0 0 0 0
Assenzio                                                                    ,J-AX             ,63375,06/01/2017,it,0 0 0 0 0 0
Human                                                                       ,Rag'n'Bone Man   ,61340,06/01/2017,it,0 0 0 0 0 0
Don't Wanna Know                                                            ,Maroon 5         ,59733,06/01/2017,it,0 0 0 0 0 0
Starboy                                                                     ,The Weeknd       ,55054,06/01/2017,it,0 0 0 0 0 0
Shape of You                                                                ,Ed Sheeran       ,146159,07/01/2017,it,0 0 0 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,111016,07/01/2017,it,0 0 0 0 0 0
Castle on the Hill                                                          ,Ed Sheeran       ,107559,07/01/2017,it,0 0 0 0 0 0
Closer                                                                      ,The Chainsmokers ,77671,07/01/2017,it,0 0 0 0 0 0
Let Me Love You                                                             ,DJ Snake         ,72326,07/01/2017,it,0 0 0 0 0 0
Tutto Molto Interessante                                                    ,Fabio Rovazzi    ,71574,07/01/2017,it,0 0 0 0 0 0
Human                                                                       ,Rag'n'Bone Man   ,70791,07/01/2017,it,0 0 0 0 0 0
Assenzio                                                                    ,J-AX             ,69660,07/01/2017,it,0 0 0 0 0 0
Don't Wanna Know                                                            ,Maroon 5         ,67585,07/01/2017,it,0 0 0 0 0 0
Chantaje                                                                    ,Shakira          ,61287,07/01/2017,it,0 0 0 0 0 0
Shape of You                                                                ,Ed Sheeran       ,133528,08/01/2017,it,0 0 0 0 0 0
Castle on the Hill                                                          ,Ed Sheeran       ,94176,08/01/2017,it,0 0 0 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,92158,08/01/2017,it,0 0 0 0 0 0
Closer                                                                      ,The Chainsmokers ,64872,08/01/2017,it,0 0 0 0 0 0
Assenzio                                                                    ,J-AX             ,59374,08/01/2017,it,0 0 0 0 0 0
Human                                                                       ,Rag'n'Bone Man   ,58860,08/01/2017,it,0 0 0 0 0 0
Let Me Love You                                                             ,DJ Snake         ,58395,08/01/2017,it,0 0 0 0 0 0
Tutto Molto Interessante                                                    ,Fabio Rovazzi    ,57589,08/01/2017,it,0 0 0 0 0 0
Don't Wanna Know                                                            ,Maroon 5         ,56958,08/01/2017,it,0 0 0 0 0 0
Chantaje                                                                    ,Shakira          ,50579,08/01/2017,it,0 0 0 0 0 0
Shape of You                                                                ,Ed Sheeran       ,143602,09/01/2017,it,0 0 0 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,107605,09/01/2017,it,0 0 0 0 0 0
Castle on the Hill                                                          ,Ed Sheeran       ,94360,09/01/2017,it,0 0 0 0 0 0
Closer                                                                      ,The Chainsmokers ,70805,09/01/2017,it,0 0 0 0 0 0
Assenzio                                                                    ,J-AX             ,68917,09/01/2017,it,0 0 0 0 0 0
