Track Name,Artist,Streams,Date,Country,Indicators
Closer                                                                      ,The Chainsmokers ,6342,01/01/2017,jp,0 0 0 0 0 0
I Feel It Coming                                                            ,The Weeknd       ,5697,01/01/2017,jp,0 0 0 0 0 0
Let Me Love You                                                             ,DJ Snake         ,5149,01/01/2017,jp,0 0 0 0 0 0
24K Magic                                                                   ,Bruno Mars       ,4846,01/01/2017,jp,0 0 0 0 0 0
Don't Wanna Know                                                            ,Maroon 5         ,4595,01/01/2017,jp,0 0 0 0 0 0
Starboy                                                                     ,The Weeknd       ,4440,01/01/2017,jp,0 0 0 0 0 0
Cold Water (feat. Justin Bieber & MØ)                                      ,Major Lazer      ,4154,01/01/2017,jp,0 0 0 0 0 0
Wherever you are                                                            ,ONE OK ROCK      ,4134,01/01/2017,jp,0 0 0 0 0 0
My Boo                                                                      ,Shota Shimizu    ,3857,01/01/2017,jp,0 0 0 0 0 0
Side To Side                                                                ,Ariana Grande    ,3838,01/01/2017,jp,0 0 0 0 0 0
Closer                                                                      ,The Chainsmokers ,7558,02/01/2017,jp,0 0 0 0 0 0
Let Me Love You                                                             ,DJ Snake         ,6177,02/01/2017,jp,0 0 0 0 0 0
24K Magic                                                                   ,Bruno Mars       ,5776,02/01/2017,jp,0 0 0 0 0 0
Don't Wanna Know                                                            ,Maroon 5         ,5397,02/01/2017,jp,0 0 0 0 0 0
I Feel It Coming                                                            ,The Weeknd       ,5367,02/01/2017,jp,0 0 0 0 0 0
Starboy                                                                     ,The Weeknd       ,5227,02/01/2017,jp,0 0 0 0 0 0
Cold Water (feat. Justin Bieber & MØ)                                      ,Major Lazer      ,4937,02/01/2017,jp,0 0 0 0 0 0
Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,4561,02/01/2017,jp,0 0 0 0 0 0
Side To Side                                                                ,Ariana Grande    ,4535,02/01/2017,jp,0 0 0 0 0 0
My Boo                                                                      ,Shota Shimizu    ,4502,02/01/2017,jp,0 0 0 0 0 0
