Track Name,Artist,Streams,Date,Country,Indicators
Starboy                                                                     ,The Weeknd       ,2583,01/01/2017,lt,0 1 0 0 0 0
I Feel It Coming                                                            ,The Weeknd       ,2257,01/01/2017,lt,0 1 0 0 0 0
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,1972,01/01/2017,lt,0 1 0 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,1961,01/01/2017,lt,0 1 0 0 0 0
Closer                                                                      ,The Chainsmokers ,1944,01/01/2017,lt,0 1 0 0 0 0
Don't Wanna Know                                                            ,Maroon 5         ,1795,01/01/2017,lt,0 1 0 0 0 0
Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,1731,01/01/2017,lt,0 1 0 0 0 0
Let Me Love You                                                             ,DJ Snake         ,1710,01/01/2017,lt,0 1 0 0 0 0
Black Beatles                                                               ,Rae Sremmurd     ,1474,01/01/2017,lt,0 1 0 0 0 0
One Dance                                                                   ,Drake            ,1414,01/01/2017,lt,0 1 0 0 0 0
Starboy                                                                     ,The Weeknd       ,3263,02/01/2017,lt,0 1 1 0 0 0
I Feel It Coming                                                            ,The Weeknd       ,2882,02/01/2017,lt,0 1 1 0 0 0
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,2727,02/01/2017,lt,0 1 1 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,2556,02/01/2017,lt,0 1 1 0 0 0
Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,2286,02/01/2017,lt,0 1 1 0 0 0
Closer                                                                      ,The Chainsmokers ,2280,02/01/2017,lt,0 1 1 0 0 0
Don't Wanna Know                                                            ,Maroon 5         ,2249,02/01/2017,lt,0 1 1 0 0 0
Let Me Love You                                                             ,DJ Snake         ,2156,02/01/2017,lt,0 1 1 0 0 0
Just Hold On                                                                ,Steve Aoki       ,1943,02/01/2017,lt,0 1 1 0 0 0
