Track Name,Artist,Streams,Date,Country,Indicators
Starboy                                                                     ,The Weeknd       ,1020,01/01/2017,lu,1 1 1 0 0 0
Starboy                                                                     ,The Weeknd       ,1312,02/01/2017,lu,1 0 1 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,1171,02/01/2017,lu,1 0 1 0 0 0
Let Me Love You                                                             ,DJ Snake         ,1040,02/01/2017,lu,1 0 1 0 0 0
Starboy                                                                     ,The Weeknd       ,1335,03/01/2017,lu,1 1 1 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,1185,03/01/2017,lu,1 1 1 0 0 0
Closer                                                                      ,The Chainsmokers ,1087,03/01/2017,lu,1 1 1 0 0 0
Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,1070,03/01/2017,lu,1 1 1 0 0 0
Let Me Love You                                                             ,DJ Snake         ,1066,03/01/2017,lu,1 1 1 0 0 0
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,1060,03/01/2017,lu,1 1 1 0 0 0
Say You Won't Let Go                                                        ,James Arthur     ,1060,03/01/2017,lu,1 1 1 0 0 0
Starboy                                                                     ,The Weeknd       ,1394,04/01/2017,lu,1 1 1 0 1 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,1169,04/01/2017,lu,1 1 1 0 1 0
Closer                                                                      ,The Chainsmokers ,1157,04/01/2017,lu,1 1 1 0 1 0
Say You Won't Let Go                                                        ,James Arthur     ,1051,04/01/2017,lu,1 1 1 0 1 0
Let Me Love You                                                             ,DJ Snake         ,1023,04/01/2017,lu,1 1 1 0 1 0
Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,1003,04/01/2017,lu,1 1 1 0 1 0
Starboy                                                                     ,The Weeknd       ,1352,05/01/2017,lu,0 1 1 0 1 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,1224,05/01/2017,lu,0 1 1 0 1 0
Closer                                                                      ,The Chainsmokers ,1132,05/01/2017,lu,0 1 1 0 1 0
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,1102,05/01/2017,lu,0 1 1 0 1 0
Let Me Love You                                                             ,DJ Snake         ,1089,05/01/2017,lu,0 1 1 0 1 0
Say You Won't Let Go                                                        ,James Arthur     ,1051,05/01/2017,lu,0 1 1 0 1 0
Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,1004,05/01/2017,lu,0 1 1 0 1 0
Shape of You                                                                ,Ed Sheeran       ,2259,06/01/2017,lu,0 0 0 0 0 0
Castle on the Hill                                                          ,Ed Sheeran       ,1947,06/01/2017,lu,0 0 0 0 0 0
Starboy                                                                     ,The Weeknd       ,1385,06/01/2017,lu,0 0 0 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,1371,06/01/2017,lu,0 0 0 0 0 0
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,1222,06/01/2017,lu,0 0 0 0 0 0
Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,1119,06/01/2017,lu,0 0 0 0 0 0
Let Me Love You                                                             ,DJ Snake         ,1088,06/01/2017,lu,0 0 0 0 0 0
Closer                                                                      ,The Chainsmokers ,1082,06/01/2017,lu,0 0 0 0 0 0
Don't Wanna Know                                                            ,Maroon 5         ,1042,06/01/2017,lu,0 0 0 0 0 0
Say You Won't Let Go                                                        ,James Arthur     ,1040,06/01/2017,lu,0 0 0 0 0 0
Shape of You                                                                ,Ed Sheeran       ,2355,07/01/2017,lu,0 1 1 0 0 0
Castle on the Hill                                                          ,Ed Sheeran       ,1741,07/01/2017,lu,0 1 1 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,1360,07/01/2017,lu,0 1 1 0 0 0
Starboy                                                                     ,The Weeknd       ,1339,07/01/2017,lu,0 1 1 0 0 0
Closer                                                                      ,The Chainsmokers ,1208,07/01/2017,lu,0 1 1 0 0 0
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,1204,07/01/2017,lu,0 1 1 0 0 0
Let Me Love You                                                             ,DJ Snake         ,1165,07/01/2017,lu,0 1 1 0 0 0
Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,1156,07/01/2017,lu,0 1 1 0 0 0
Say You Won't Let Go                                                        ,James Arthur     ,1091,07/01/2017,lu,0 1 1 0 0 0
Don't Wanna Know                                                            ,Maroon 5         ,1067,07/01/2017,lu,0 1 1 0 0 0
Shape of You                                                                ,Ed Sheeran       ,2733,08/01/2017,lu,1 1 1 0 0 0
Castle on the Hill                                                          ,Ed Sheeran       ,1660,08/01/2017,lu,1 1 1 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,1325,08/01/2017,lu,1 1 1 0 0 0
Starboy                                                                     ,The Weeknd       ,1297,08/01/2017,lu,1 1 1 0 0 0
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,1152,08/01/2017,lu,1 1 1 0 0 0
Say You Won't Let Go                                                        ,James Arthur     ,1098,08/01/2017,lu,1 1 1 0 0 0
Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,1048,08/01/2017,lu,1 1 1 0 0 0
Shape of You                                                                ,Ed Sheeran       ,3091,09/01/2017,lu,1 1 1 0 1 0
Castle on the Hill                                                          ,Ed Sheeran       ,1760,09/01/2017,lu,1 1 1 0 1 0
Starboy                                                                     ,The Weeknd       ,1377,09/01/2017,lu,1 1 1 0 1 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,1377,09/01/2017,lu,1 1 1 0 1 0
Say You Won't Let Go                                                        ,James Arthur     ,1187,09/01/2017,lu,1 1 1 0 1 0
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,1184,09/01/2017,lu,1 1 1 0 1 0
Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,1109,09/01/2017,lu,1 1 1 0 1 0
Shape of You                                                                ,Ed Sheeran       ,3184,10/01/2017,lu,1 1 1 0 0 0
Castle on the Hill                                                          ,Ed Sheeran       ,1733,10/01/2017,lu,1 1 1 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,1424,10/01/2017,lu,1 1 1 0 0 0
Starboy                                                                     ,The Weeknd       ,1326,10/01/2017,lu,1 1 1 0 0 0
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,1290,10/01/2017,lu,1 1 1 0 0 0
Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,1170,10/01/2017,lu,1 1 1 0 0 0
Say You Won't Let Go                                                        ,James Arthur     ,1132,10/01/2017,lu,1 1 1 0 0 0
Don't Wanna Know                                                            ,Maroon 5         ,1018,10/01/2017,lu,1 1 1 0 0 0
Shape of You                                                                ,Ed Sheeran       ,2911,11/01/2017,lu,1 1 0 0 0 0
Castle on the Hill                                                          ,Ed Sheeran       ,1527,11/01/2017,lu,1 1 0 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,1474,11/01/2017,lu,1 1 0 0 0 0
Starboy                                                                     ,The Weeknd       ,1314,11/01/2017,lu,1 1 0 0 0 0
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,1290,11/01/2017,lu,1 1 0 0 0 0
Say You Won't Let Go                                                        ,James Arthur     ,1209,11/01/2017,lu,1 1 0 0 0 0
Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,1111,11/01/2017,lu,1 1 0 0 0 0
Closer                                                                      ,The Chainsmokers ,1039,11/01/2017,lu,1 1 0 0 0 0
I Feel It Coming                                                            ,The Weeknd       ,1030,11/01/2017,lu,1 1 0 0 0 0
Don't Wanna Know                                                            ,Maroon 5         ,1013,11/01/2017,lu,1 1 0 0 0 0
