Track Name,Artist,Streams,Date,Country,Indicators
Starboy                                                                     ,The Weeknd       ,2059,01/01/2017,lv,0 1 0 0 0 0
Closer                                                                      ,The Chainsmokers ,1775,01/01/2017,lv,0 1 0 0 0 0
Let Me Love You                                                             ,DJ Snake         ,1522,01/01/2017,lv,0 1 0 0 0 0
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,1475,01/01/2017,lv,0 1 0 0 0 0
Black Beatles                                                               ,Rae Sremmurd     ,1442,01/01/2017,lv,0 1 0 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,1411,01/01/2017,lv,0 1 0 0 0 0
I Feel It Coming                                                            ,The Weeknd       ,1372,01/01/2017,lv,0 1 0 0 0 0
Say You Won't Let Go                                                        ,James Arthur     ,1366,01/01/2017,lv,0 1 0 0 0 0
Fake Love                                                                   ,Drake            ,1255,01/01/2017,lv,0 1 0 0 0 0
One Dance                                                                   ,Drake            ,1232,01/01/2017,lv,0 1 0 0 0 0
Starboy                                                                     ,The Weeknd       ,2834,02/01/2017,lv,0 1 1 0 0 0
Closer                                                                      ,The Chainsmokers ,2243,02/01/2017,lv,0 1 1 0 0 0
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,2165,02/01/2017,lv,0 1 1 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,1971,02/01/2017,lv,0 1 1 0 0 0
I Feel It Coming                                                            ,The Weeknd       ,1935,02/01/2017,lv,0 1 1 0 0 0
Let Me Love You                                                             ,DJ Snake         ,1929,02/01/2017,lv,0 1 1 0 0 0
Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,1820,02/01/2017,lv,0 1 1 0 0 0
Fake Love                                                                   ,Drake            ,1746,02/01/2017,lv,0 1 1 0 0 0
Black Beatles                                                               ,Rae Sremmurd     ,1725,02/01/2017,lv,0 1 1 0 0 0
Say You Won't Let Go                                                        ,James Arthur     ,1713,02/01/2017,lv,0 1 1 0 0 0
Starboy                                                                     ,The Weeknd       ,2903,03/01/2017,lv,0 0 1 0 0 0
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,2598,03/01/2017,lv,0 0 1 0 0 0
Closer                                                                      ,The Chainsmokers ,2365,03/01/2017,lv,0 0 1 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,2159,03/01/2017,lv,0 0 1 0 0 0
Say You Won't Let Go                                                        ,James Arthur     ,2113,03/01/2017,lv,0 0 1 0 0 0
I Feel It Coming                                                            ,The Weeknd       ,2055,03/01/2017,lv,0 0 1 0 0 0
Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,2026,03/01/2017,lv,0 0 1 0 0 0
Let Me Love You                                                             ,DJ Snake         ,1987,03/01/2017,lv,0 0 1 0 0 0
Don't Wanna Know                                                            ,Maroon 5         ,1930,03/01/2017,lv,0 0 1 0 0 0
All We Know                                                                 ,The Chainsmokers ,1892,03/01/2017,lv,0 0 1 0 0 0
Starboy                                                                     ,The Weeknd       ,2789,04/01/2017,lv,0 0 1 0 0 0
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,2296,04/01/2017,lv,0 0 1 0 0 0
Closer                                                                      ,The Chainsmokers ,2267,04/01/2017,lv,0 0 1 0 0 0
I Feel It Coming                                                            ,The Weeknd       ,2086,04/01/2017,lv,0 0 1 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,1954,04/01/2017,lv,0 0 1 0 0 0
Say You Won't Let Go                                                        ,James Arthur     ,1918,04/01/2017,lv,0 0 1 0 0 0
Let Me Love You                                                             ,DJ Snake         ,1832,04/01/2017,lv,0 0 1 0 0 0
All We Know                                                                 ,The Chainsmokers ,1825,04/01/2017,lv,0 0 1 0 0 0
Fake Love                                                                   ,Drake            ,1772,04/01/2017,lv,0 0 1 0 0 0
Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,1748,04/01/2017,lv,0 0 1 0 0 0
Starboy                                                                     ,The Weeknd       ,2760,05/01/2017,lv,0 0 1 0 0 0
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,2167,05/01/2017,lv,0 0 1 0 0 0
I Feel It Coming                                                            ,The Weeknd       ,2101,05/01/2017,lv,0 0 1 0 0 0
Closer                                                                      ,The Chainsmokers ,2018,05/01/2017,lv,0 0 1 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,1802,05/01/2017,lv,0 0 1 0 0 0
Say You Won't Let Go                                                        ,James Arthur     ,1760,05/01/2017,lv,0 0 1 0 0 0
Let Me Love You                                                             ,DJ Snake         ,1717,05/01/2017,lv,0 0 1 0 0 0
Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,1708,05/01/2017,lv,0 0 1 0 0 0
All We Know                                                                 ,The Chainsmokers ,1616,05/01/2017,lv,0 0 1 0 0 0
Fake Love                                                                   ,Drake            ,1565,05/01/2017,lv,0 0 1 0 0 0
Shape of You                                                                ,Ed Sheeran       ,4809,06/01/2017,lv,0 0 1 0 0 0
Castle on the Hill                                                          ,Ed Sheeran       ,4566,06/01/2017,lv,0 0 1 0 0 0
Starboy                                                                     ,The Weeknd       ,2618,06/01/2017,lv,0 0 1 0 0 0
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,2416,06/01/2017,lv,0 0 1 0 0 0
I Feel It Coming                                                            ,The Weeknd       ,1917,06/01/2017,lv,0 0 1 0 0 0
Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,1911,06/01/2017,lv,0 0 1 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,1903,06/01/2017,lv,0 0 1 0 0 0
Closer                                                                      ,The Chainsmokers ,1901,06/01/2017,lv,0 0 1 0 0 0
Black Beatles                                                               ,Rae Sremmurd     ,1746,06/01/2017,lv,0 0 1 0 0 0
Say You Won't Let Go                                                        ,James Arthur     ,1676,06/01/2017,lv,0 0 1 0 0 0
Shape of You                                                                ,Ed Sheeran       ,4522,07/01/2017,lv,0 0 1 0 0 0
Castle on the Hill                                                          ,Ed Sheeran       ,3451,07/01/2017,lv,0 0 1 0 0 0
Starboy                                                                     ,The Weeknd       ,2400,07/01/2017,lv,0 0 1 0 0 0
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,2300,07/01/2017,lv,0 0 1 0 0 0
Closer                                                                      ,The Chainsmokers ,2097,07/01/2017,lv,0 0 1 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,1879,07/01/2017,lv,0 0 1 0 0 0
I Feel It Coming                                                            ,The Weeknd       ,1847,07/01/2017,lv,0 0 1 0 0 0
Let Me Love You                                                             ,DJ Snake         ,1806,07/01/2017,lv,0 0 1 0 0 0
Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,1718,07/01/2017,lv,0 0 1 0 0 0
Say You Won't Let Go                                                        ,James Arthur     ,1712,07/01/2017,lv,0 0 1 0 0 0
Shape of You                                                                ,Ed Sheeran       ,5214,08/01/2017,lv,0 0 1 0 0 0
Castle on the Hill                                                          ,Ed Sheeran       ,3739,08/01/2017,lv,0 0 1 0 0 0
Starboy                                                                     ,The Weeknd       ,2291,08/01/2017,lv,0 0 1 0 0 0
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,2198,08/01/2017,lv,0 0 1 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,1809,08/01/2017,lv,0 0 1 0 0 0
Say You Won't Let Go                                                        ,James Arthur     ,1727,08/01/2017,lv,0 0 1 0 0 0
I Feel It Coming                                                            ,The Weeknd       ,1682,08/01/2017,lv,0 0 1 0 0 0
Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,1676,08/01/2017,lv,0 0 1 0 0 0
Fake Love                                                                   ,Drake            ,1626,08/01/2017,lv,0 0 1 0 0 0
Closer                                                                      ,The Chainsmokers ,1563,08/01/2017,lv,0 0 1 0 0 0
Shape of You                                                                ,Ed Sheeran       ,5385,09/01/2017,lv,0 1 1 0 0 0
Castle on the Hill                                                          ,Ed Sheeran       ,3567,09/01/2017,lv,0 1 1 0 0 0
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,2455,09/01/2017,lv,0 1 1 0 0 0
Starboy                                                                     ,The Weeknd       ,2374,09/01/2017,lv,0 1 1 0 0 0
