Track Name,Artist,Streams,Date,Country,Indicators
Chantaje                                                                    ,Shakira          ,395069,01/01/2017,mx,0 0 0 0 0 0
Reggaet�n Lento (Bailemos)                                                  ,CNCO             ,336760,01/01/2017,mx,0 0 0 0 0 0
Vente Pa' Ca                                                                ,Ricky Martin     ,300392,01/01/2017,mx,0 0 0 0 0 0
Safari                                                                      ,J Balvin         ,283184,01/01/2017,mx,0 0 0 0 0 0
Otra Vez (feat. J Balvin)                                                   ,Zion & Lennox    ,254484,01/01/2017,mx,0 0 0 0 0 0
La Bicicleta                                                                ,Carlos Vives     ,224828,01/01/2017,mx,0 0 0 0 0 0
Traicionera                                                                 ,Sebastian Yatra  ,224723,01/01/2017,mx,0 0 0 0 0 0
Closer                                                                      ,The Chainsmokers ,195640,01/01/2017,mx,0 0 0 0 0 0
Shaky Shaky                                                                 ,Daddy Yankee     ,192534,01/01/2017,mx,0 0 0 0 0 0
Starboy                                                                     ,The Weeknd       ,184402,01/01/2017,mx,0 0 0 0 0 0
Chantaje                                                                    ,Shakira          ,338751,02/01/2017,mx,0 0 0 0 0 0
Reggaet�n Lento (Bailemos)                                                  ,CNCO             ,293215,02/01/2017,mx,0 0 0 0 0 0
Vente Pa' Ca                                                                ,Ricky Martin     ,245589,02/01/2017,mx,0 0 0 0 0 0
Safari                                                                      ,J Balvin         ,241464,02/01/2017,mx,0 0 0 0 0 0
Otra Vez (feat. J Balvin)                                                   ,Zion & Lennox    ,227332,02/01/2017,mx,0 0 0 0 0 0
Closer                                                                      ,The Chainsmokers ,198076,02/01/2017,mx,0 0 0 0 0 0
Traicionera                                                                 ,Sebastian Yatra  ,197673,02/01/2017,mx,0 0 0 0 0 0
Let Me Love You                                                             ,DJ Snake         ,184443,02/01/2017,mx,0 0 0 0 0 0
Starboy                                                                     ,The Weeknd       ,182986,02/01/2017,mx,0 0 0 0 0 0
La Bicicleta                                                                ,Carlos Vives     ,178121,02/01/2017,mx,0 0 0 0 0 0
Chantaje                                                                    ,Shakira          ,360818,03/01/2017,mx,0 0 0 0 0 0
Reggaet�n Lento (Bailemos)                                                  ,CNCO             ,318254,03/01/2017,mx,0 0 0 0 0 0
Vente Pa' Ca                                                                ,Ricky Martin     ,265445,03/01/2017,mx,0 0 0 0 0 0
Safari                                                                      ,J Balvin         ,254691,03/01/2017,mx,0 0 0 0 0 0
Otra Vez (feat. J Balvin)                                                   ,Zion & Lennox    ,249227,03/01/2017,mx,0 0 0 0 0 0
Closer                                                                      ,The Chainsmokers ,212533,03/01/2017,mx,0 0 0 0 0 0
Traicionera                                                                 ,Sebastian Yatra  ,212052,03/01/2017,mx,0 0 0 0 0 0
Starboy                                                                     ,The Weeknd       ,202441,03/01/2017,mx,0 0 0 0 0 0
Let Me Love You                                                             ,DJ Snake         ,201230,03/01/2017,mx,0 0 0 0 0 0
La Bicicleta                                                                ,Carlos Vives     ,189326,03/01/2017,mx,0 0 0 0 0 0
Chantaje                                                                    ,Shakira          ,347930,04/01/2017,mx,0 0 0 0 0 0
Reggaet�n Lento (Bailemos)                                                  ,CNCO             ,313919,04/01/2017,mx,0 0 0 0 0 0
Vente Pa' Ca                                                                ,Ricky Martin     ,258839,04/01/2017,mx,0 0 0 0 0 0
Safari                                                                      ,J Balvin         ,247312,04/01/2017,mx,0 0 0 0 0 0
Otra Vez (feat. J Balvin)                                                   ,Zion & Lennox    ,241856,04/01/2017,mx,0 0 0 0 0 0
Traicionera                                                                 ,Sebastian Yatra  ,209984,04/01/2017,mx,0 0 0 0 0 0
Closer                                                                      ,The Chainsmokers ,203781,04/01/2017,mx,0 0 0 0 0 0
Starboy                                                                     ,The Weeknd       ,193269,04/01/2017,mx,0 0 0 0 0 0
Let Me Love You                                                             ,DJ Snake         ,193024,04/01/2017,mx,0 0 0 0 0 0
La Bicicleta                                                                ,Carlos Vives     ,182294,04/01/2017,mx,0 0 0 0 0 0
Chantaje                                                                    ,Shakira          ,351710,05/01/2017,mx,0 0 0 0 0 0
Reggaet�n Lento (Bailemos)                                                  ,CNCO             ,315525,05/01/2017,mx,0 0 0 0 0 0
Vente Pa' Ca                                                                ,Ricky Martin     ,257494,05/01/2017,mx,0 0 0 0 0 0
Safari                                                                      ,J Balvin         ,242425,05/01/2017,mx,0 0 0 0 0 0
Otra Vez (feat. J Balvin)                                                   ,Zion & Lennox    ,237904,05/01/2017,mx,0 0 0 0 0 0
Traicionera                                                                 ,Sebastian Yatra  ,208393,05/01/2017,mx,0 0 0 0 0 0
Closer                                                                      ,The Chainsmokers ,198130,05/01/2017,mx,0 0 0 0 0 0
Let Me Love You                                                             ,DJ Snake         ,186543,05/01/2017,mx,0 0 0 0 0 0
Starboy                                                                     ,The Weeknd       ,186123,05/01/2017,mx,0 0 0 0 0 0
La Bicicleta                                                                ,Carlos Vives     ,180214,05/01/2017,mx,0 0 0 0 0 0
Chantaje                                                                    ,Shakira          ,360562,06/01/2017,mx,0 0 0 0 0 0
Reggaet�n Lento (Bailemos)                                                  ,CNCO             ,327631,06/01/2017,mx,0 0 0 0 0 0
Vente Pa' Ca                                                                ,Ricky Martin     ,262566,06/01/2017,mx,0 0 0 0 0 0
Otra Vez (feat. J Balvin)                                                   ,Zion & Lennox    ,251317,06/01/2017,mx,0 0 0 0 0 0
Safari                                                                      ,J Balvin         ,248717,06/01/2017,mx,0 0 0 0 0 0
Traicionera                                                                 ,Sebastian Yatra  ,211548,06/01/2017,mx,0 0 0 0 0 0
Closer                                                                      ,The Chainsmokers ,197493,06/01/2017,mx,0 0 0 0 0 0
Let Me Love You                                                             ,DJ Snake         ,187561,06/01/2017,mx,0 0 0 0 0 0
Starboy                                                                     ,The Weeknd       ,187261,06/01/2017,mx,0 0 0 0 0 0
Ay Mi Dios                                                                  ,IAmChino         ,180410,06/01/2017,mx,0 0 0 0 0 0
Chantaje                                                                    ,Shakira          ,367784,07/01/2017,mx,0 0 0 0 0 0
Reggaet�n Lento (Bailemos)                                                  ,CNCO             ,339675,07/01/2017,mx,0 0 0 0 0 0
Vente Pa' Ca                                                                ,Ricky Martin     ,267932,07/01/2017,mx,0 0 0 0 0 0
Safari                                                                      ,J Balvin         ,256008,07/01/2017,mx,0 0 0 0 0 0
Otra Vez (feat. J Balvin)                                                   ,Zion & Lennox    ,252847,07/01/2017,mx,0 0 0 0 0 0
Traicionera                                                                 ,Sebastian Yatra  ,217214,07/01/2017,mx,0 0 0 0 0 0
Closer                                                                      ,The Chainsmokers ,195137,07/01/2017,mx,0 0 0 0 0 0
