Track Name,Artist,Streams,Date,Country,Indicators
Closer                                                                      ,The Chainsmokers ,27062,01/01/2017,my,0 1 0 0 0 0
Say You Won't Let Go                                                        ,James Arthur     ,26577,01/01/2017,my,0 1 0 0 0 0
Starboy                                                                     ,The Weeknd       ,24878,01/01/2017,my,0 1 0 0 0 0
Let Me Love You                                                             ,DJ Snake         ,22310,01/01/2017,my,0 1 0 0 0 0
Bad Things (with Camila Cabello)                                            ,Machine Gun Kelly,20668,01/01/2017,my,0 1 0 0 0 0
Don't Wanna Know                                                            ,Maroon 5         ,20212,01/01/2017,my,0 1 0 0 0 0
All We Know                                                                 ,The Chainsmokers ,20169,01/01/2017,my,0 1 0 0 0 0
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,20145,01/01/2017,my,0 1 0 0 0 0
Starving                                                                    ,Hailee Steinfeld ,16350,01/01/2017,my,0 1 0 0 0 0
Cold Water (feat. Justin Bieber & MØ)                                      ,Major Lazer      ,15624,01/01/2017,my,0 1 0 0 0 0
Say You Won't Let Go                                                        ,James Arthur     ,28336,02/01/2017,my,0 1 0 0 1 0
Closer                                                                      ,The Chainsmokers ,28108,02/01/2017,my,0 1 0 0 1 0
Wanita Terakhir                                                             ,Fattah Amin      ,26643,02/01/2017,my,0 1 0 0 1 0
Starboy                                                                     ,The Weeknd       ,25694,02/01/2017,my,0 1 0 0 1 0
Bad Things (with Camila Cabello)                                            ,Machine Gun Kelly,22098,02/01/2017,my,0 1 0 0 1 0
Let Me Love You                                                             ,DJ Snake         ,21685,02/01/2017,my,0 1 0 0 1 0
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,21167,02/01/2017,my,0 1 0 0 1 0
All We Know                                                                 ,The Chainsmokers ,20453,02/01/2017,my,0 1 0 0 1 0
Don't Wanna Know                                                            ,Maroon 5         ,20327,02/01/2017,my,0 1 0 0 1 0
Starving                                                                    ,Hailee Steinfeld ,16814,02/01/2017,my,0 1 0 0 1 0
