Track Name,Artist,Streams,Date,Country,Indicators
Energie                                                                     ,Ronnie Flex      ,112252,01/01/2017,nl,1 1 1 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,106984,01/01/2017,nl,1 1 1 0 0 0
Say You Won't Let Go                                                        ,James Arthur     ,96067,01/01/2017,nl,1 1 1 0 0 0
Het Is Een Feit                                                             ,Broederliefde    ,91829,01/01/2017,nl,1 1 1 0 0 0
Starboy                                                                     ,The Weeknd       ,76076,01/01/2017,nl,1 1 1 0 0 0
Let Me Love You                                                             ,DJ Snake         ,74970,01/01/2017,nl,1 1 1 0 0 0
Closer                                                                      ,The Chainsmokers ,74898,01/01/2017,nl,1 1 1 0 0 0
24K Magic                                                                   ,Bruno Mars       ,72781,01/01/2017,nl,1 1 1 0 0 0
I Feel It Coming                                                            ,The Weeknd       ,72076,01/01/2017,nl,1 1 1 0 0 0
Overal                                                                      ,F1rstman         ,67733,01/01/2017,nl,1 1 1 0 0 0
Energie                                                                     ,Ronnie Flex      ,159504,02/01/2017,nl,0 1 0 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,154557,02/01/2017,nl,0 1 0 0 0 0
Say You Won't Let Go                                                        ,James Arthur     ,126679,02/01/2017,nl,0 1 0 0 0 0
Het Is Een Feit                                                             ,Broederliefde    ,121439,02/01/2017,nl,0 1 0 0 0 0
Starboy                                                                     ,The Weeknd       ,108428,02/01/2017,nl,0 1 0 0 0 0
24K Magic                                                                   ,Bruno Mars       ,98033,02/01/2017,nl,0 1 0 0 0 0
Overal                                                                      ,F1rstman         ,98026,02/01/2017,nl,0 1 0 0 0 0
Let Me Love You                                                             ,DJ Snake         ,95528,02/01/2017,nl,0 1 0 0 0 0
I Feel It Coming                                                            ,The Weeknd       ,95527,02/01/2017,nl,0 1 0 0 0 0
Closer                                                                      ,The Chainsmokers ,94558,02/01/2017,nl,0 1 0 0 0 0
Energie                                                                     ,Ronnie Flex      ,171085,03/01/2017,nl,0 1 0 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,155014,03/01/2017,nl,0 1 0 0 0 0
Say You Won't Let Go                                                        ,James Arthur     ,129154,03/01/2017,nl,0 1 0 0 0 0
Het Is Een Feit                                                             ,Broederliefde    ,123942,03/01/2017,nl,0 1 0 0 0 0
Starboy                                                                     ,The Weeknd       ,109460,03/01/2017,nl,0 1 0 0 0 0
Overal                                                                      ,F1rstman         ,98817,03/01/2017,nl,0 1 0 0 0 0
I Feel It Coming                                                            ,The Weeknd       ,97951,03/01/2017,nl,0 1 0 0 0 0
24K Magic                                                                   ,Bruno Mars       ,96813,03/01/2017,nl,0 1 0 0 0 0
