Track Name,Artist,Streams,Date,Country,Indicators
Alone                                                                       ,Alan Walker      ,103886,01/01/2017,no,0 1 1 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,85990,01/01/2017,no,0 1 1 0 0 0
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,68706,01/01/2017,no,0 1 1 0 0 0
Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,60334,01/01/2017,no,0 1 1 0 0 0
I Feel It Coming                                                            ,The Weeknd       ,56607,01/01/2017,no,0 1 1 0 0 0
Solo Dance                                                                  ,Martin Jensen    ,54931,01/01/2017,no,0 1 1 0 0 0
Make Me (Cry)                                                               ,Noah Cyrus       ,51011,01/01/2017,no,0 1 1 0 0 0
Move Your Body - Alan Walker Remix                                          ,Sia              ,49684,01/01/2017,no,0 1 1 0 0 0
Starboy                                                                     ,The Weeknd       ,49158,01/01/2017,no,0 1 1 0 0 0
All Night                                                                   ,The Vamps        ,48797,01/01/2017,no,0 1 1 0 0 0
Alone                                                                       ,Alan Walker      ,123517,02/01/2017,no,0 0 0 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,101797,02/01/2017,no,0 0 0 0 0 0
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,93231,02/01/2017,no,0 0 0 0 0 0
Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,72252,02/01/2017,no,0 0 0 0 0 0
I Feel It Coming                                                            ,The Weeknd       ,71658,02/01/2017,no,0 0 0 0 0 0
Solo Dance                                                                  ,Martin Jensen    ,67939,02/01/2017,no,0 0 0 0 0 0
Make Me (Cry)                                                               ,Noah Cyrus       ,67041,02/01/2017,no,0 0 0 0 0 0
Hear Me Now                                                                 ,Alok             ,64163,02/01/2017,no,0 0 0 0 0 0
Move Your Body - Alan Walker Remix                                          ,Sia              ,59537,02/01/2017,no,0 0 0 0 0 0
Starboy                                                                     ,The Weeknd       ,59149,02/01/2017,no,0 0 0 0 0 0
Alone                                                                       ,Alan Walker      ,124270,03/01/2017,no,0 0 0 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,103626,03/01/2017,no,0 0 0 0 0 0
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,100491,03/01/2017,no,0 0 0 0 0 0
Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,73534,03/01/2017,no,0 0 0 0 0 0
I Feel It Coming                                                            ,The Weeknd       ,73210,03/01/2017,no,0 0 0 0 0 0
Make Me (Cry)                                                               ,Noah Cyrus       ,70408,03/01/2017,no,0 0 0 0 0 0
Solo Dance                                                                  ,Martin Jensen    ,68942,03/01/2017,no,0 0 0 0 0 0
Hear Me Now                                                                 ,Alok             ,68279,03/01/2017,no,0 0 0 0 0 0
Say You Won't Let Go                                                        ,James Arthur     ,61191,03/01/2017,no,0 0 0 0 0 0
Move Your Body - Alan Walker Remix                                          ,Sia              ,60118,03/01/2017,no,0 0 0 0 0 0
Alone                                                                       ,Alan Walker      ,126683,04/01/2017,no,0 0 1 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,106220,04/01/2017,no,0 0 1 0 0 0
