Track Name,Artist,Streams,Date,Country,Indicators
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,28957,01/01/2017,nz,0 0 0 0 0 0
Starboy                                                                     ,The Weeknd       ,28259,01/01/2017,nz,0 0 0 0 0 0
Closer                                                                      ,The Chainsmokers ,26958,01/01/2017,nz,0 0 0 0 0 0
24K Magic                                                                   ,Bruno Mars       ,24563,01/01/2017,nz,0 0 0 0 0 0
Say You Won't Let Go                                                        ,James Arthur     ,24005,01/01/2017,nz,0 0 0 0 0 0
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,23884,01/01/2017,nz,0 0 0 0 0 0
Fake Love                                                                   ,Drake            ,22210,01/01/2017,nz,0 0 0 0 0 0
Don't Wanna Know                                                            ,Maroon 5         ,22051,01/01/2017,nz,0 0 0 0 0 0
Sexual                                                                      ,NEIKED           ,21967,01/01/2017,nz,0 0 0 0 0 0
The Mack                                                                    ,Nevada           ,21878,01/01/2017,nz,0 0 0 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,30683,02/01/2017,nz,0 1 0 0 0 0
Starboy                                                                     ,The Weeknd       ,29563,02/01/2017,nz,0 1 0 0 0 0
Closer                                                                      ,The Chainsmokers ,27799,02/01/2017,nz,0 1 0 0 0 0
Say You Won't Let Go                                                        ,James Arthur     ,26215,02/01/2017,nz,0 1 0 0 0 0
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,25926,02/01/2017,nz,0 1 0 0 0 0
24K Magic                                                                   ,Bruno Mars       ,25396,02/01/2017,nz,0 1 0 0 0 0
Sexual                                                                      ,NEIKED           ,23861,02/01/2017,nz,0 1 0 0 0 0
Fake Love                                                                   ,Drake            ,23758,02/01/2017,nz,0 1 0 0 0 0
Don't Wanna Know                                                            ,Maroon 5         ,23089,02/01/2017,nz,0 1 0 0 0 0
Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,23007,02/01/2017,nz,0 1 0 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,32730,03/01/2017,nz,0 1 0 0 0 0
Starboy                                                                     ,The Weeknd       ,30813,03/01/2017,nz,0 1 0 0 0 0
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,29311,03/01/2017,nz,0 1 0 0 0 0
Closer                                                                      ,The Chainsmokers ,27923,03/01/2017,nz,0 1 0 0 0 0
Say You Won't Let Go                                                        ,James Arthur     ,27332,03/01/2017,nz,0 1 0 0 0 0
