Track Name,Artist,Streams,Date,Country,Indicators
Chantaje                                                                    ,Shakira          ,9081,01/01/2017,pa,0 0 0 0 0 0
Otra Vez (feat. J Balvin)                                                   ,Zion & Lennox    ,8660,01/01/2017,pa,0 0 0 0 0 0
Safari                                                                      ,J Balvin         ,8307,01/01/2017,pa,0 0 0 0 0 0
Reggaet�n Lento (Bailemos)                                                  ,CNCO             ,7811,01/01/2017,pa,0 0 0 0 0 0
Vente Pa' Ca                                                                ,Ricky Martin     ,7468,01/01/2017,pa,0 0 0 0 0 0
La Bicicleta                                                                ,Carlos Vives     ,5867,01/01/2017,pa,0 0 0 0 0 0
Let Me Love You                                                             ,DJ Snake         ,5375,01/01/2017,pa,0 0 0 0 0 0
Sola (Remix) [feat. Daddy Yankee & Wisin & Farruko & Zion & Lennox]            ,Anuel Aa         ,4801,01/01/2017,pa,0 0 0 0 0 0
Andas En Mi Cabeza                                                          ,Chino & Nacho    ,4693,01/01/2017,pa,0 0 0 0 0 0
Shaky Shaky                                                                 ,Daddy Yankee     ,4506,01/01/2017,pa,0 0 0 0 0 0
Chantaje                                                                    ,Shakira          ,6459,02/01/2017,pa,0 0 0 0 0 0
Otra Vez (feat. J Balvin)                                                   ,Zion & Lennox    ,6367,02/01/2017,pa,0 0 0 0 0 0
Reggaet�n Lento (Bailemos)                                                  ,CNCO             ,5846,02/01/2017,pa,0 0 0 0 0 0
Safari                                                                      ,J Balvin         ,5562,02/01/2017,pa,0 0 0 0 0 0
Vente Pa' Ca                                                                ,Ricky Martin     ,5010,02/01/2017,pa,0 0 0 0 0 0
Let Me Love You                                                             ,DJ Snake         ,4545,02/01/2017,pa,0 0 0 0 0 0
Sola (Remix) [feat. Daddy Yankee & Wisin & Farruko & Zion & Lennox]            ,Anuel Aa         ,4025,02/01/2017,pa,0 0 0 0 0 0
Closer                                                                      ,The Chainsmokers ,3862,02/01/2017,pa,0 0 0 0 0 0
One Dance                                                                   ,Drake            ,3756,02/01/2017,pa,0 0 0 0 0 0
Starboy                                                                     ,The Weeknd       ,3629,02/01/2017,pa,0 0 0 0 0 0
Chantaje                                                                    ,Shakira          ,6889,03/01/2017,pa,0 0 0 0 0 0
Otra Vez (feat. J Balvin)                                                   ,Zion & Lennox    ,6433,03/01/2017,pa,0 0 0 0 0 0
Reggaet�n Lento (Bailemos)                                                  ,CNCO             ,6374,03/01/2017,pa,0 0 0 0 0 0
Safari                                                                      ,J Balvin         ,5711,03/01/2017,pa,0 0 0 0 0 0
Vente Pa' Ca                                                                ,Ricky Martin     ,5274,03/01/2017,pa,0 0 0 0 0 0
Let Me Love You                                                             ,DJ Snake         ,5231,03/01/2017,pa,0 0 0 0 0 0
Sola (Remix) [feat. Daddy Yankee & Wisin & Farruko & Zion & Lennox]            ,Anuel Aa         ,4741,03/01/2017,pa,0 0 0 0 0 0
Closer                                                                      ,The Chainsmokers ,4322,03/01/2017,pa,0 0 0 0 0 0
Starboy                                                                     ,The Weeknd       ,4204,03/01/2017,pa,0 0 0 0 0 0
One Dance                                                                   ,Drake            ,3921,03/01/2017,pa,0 0 0 0 0 0
Chantaje                                                                    ,Shakira          ,6896,04/01/2017,pa,0 0 0 0 0 0
Reggaet�n Lento (Bailemos)                                                  ,CNCO             ,6519,04/01/2017,pa,0 0 0 0 0 0
Otra Vez (feat. J Balvin)                                                   ,Zion & Lennox    ,6426,04/01/2017,pa,0 0 0 0 0 0
Safari                                                                      ,J Balvin         ,5610,04/01/2017,pa,0 0 0 0 0 0
Let Me Love You                                                             ,DJ Snake         ,5205,04/01/2017,pa,0 0 0 0 0 0
Vente Pa' Ca                                                                ,Ricky Martin     ,5182,04/01/2017,pa,0 0 0 0 0 0
Sola (Remix) [feat. Daddy Yankee & Wisin & Farruko & Zion & Lennox]            ,Anuel Aa         ,4799,04/01/2017,pa,0 0 0 0 0 0
Starboy                                                                     ,The Weeknd       ,4478,04/01/2017,pa,0 0 0 0 0 0
Closer                                                                      ,The Chainsmokers ,4345,04/01/2017,pa,0 0 0 0 0 0
24K Magic                                                                   ,Bruno Mars       ,3895,04/01/2017,pa,0 0 0 0 0 0
Reggaet�n Lento (Bailemos)                                                  ,CNCO             ,7103,05/01/2017,pa,0 0 0 0 0 0
Chantaje                                                                    ,Shakira          ,7080,05/01/2017,pa,0 0 0 0 0 0
Otra Vez (feat. J Balvin)                                                   ,Zion & Lennox    ,6595,05/01/2017,pa,0 0 0 0 0 0
Safari                                                                      ,J Balvin         ,5842,05/01/2017,pa,0 0 0 0 0 0
Vente Pa' Ca                                                                ,Ricky Martin     ,5331,05/01/2017,pa,0 0 0 0 0 0
Let Me Love You                                                             ,DJ Snake         ,5287,05/01/2017,pa,0 0 0 0 0 0
Sola (Remix) [feat. Daddy Yankee & Wisin & Farruko & Zion & Lennox]            ,Anuel Aa         ,5064,05/01/2017,pa,0 0 0 0 0 0
Starboy                                                                     ,The Weeknd       ,4325,05/01/2017,pa,0 0 0 0 0 0
Closer                                                                      ,The Chainsmokers ,4325,05/01/2017,pa,0 0 0 0 0 0
24K Magic                                                                   ,Bruno Mars       ,3822,05/01/2017,pa,0 0 0 0 0 0
Reggaet�n Lento (Bailemos)                                                  ,CNCO             ,7665,06/01/2017,pa,0 0 0 0 0 0
Chantaje                                                                    ,Shakira          ,7520,06/01/2017,pa,0 0 0 0 0 0
Otra Vez (feat. J Balvin)                                                   ,Zion & Lennox    ,7080,06/01/2017,pa,0 0 0 0 0 0
