Track Name,Artist,Streams,Date,Country,Indicators
Chantaje                                                                    ,Shakira          ,39602,01/01/2017,pe,0 0 0 0 0 0
Reggaet�n Lento (Bailemos)                                                  ,CNCO             ,36580,01/01/2017,pe,0 0 0 0 0 0
Safari                                                                      ,J Balvin         ,34236,01/01/2017,pe,0 0 0 0 0 0
Otra Vez (feat. J Balvin)                                                   ,Zion & Lennox    ,30781,01/01/2017,pe,0 0 0 0 0 0
La Bicicleta                                                                ,Carlos Vives     ,29298,01/01/2017,pe,0 0 0 0 0 0
Vente Pa' Ca                                                                ,Ricky Martin     ,29033,01/01/2017,pe,0 0 0 0 0 0
Shaky Shaky                                                                 ,Daddy Yankee     ,28998,01/01/2017,pe,0 0 0 0 0 0
Let Me Love You                                                             ,DJ Snake         ,23698,01/01/2017,pe,0 0 0 0 0 0
Ay Mi Dios                                                                  ,IAmChino         ,23292,01/01/2017,pe,0 0 0 0 0 0
Andas En Mi Cabeza                                                          ,Chino & Nacho    ,22540,01/01/2017,pe,0 0 0 0 0 0
Chantaje                                                                    ,Shakira          ,36609,02/01/2017,pe,0 0 0 0 0 0
Reggaet�n Lento (Bailemos)                                                  ,CNCO             ,36522,02/01/2017,pe,0 0 0 0 0 0
Safari                                                                      ,J Balvin         ,30976,02/01/2017,pe,0 0 0 0 0 0
Otra Vez (feat. J Balvin)                                                   ,Zion & Lennox    ,30517,02/01/2017,pe,0 0 0 0 0 0
Vente Pa' Ca                                                                ,Ricky Martin     ,27474,02/01/2017,pe,0 0 0 0 0 0
Let Me Love You                                                             ,DJ Snake         ,25712,02/01/2017,pe,0 0 0 0 0 0
Shaky Shaky                                                                 ,Daddy Yankee     ,24203,02/01/2017,pe,0 0 0 0 0 0
Ay Mi Dios                                                                  ,IAmChino         ,24058,02/01/2017,pe,0 0 0 0 0 0
La Bicicleta                                                                ,Carlos Vives     ,23973,02/01/2017,pe,0 0 0 0 0 0
24K Magic                                                                   ,Bruno Mars       ,21524,02/01/2017,pe,0 0 0 0 0 0
Reggaet�n Lento (Bailemos)                                                  ,CNCO             ,39588,03/01/2017,pe,0 0 0 0 0 0
Chantaje                                                                    ,Shakira          ,38936,03/01/2017,pe,0 0 0 0 0 0
Safari                                                                      ,J Balvin         ,32949,03/01/2017,pe,0 0 0 0 0 0
Otra Vez (feat. J Balvin)                                                   ,Zion & Lennox    ,32773,03/01/2017,pe,0 0 0 0 0 0
Vente Pa' Ca                                                                ,Ricky Martin     ,29519,03/01/2017,pe,0 0 0 0 0 0
Let Me Love You                                                             ,DJ Snake         ,27510,03/01/2017,pe,0 0 0 0 0 0
Ay Mi Dios                                                                  ,IAmChino         ,26081,03/01/2017,pe,0 0 0 0 0 0
Shaky Shaky                                                                 ,Daddy Yankee     ,25700,03/01/2017,pe,0 0 0 0 0 0
La Bicicleta                                                                ,Carlos Vives     ,24559,03/01/2017,pe,0 0 0 0 0 0
24K Magic                                                                   ,Bruno Mars       ,23279,03/01/2017,pe,0 0 0 0 0 0
Reggaet�n Lento (Bailemos)                                                  ,CNCO             ,39915,04/01/2017,pe,0 0 0 0 0 0
Chantaje                                                                    ,Shakira          ,38740,04/01/2017,pe,0 0 0 0 0 0
Otra Vez (feat. J Balvin)                                                   ,Zion & Lennox    ,32534,04/01/2017,pe,0 0 0 0 0 0
Safari                                                                      ,J Balvin         ,31788,04/01/2017,pe,0 0 0 0 0 0
Vente Pa' Ca                                                                ,Ricky Martin     ,29326,04/01/2017,pe,0 0 0 0 0 0
Let Me Love You                                                             ,DJ Snake         ,28066,04/01/2017,pe,0 0 0 0 0 0
Ay Mi Dios                                                                  ,IAmChino         ,27467,04/01/2017,pe,0 0 0 0 0 0
Shaky Shaky                                                                 ,Daddy Yankee     ,24800,04/01/2017,pe,0 0 0 0 0 0
La Bicicleta                                                                ,Carlos Vives     ,24647,04/01/2017,pe,0 0 0 0 0 0
24K Magic                                                                   ,Bruno Mars       ,23751,04/01/2017,pe,0 0 0 0 0 0
Reggaet�n Lento (Bailemos)                                                  ,CNCO             ,41086,05/01/2017,pe,0 0 0 0 0 0
Chantaje                                                                    ,Shakira          ,39449,05/01/2017,pe,0 0 0 0 0 0
Otra Vez (feat. J Balvin)                                                   ,Zion & Lennox    ,32549,05/01/2017,pe,0 0 0 0 0 0
Safari                                                                      ,J Balvin         ,32047,05/01/2017,pe,0 0 0 0 0 0
Vente Pa' Ca                                                                ,Ricky Martin     ,29222,05/01/2017,pe,0 0 0 0 0 0
Let Me Love You                                                             ,DJ Snake         ,27639,05/01/2017,pe,0 0 0 0 0 0
Ay Mi Dios                                                                  ,IAmChino         ,27287,05/01/2017,pe,0 0 0 0 0 0
La Bicicleta                                                                ,Carlos Vives     ,24550,05/01/2017,pe,0 0 0 0 0 0
Shaky Shaky                                                                 ,Daddy Yankee     ,24399,05/01/2017,pe,0 0 0 0 0 0
24K Magic                                                                   ,Bruno Mars       ,22857,05/01/2017,pe,0 0 0 0 0 0
Reggaet�n Lento (Bailemos)                                                  ,CNCO             ,43786,06/01/2017,pe,0 0 0 0 0 0
Chantaje                                                                    ,Shakira          ,41813,06/01/2017,pe,0 0 0 0 0 0
Otra Vez (feat. J Balvin)                                                   ,Zion & Lennox    ,35344,06/01/2017,pe,0 0 0 0 0 0
Safari                                                                      ,J Balvin         ,33743,06/01/2017,pe,0 0 0 0 0 0
Vente Pa' Ca                                                                ,Ricky Martin     ,30583,06/01/2017,pe,0 0 0 0 0 0
Ay Mi Dios                                                                  ,IAmChino         ,29110,06/01/2017,pe,0 0 0 0 0 0
Let Me Love You                                                             ,DJ Snake         ,27544,06/01/2017,pe,0 0 0 0 0 0
Shaky Shaky                                                                 ,Daddy Yankee     ,26772,06/01/2017,pe,0 0 0 0 0 0
La Bicicleta                                                                ,Carlos Vives     ,26256,06/01/2017,pe,0 0 0 0 0 0
24K Magic                                                                   ,Bruno Mars       ,23500,06/01/2017,pe,0 0 0 0 0 0
Reggaet�n Lento (Bailemos)                                                  ,CNCO             ,44799,07/01/2017,pe,0 0 0 0 0 0
Chantaje                                                                    ,Shakira          ,42007,07/01/2017,pe,0 0 0 0 0 0
Otra Vez (feat. J Balvin)                                                   ,Zion & Lennox    ,34718,07/01/2017,pe,0 0 0 0 0 0
Safari                                                                      ,J Balvin         ,33515,07/01/2017,pe,0 0 0 0 0 0
Vente Pa' Ca                                                                ,Ricky Martin     ,30341,07/01/2017,pe,0 0 0 0 0 0
Ay Mi Dios                                                                  ,IAmChino         ,29258,07/01/2017,pe,0 0 0 0 0 0
Shaky Shaky                                                                 ,Daddy Yankee     ,27209,07/01/2017,pe,0 0 0 0 0 0
Let Me Love You                                                             ,DJ Snake         ,26794,07/01/2017,pe,0 0 0 0 0 0
La Bicicleta                                                                ,Carlos Vives     ,26193,07/01/2017,pe,0 0 0 0 0 0
24K Magic                                                                   ,Bruno Mars       ,22485,07/01/2017,pe,0 0 0 0 0 0
Reggaet�n Lento (Bailemos)                                                  ,CNCO             ,40403,08/01/2017,pe,0 0 0 0 0 0
