Track Name,Artist,Streams,Date,Country,Indicators
Versace On The Floor                                                        ,Bruno Mars       ,185236,01/01/2017,ph,0 0 0 0 0 0
Say You Won't Let Go                                                        ,James Arthur     ,180552,01/01/2017,ph,0 0 0 0 0 0
Closer                                                                      ,The Chainsmokers ,158720,01/01/2017,ph,0 0 0 0 0 0
All We Know                                                                 ,The Chainsmokers ,130874,01/01/2017,ph,0 0 0 0 0 0
Don't Wanna Know                                                            ,Maroon 5         ,129656,01/01/2017,ph,0 0 0 0 0 0
24K Magic                                                                   ,Bruno Mars       ,123924,01/01/2017,ph,0 0 0 0 0 0
Starving                                                                    ,Hailee Steinfeld ,123786,01/01/2017,ph,0 0 0 0 0 0
How Far I'll Go - From "Moana"                                              ,Alessia Cara     ,107298,01/01/2017,ph,0 0 0 0 0 0
Let Me Love You                                                             ,DJ Snake         ,104960,01/01/2017,ph,0 0 0 0 0 0
Starboy                                                                     ,The Weeknd       ,104708,01/01/2017,ph,0 0 0 0 0 0
Versace On The Floor                                                        ,Bruno Mars       ,218117,02/01/2017,ph,0 0 0 0 0 0
Say You Won't Let Go                                                        ,James Arthur     ,213747,02/01/2017,ph,0 0 0 0 0 0
Closer                                                                      ,The Chainsmokers ,173102,02/01/2017,ph,0 0 0 0 0 0
All We Know                                                                 ,The Chainsmokers ,145224,02/01/2017,ph,0 0 0 0 0 0
Don't Wanna Know                                                            ,Maroon 5         ,144744,02/01/2017,ph,0 0 0 0 0 0
24K Magic                                                                   ,Bruno Mars       ,140561,02/01/2017,ph,0 0 0 0 0 0
Starving                                                                    ,Hailee Steinfeld ,140283,02/01/2017,ph,0 0 0 0 0 0
How Far I'll Go - From "Moana"                                              ,Alessia Cara     ,126680,02/01/2017,ph,0 0 0 0 0 0
Starboy                                                                     ,The Weeknd       ,118152,02/01/2017,ph,0 0 0 0 0 0
Let Me Love You                                                             ,DJ Snake         ,117284,02/01/2017,ph,0 0 0 0 0 0
Versace On The Floor                                                        ,Bruno Mars       ,237065,03/01/2017,ph,0 0 0 0 0 0
Say You Won't Let Go                                                        ,James Arthur     ,234430,03/01/2017,ph,0 0 0 0 0 0
Closer                                                                      ,The Chainsmokers ,181637,03/01/2017,ph,0 0 0 0 0 0
Don't Wanna Know                                                            ,Maroon 5         ,152164,03/01/2017,ph,0 0 0 0 0 0
24K Magic                                                                   ,Bruno Mars       ,150963,03/01/2017,ph,0 0 0 0 0 0
All We Know                                                                 ,The Chainsmokers ,150379,03/01/2017,ph,0 0 0 0 0 0
Starving                                                                    ,Hailee Steinfeld ,148602,03/01/2017,ph,0 0 0 0 0 0
How Far I'll Go - From "Moana"                                              ,Alessia Cara     ,135764,03/01/2017,ph,0 0 0 0 0 0
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,127415,03/01/2017,ph,0 0 0 0 0 0
Starboy                                                                     ,The Weeknd       ,126500,03/01/2017,ph,0 0 0 0 0 0
Versace On The Floor                                                        ,Bruno Mars       ,238409,04/01/2017,ph,0 1 0 0 0 0
Say You Won't Let Go                                                        ,James Arthur     ,235189,04/01/2017,ph,0 1 0 0 0 0
Closer                                                                      ,The Chainsmokers ,179363,04/01/2017,ph,0 1 0 0 0 0
Don't Wanna Know                                                            ,Maroon 5         ,149606,04/01/2017,ph,0 1 0 0 0 0
All We Know                                                                 ,The Chainsmokers ,148463,04/01/2017,ph,0 1 0 0 0 0
