Track Name,Artist,Streams,Date,Country,Indicators
Let Me Love You                                                             ,DJ Snake         ,26290,01/01/2017,pl,0 0 0 0 0 0
Starboy                                                                     ,The Weeknd       ,25198,01/01/2017,pl,0 0 0 0 0 0
Closer                                                                      ,The Chainsmokers ,24642,01/01/2017,pl,0 0 0 0 0 0
Tuesday                                                                     ,Burak Yeter      ,24630,01/01/2017,pl,0 0 0 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,23163,01/01/2017,pl,0 0 0 0 0 0
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,18841,01/01/2017,pl,0 0 0 0 0 0
Treat You Better                                                            ,Shawn Mendes     ,18486,01/01/2017,pl,0 0 0 0 0 0
One Dance                                                                   ,Drake            ,18249,01/01/2017,pl,0 0 0 0 0 0
Don't Wanna Know                                                            ,Maroon 5         ,18122,01/01/2017,pl,0 0 0 0 0 0
Heathens                                                                    ,Twenty One Pilots,17823,01/01/2017,pl,0 0 0 0 0 0
Starboy                                                                     ,The Weeknd       ,30536,02/01/2017,pl,0 0 1 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,28601,02/01/2017,pl,0 0 1 0 0 0
Tuesday                                                                     ,Burak Yeter      ,27957,02/01/2017,pl,0 0 1 0 0 0
Let Me Love You                                                             ,DJ Snake         ,26747,02/01/2017,pl,0 0 1 0 0 0
Closer                                                                      ,The Chainsmokers ,26568,02/01/2017,pl,0 0 1 0 0 0
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,25227,02/01/2017,pl,0 0 1 0 0 0
Don't Wanna Know                                                            ,Maroon 5         ,21148,02/01/2017,pl,0 0 1 0 0 0
Heathens                                                                    ,Twenty One Pilots,20359,02/01/2017,pl,0 0 1 0 0 0
I Feel It Coming                                                            ,The Weeknd       ,19883,02/01/2017,pl,0 0 1 0 0 0
Alone                                                                       ,Alan Walker      ,19733,02/01/2017,pl,0 0 1 0 0 0
Starboy                                                                     ,The Weeknd       ,29881,03/01/2017,pl,0 0 1 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,29193,03/01/2017,pl,0 0 1 0 0 0
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,28030,03/01/2017,pl,0 0 1 0 0 0
Tuesday                                                                     ,Burak Yeter      ,27453,03/01/2017,pl,0 0 1 0 0 0
Let Me Love You                                                             ,DJ Snake         ,26540,03/01/2017,pl,0 0 1 0 0 0
Closer                                                                      ,The Chainsmokers ,26520,03/01/2017,pl,0 0 1 0 0 0
