Track Name,Artist,Streams,Date,Country,Indicators
Starboy                                                                     ,The Weeknd       ,15397,01/01/2017,pt,0 0 0 0 0 0
Let Me Love You                                                             ,DJ Snake         ,10469,01/01/2017,pt,0 0 0 0 0 0
24K Magic                                                                   ,Bruno Mars       ,10196,01/01/2017,pt,0 0 0 0 0 0
One Dance                                                                   ,Drake            ,10105,01/01/2017,pt,0 0 0 0 0 0
Closer                                                                      ,The Chainsmokers ,10080,01/01/2017,pt,0 0 0 0 0 0
Say You Won't Let Go                                                        ,James Arthur     ,9463,01/01/2017,pt,0 0 0 0 0 0
Loucos                                                                      ,Matias Damásio  ,9235,01/01/2017,pt,0 0 0 0 0 0
Chantaje                                                                    ,Shakira          ,9161,01/01/2017,pt,0 0 0 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,9135,01/01/2017,pt,0 0 0 0 0 0
I Feel It Coming                                                            ,The Weeknd       ,9060,01/01/2017,pt,0 0 0 0 0 0
Starboy                                                                     ,The Weeknd       ,23824,02/01/2017,pt,0 1 0 0 0 0
Say You Won't Let Go                                                        ,James Arthur     ,16684,02/01/2017,pt,0 1 0 0 0 0
Closer                                                                      ,The Chainsmokers ,16513,02/01/2017,pt,0 1 0 0 0 0
I Feel It Coming                                                            ,The Weeknd       ,16380,02/01/2017,pt,0 1 0 0 0 0
Let Me Love You                                                             ,DJ Snake         ,15676,02/01/2017,pt,0 1 0 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,15434,02/01/2017,pt,0 1 0 0 0 0
Chantaje                                                                    ,Shakira          ,14849,02/01/2017,pt,0 1 0 0 0 0
Mercy                                                                       ,Shawn Mendes     ,14775,02/01/2017,pt,0 1 0 0 0 0
24K Magic                                                                   ,Bruno Mars       ,14202,02/01/2017,pt,0 1 0 0 0 0
One Dance                                                                   ,Drake            ,14173,02/01/2017,pt,0 1 0 0 0 0
Starboy                                                                     ,The Weeknd       ,23734,03/01/2017,pt,1 1 0 0 0 0
Say You Won't Let Go                                                        ,James Arthur     ,16809,03/01/2017,pt,1 1 0 0 0 0
I Feel It Coming                                                            ,The Weeknd       ,16558,03/01/2017,pt,1 1 0 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,16055,03/01/2017,pt,1 1 0 0 0 0
Closer                                                                      ,The Chainsmokers ,16025,03/01/2017,pt,1 1 0 0 0 0
Chantaje                                                                    ,Shakira          ,15540,03/01/2017,pt,1 1 0 0 0 0
Let Me Love You                                                             ,DJ Snake         ,15232,03/01/2017,pt,1 1 0 0 0 0
Mercy                                                                       ,Shawn Mendes     ,14712,03/01/2017,pt,1 1 0 0 0 0
24K Magic                                                                   ,Bruno Mars       ,14019,03/01/2017,pt,1 1 0 0 0 0
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,14018,03/01/2017,pt,1 1 0 0 0 0
Starboy                                                                     ,The Weeknd       ,25421,04/01/2017,pt,1 0 0 0 0 0
Say You Won't Let Go                                                        ,James Arthur     ,18154,04/01/2017,pt,1 0 0 0 0 0
I Feel It Coming                                                            ,The Weeknd       ,17479,04/01/2017,pt,1 0 0 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,17064,04/01/2017,pt,1 0 0 0 0 0
Closer                                                                      ,The Chainsmokers ,16786,04/01/2017,pt,1 0 0 0 0 0
Chantaje                                                                    ,Shakira          ,16442,04/01/2017,pt,1 0 0 0 0 0
Let Me Love You                                                             ,DJ Snake         ,16261,04/01/2017,pt,1 0 0 0 0 0
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,15926,04/01/2017,pt,1 0 0 0 0 0
Mercy                                                                       ,Shawn Mendes     ,15565,04/01/2017,pt,1 0 0 0 0 0
Don't Wanna Know                                                            ,Maroon 5         ,15083,04/01/2017,pt,1 0 0 0 0 0
Starboy                                                                     ,The Weeknd       ,23933,05/01/2017,pt,1 1 0 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,17795,05/01/2017,pt,1 1 0 0 0 0
Say You Won't Let Go                                                        ,James Arthur     ,17719,05/01/2017,pt,1 1 0 0 0 0
I Feel It Coming                                                            ,The Weeknd       ,17355,05/01/2017,pt,1 1 0 0 0 0
Chantaje                                                                    ,Shakira          ,16794,05/01/2017,pt,1 1 0 0 0 0
