Track Name,Artist,Streams,Date,Country,Indicators
Chantaje                                                                    ,Shakira          ,8745,01/01/2017,py,0 1 0 0 1 0
Otra Vez (feat. J Balvin)                                                   ,Zion & Lennox    ,8411,01/01/2017,py,0 1 0 0 1 0
Safari                                                                      ,J Balvin         ,8209,01/01/2017,py,0 1 0 0 1 0
Reggaet�n Lento (Bailemos)                                                  ,CNCO             ,7618,01/01/2017,py,0 1 0 0 1 0
Vente Pa' Ca                                                                ,Ricky Martin     ,6873,01/01/2017,py,0 1 0 0 1 0
Ay Mi Dios                                                                  ,IAmChino         ,5372,01/01/2017,py,0 1 0 0 1 0
Vacaciones                                                                  ,Wisin            ,5223,01/01/2017,py,0 1 0 0 1 0
Let Me Love You                                                             ,DJ Snake         ,4959,01/01/2017,py,0 1 0 0 1 0
Dile Que Tu Me Quieres                                                      ,Ozuna            ,4879,01/01/2017,py,0 1 0 0 1 0
Closer                                                                      ,The Chainsmokers ,4149,01/01/2017,py,0 1 0 0 1 0
Chantaje                                                                    ,Shakira          ,8631,02/01/2017,py,0 0 0 0 0 0
Otra Vez (feat. J Balvin)                                                   ,Zion & Lennox    ,8173,02/01/2017,py,0 0 0 0 0 0
Reggaet�n Lento (Bailemos)                                                  ,CNCO             ,7992,02/01/2017,py,0 0 0 0 0 0
Safari                                                                      ,J Balvin         ,7687,02/01/2017,py,0 0 0 0 0 0
Vente Pa' Ca                                                                ,Ricky Martin     ,6552,02/01/2017,py,0 0 0 0 0 0
Let Me Love You                                                             ,DJ Snake         ,5658,02/01/2017,py,0 0 0 0 0 0
Ay Mi Dios                                                                  ,IAmChino         ,5422,02/01/2017,py,0 0 0 0 0 0
Dile Que Tu Me Quieres                                                      ,Ozuna            ,5170,02/01/2017,py,0 0 0 0 0 0
Vacaciones                                                                  ,Wisin            ,5136,02/01/2017,py,0 0 0 0 0 0
Closer                                                                      ,The Chainsmokers ,4850,02/01/2017,py,0 0 0 0 0 0
Chantaje                                                                    ,Shakira          ,9021,03/01/2017,py,0 0 0 0 0 0
Reggaet�n Lento (Bailemos)                                                  ,CNCO             ,8720,03/01/2017,py,0 0 0 0 0 0
Otra Vez (feat. J Balvin)                                                   ,Zion & Lennox    ,8699,03/01/2017,py,0 0 0 0 0 0
Safari                                                                      ,J Balvin         ,7913,03/01/2017,py,0 0 0 0 0 0
Vente Pa' Ca                                                                ,Ricky Martin     ,6879,03/01/2017,py,0 0 0 0 0 0
Let Me Love You                                                             ,DJ Snake         ,5933,03/01/2017,py,0 0 0 0 0 0
Ay Mi Dios                                                                  ,IAmChino         ,5795,03/01/2017,py,0 0 0 0 0 0
Vacaciones                                                                  ,Wisin            ,5587,03/01/2017,py,0 0 0 0 0 0
Dile Que Tu Me Quieres                                                      ,Ozuna            ,5469,03/01/2017,py,0 0 0 0 0 0
Closer                                                                      ,The Chainsmokers ,5158,03/01/2017,py,0 0 0 0 0 0
Chantaje                                                                    ,Shakira          ,9183,04/01/2017,py,0 0 0 0 0 0
Reggaet�n Lento (Bailemos)                                                  ,CNCO             ,9026,04/01/2017,py,0 0 0 0 0 0
Otra Vez (feat. J Balvin)                                                   ,Zion & Lennox    ,8632,04/01/2017,py,0 0 0 0 0 0
Safari                                                                      ,J Balvin         ,8063,04/01/2017,py,0 0 0 0 0 0
Vente Pa' Ca                                                                ,Ricky Martin     ,6793,04/01/2017,py,0 0 0 0 0 0
Ay Mi Dios                                                                  ,IAmChino         ,5931,04/01/2017,py,0 0 0 0 0 0
Let Me Love You                                                             ,DJ Snake         ,5876,04/01/2017,py,0 0 0 0 0 0
Dile Que Tu Me Quieres                                                      ,Ozuna            ,5718,04/01/2017,py,0 0 0 0 0 0
Vacaciones                                                                  ,Wisin            ,5695,04/01/2017,py,0 0 0 0 0 0
Closer                                                                      ,The Chainsmokers ,5379,04/01/2017,py,0 0 0 0 0 0
Reggaet�n Lento (Bailemos)                                                  ,CNCO             ,8978,05/01/2017,py,0 0 0 0 0 0
Chantaje                                                                    ,Shakira          ,8956,05/01/2017,py,0 0 0 0 0 0
Otra Vez (feat. J Balvin)                                                   ,Zion & Lennox    ,8290,05/01/2017,py,0 0 0 0 0 0
Safari                                                                      ,J Balvin         ,7768,05/01/2017,py,0 0 0 0 0 0
Vente Pa' Ca                                                                ,Ricky Martin     ,6620,05/01/2017,py,0 0 0 0 0 0
