Track Name,Artist,Streams,Date,Country,Indicators
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,129472,01/01/2017,se,0 0 0 0 0 0
Alone                                                                       ,Alan Walker      ,121710,01/01/2017,se,0 0 0 0 0 0
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,116338,01/01/2017,se,0 0 0 0 0 0
Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,113275,01/01/2017,se,0 0 0 0 0 0
Say You Won't Let Go                                                        ,James Arthur     ,105816,01/01/2017,se,0 0 0 0 0 0
Solo Dance                                                                  ,Martin Jensen    ,95637,01/01/2017,se,0 0 0 0 0 0
I Feel It Coming                                                            ,The Weeknd       ,95027,01/01/2017,se,0 0 0 0 0 0
Starboy                                                                     ,The Weeknd       ,91674,01/01/2017,se,0 0 0 0 0 0
Let Me Love You                                                             ,DJ Snake         ,84260,01/01/2017,se,0 0 0 0 0 0
Closer                                                                      ,The Chainsmokers ,74981,01/01/2017,se,0 0 0 0 0 0
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,165324,02/01/2017,se,0 0 0 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,165282,02/01/2017,se,0 0 0 0 0 0
Alone                                                                       ,Alan Walker      ,156842,02/01/2017,se,0 0 0 0 0 0
Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,144757,02/01/2017,se,0 0 0 0 0 0
Say You Won't Let Go                                                        ,James Arthur     ,137129,02/01/2017,se,0 0 0 0 0 0
Solo Dance                                                                  ,Martin Jensen    ,125184,02/01/2017,se,0 0 0 0 0 0
I Feel It Coming                                                            ,The Weeknd       ,121816,02/01/2017,se,0 0 0 0 0 0
Starboy                                                                     ,The Weeknd       ,121054,02/01/2017,se,0 0 0 0 0 0
Let Me Love You                                                             ,DJ Snake         ,100336,02/01/2017,se,0 0 0 0 0 0
Now and Later                                                               ,Sage The Gemini  ,98770,02/01/2017,se,0 0 0 0 0 0
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,172352,03/01/2017,se,0 0 0 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,164210,03/01/2017,se,0 0 0 0 0 0
Alone                                                                       ,Alan Walker      ,155382,03/01/2017,se,0 0 0 0 0 0
Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,145639,03/01/2017,se,0 0 0 0 0 0
