Track Name,Artist,Streams,Date,Country,Indicators
Closer                                                                      ,The Chainsmokers ,30142,01/01/2017,sg,0 1 0 0 0 0
Say You Won't Let Go                                                        ,James Arthur     ,26576,01/01/2017,sg,0 1 0 0 0 0
Starboy                                                                     ,The Weeknd       ,25366,01/01/2017,sg,0 1 0 0 0 0
Let Me Love You                                                             ,DJ Snake         ,23237,01/01/2017,sg,0 1 0 0 0 0
Don't Wanna Know                                                            ,Maroon 5         ,20348,01/01/2017,sg,0 1 0 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,20158,01/01/2017,sg,0 1 0 0 0 0
All We Know                                                                 ,The Chainsmokers ,20054,01/01/2017,sg,0 1 0 0 0 0
Bad Things (with Camila Cabello)                                            ,Machine Gun Kelly,19205,01/01/2017,sg,0 1 0 0 0 0
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,19196,01/01/2017,sg,0 1 0 0 0 0
24K Magic                                                                   ,Bruno Mars       ,17090,01/01/2017,sg,0 1 0 0 0 0
Closer                                                                      ,The Chainsmokers ,32285,02/01/2017,sg,0 1 0 0 1 0
Say You Won't Let Go                                                        ,James Arthur     ,30826,02/01/2017,sg,0 1 0 0 1 0
Starboy                                                                     ,The Weeknd       ,29116,02/01/2017,sg,0 1 0 0 1 0
Let Me Love You                                                             ,DJ Snake         ,25134,02/01/2017,sg,0 1 0 0 1 0
Don't Wanna Know                                                            ,Maroon 5         ,23826,02/01/2017,sg,0 1 0 0 1 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,23489,02/01/2017,sg,0 1 0 0 1 0
All We Know                                                                 ,The Chainsmokers ,23272,02/01/2017,sg,0 1 0 0 1 0
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,23206,02/01/2017,sg,0 1 0 0 1 0
Bad Things (with Camila Cabello)                                            ,Machine Gun Kelly,22656,02/01/2017,sg,0 1 0 0 1 0
24K Magic                                                                   ,Bruno Mars       ,19754,02/01/2017,sg,0 1 0 0 1 0
Closer                                                                      ,The Chainsmokers ,37468,03/01/2017,sg,0 1 0 0 1 0
Say You Won't Let Go                                                        ,James Arthur     ,36774,03/01/2017,sg,0 1 0 0 1 0
Starboy                                                                     ,The Weeknd       ,34415,03/01/2017,sg,0 1 0 0 1 0
Let Me Love You                                                             ,DJ Snake         ,29068,03/01/2017,sg,0 1 0 0 1 0
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,28845,03/01/2017,sg,0 1 0 0 1 0
