Track Name,Artist,Streams,Date,Country,Indicators
Starboy                                                                     ,The Weeknd       ,2197,01/01/2017,sk,0 0 0 0 0 0
Closer                                                                      ,The Chainsmokers ,1777,01/01/2017,sk,0 0 0 0 0 0
Let Me Love You                                                             ,DJ Snake         ,1732,01/01/2017,sk,0 0 0 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,1714,01/01/2017,sk,0 0 0 0 0 0
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,1511,01/01/2017,sk,0 0 0 0 0 0
I Feel It Coming                                                            ,The Weeknd       ,1289,01/01/2017,sk,0 0 0 0 0 0
Don't Wanna Know                                                            ,Maroon 5         ,1276,01/01/2017,sk,0 0 0 0 0 0
Just Hold On                                                                ,Steve Aoki       ,1245,01/01/2017,sk,0 0 0 0 0 0
Black Beatles                                                               ,Rae Sremmurd     ,1234,01/01/2017,sk,0 0 0 0 0 0
Say You Won't Let Go                                                        ,James Arthur     ,1179,01/01/2017,sk,0 0 0 0 0 0
Starboy                                                                     ,The Weeknd       ,2746,02/01/2017,sk,1 0 0 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,2435,02/01/2017,sk,1 0 0 0 0 0
Closer                                                                      ,The Chainsmokers ,2195,02/01/2017,sk,1 0 0 0 0 0
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,2185,02/01/2017,sk,1 0 0 0 0 0
Let Me Love You                                                             ,DJ Snake         ,2113,02/01/2017,sk,1 0 0 0 0 0
I Feel It Coming                                                            ,The Weeknd       ,1852,02/01/2017,sk,1 0 0 0 0 0
Don't Wanna Know                                                            ,Maroon 5         ,1825,02/01/2017,sk,1 0 0 0 0 0
Just Hold On                                                                ,Steve Aoki       ,1730,02/01/2017,sk,1 0 0 0 0 0
Say You Won't Let Go                                                        ,James Arthur     ,1700,02/01/2017,sk,1 0 0 0 0 0
Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,1685,02/01/2017,sk,1 0 0 0 0 0
Starboy                                                                     ,The Weeknd       ,2963,03/01/2017,sk,0 0 1 0 0 0
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,2630,03/01/2017,sk,0 0 1 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,2577,03/01/2017,sk,0 0 1 0 0 0
Closer                                                                      ,The Chainsmokers ,2336,03/01/2017,sk,0 0 1 0 0 0
Let Me Love You                                                             ,DJ Snake         ,2113,03/01/2017,sk,0 0 1 0 0 0
Don't Wanna Know                                                            ,Maroon 5         ,2046,03/01/2017,sk,0 0 1 0 0 0
I Feel It Coming                                                            ,The Weeknd       ,1935,03/01/2017,sk,0 0 1 0 0 0
Say You Won't Let Go                                                        ,James Arthur     ,1922,03/01/2017,sk,0 0 1 0 0 0
Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,1878,03/01/2017,sk,0 0 1 0 0 0
Just Hold On                                                                ,Steve Aoki       ,1869,03/01/2017,sk,0 0 1 0 0 0
Starboy                                                                     ,The Weeknd       ,3005,04/01/2017,sk,0 0 1 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,2565,04/01/2017,sk,0 0 1 0 0 0
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,2512,04/01/2017,sk,0 0 1 0 0 0
Closer                                                                      ,The Chainsmokers ,2314,04/01/2017,sk,0 0 1 0 0 0
Let Me Love You                                                             ,DJ Snake         ,2167,04/01/2017,sk,0 0 1 0 0 0
I Feel It Coming                                                            ,The Weeknd       ,2101,04/01/2017,sk,0 0 1 0 0 0
Don't Wanna Know                                                            ,Maroon 5         ,1900,04/01/2017,sk,0 0 1 0 0 0
Say You Won't Let Go                                                        ,James Arthur     ,1843,04/01/2017,sk,0 0 1 0 0 0
Black Beatles                                                               ,Rae Sremmurd     ,1710,04/01/2017,sk,0 0 1 0 0 0
Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,1709,04/01/2017,sk,0 0 1 0 0 0
Starboy                                                                     ,The Weeknd       ,3007,05/01/2017,sk,0 0 0 0 0 0
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,2413,05/01/2017,sk,0 0 0 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,2404,05/01/2017,sk,0 0 0 0 0 0
Closer                                                                      ,The Chainsmokers ,2084,05/01/2017,sk,0 0 0 0 0 0
I Feel It Coming                                                            ,The Weeknd       ,2031,05/01/2017,sk,0 0 0 0 0 0
Let Me Love You                                                             ,DJ Snake         ,2015,05/01/2017,sk,0 0 0 0 0 0
Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,1726,05/01/2017,sk,0 0 0 0 0 0
Don't Wanna Know                                                            ,Maroon 5         ,1708,05/01/2017,sk,0 0 0 0 0 0
Say You Won't Let Go                                                        ,James Arthur     ,1688,05/01/2017,sk,0 0 0 0 0 0
Just Hold On                                                                ,Steve Aoki       ,1515,05/01/2017,sk,0 0 0 0 0 0
Shape of You                                                                ,Ed Sheeran       ,7098,06/01/2017,sk,0 0 0 0 0 0
Castle on the Hill                                                          ,Ed Sheeran       ,5314,06/01/2017,sk,0 0 0 0 0 0
Starboy                                                                     ,The Weeknd       ,2638,06/01/2017,sk,0 0 0 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,2558,06/01/2017,sk,0 0 0 0 0 0
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,2444,06/01/2017,sk,0 0 0 0 0 0
Closer                                                                      ,The Chainsmokers ,1837,06/01/2017,sk,0 0 0 0 0 0
Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,1793,06/01/2017,sk,0 0 0 0 0 0
Let Me Love You                                                             ,DJ Snake         ,1789,06/01/2017,sk,0 0 0 0 0 0
Don't Wanna Know                                                            ,Maroon 5         ,1746,06/01/2017,sk,0 0 0 0 0 0
I Feel It Coming                                                            ,The Weeknd       ,1741,06/01/2017,sk,0 0 0 0 0 0
Shape of You                                                                ,Ed Sheeran       ,6883,07/01/2017,sk,0 0 0 0 0 0
Castle on the Hill                                                          ,Ed Sheeran       ,4228,07/01/2017,sk,0 0 0 0 0 0
Starboy                                                                     ,The Weeknd       ,2523,07/01/2017,sk,0 0 0 0 0 0
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,2486,07/01/2017,sk,0 0 0 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,2461,07/01/2017,sk,0 0 0 0 0 0
Closer                                                                      ,The Chainsmokers ,2256,07/01/2017,sk,0 0 0 0 0 0
Let Me Love You                                                             ,DJ Snake         ,2135,07/01/2017,sk,0 0 0 0 0 0
I Feel It Coming                                                            ,The Weeknd       ,1921,07/01/2017,sk,0 0 0 0 0 0
Don't Wanna Know                                                            ,Maroon 5         ,1896,07/01/2017,sk,0 0 0 0 0 0
Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,1782,07/01/2017,sk,0 0 0 0 0 0
Shape of You                                                                ,Ed Sheeran       ,7550,08/01/2017,sk,0 0 0 0 0 0
Castle on the Hill                                                          ,Ed Sheeran       ,4297,08/01/2017,sk,0 0 0 0 0 0
Starboy                                                                     ,The Weeknd       ,2495,08/01/2017,sk,0 0 0 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,2410,08/01/2017,sk,0 0 0 0 0 0
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,2393,08/01/2017,sk,0 0 0 0 0 0
Closer                                                                      ,The Chainsmokers ,1793,08/01/2017,sk,0 0 0 0 0 0
Don't Wanna Know                                                            ,Maroon 5         ,1750,08/01/2017,sk,0 0 0 0 0 0
I Feel It Coming                                                            ,The Weeknd       ,1750,08/01/2017,sk,0 0 0 0 0 0
Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,1672,08/01/2017,sk,0 0 0 0 0 0
Say You Won't Let Go                                                        ,James Arthur     ,1652,08/01/2017,sk,0 0 0 0 0 0
Shape of You                                                                ,Ed Sheeran       ,7262,09/01/2017,sk,0 0 0 0 0 0
Castle on the Hill                                                          ,Ed Sheeran       ,4194,09/01/2017,sk,0 0 0 0 0 0
Starboy                                                                     ,The Weeknd       ,2612,09/01/2017,sk,0 0 0 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,2570,09/01/2017,sk,0 0 0 0 0 0
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,2461,09/01/2017,sk,0 0 0 0 0 0
I Feel It Coming                                                            ,The Weeknd       ,1800,09/01/2017,sk,0 0 0 0 0 0
Don't Wanna Know                                                            ,Maroon 5         ,1745,09/01/2017,sk,0 0 0 0 0 0
Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,1712,09/01/2017,sk,0 0 0 0 0 0
Closer                                                                      ,The Chainsmokers ,1686,09/01/2017,sk,0 0 0 0 0 0
Say You Won't Let Go                                                        ,James Arthur     ,1623,09/01/2017,sk,0 0 0 0 0 0
Shape of You                                                                ,Ed Sheeran       ,7021,10/01/2017,sk,0 0 1 0 0 0
Castle on the Hill                                                          ,Ed Sheeran       ,3679,10/01/2017,sk,0 0 1 0 0 0
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,2876,10/01/2017,sk,0 0 1 0 0 0
Starboy                                                                     ,The Weeknd       ,2722,10/01/2017,sk,0 0 1 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,2702,10/01/2017,sk,0 0 1 0 0 0
I Feel It Coming                                                            ,The Weeknd       ,2047,10/01/2017,sk,0 0 1 0 0 0
Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,1906,10/01/2017,sk,0 0 1 0 0 0
Don't Wanna Know                                                            ,Maroon 5         ,1892,10/01/2017,sk,0 0 1 0 0 0
Say You Won't Let Go                                                        ,James Arthur     ,1788,10/01/2017,sk,0 0 1 0 0 0
Just Hold On                                                                ,Steve Aoki       ,1678,10/01/2017,sk,0 0 1 0 0 0
Shape of You                                                                ,Ed Sheeran       ,6484,11/01/2017,sk,0 0 0 0 0 0
Castle on the Hill                                                          ,Ed Sheeran       ,3500,11/01/2017,sk,0 0 0 0 0 0
Starboy                                                                     ,The Weeknd       ,2768,11/01/2017,sk,0 0 0 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,2676,11/01/2017,sk,0 0 0 0 0 0
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,2576,11/01/2017,sk,0 0 0 0 0 0
I Feel It Coming                                                            ,The Weeknd       ,2078,11/01/2017,sk,0 0 0 0 0 0
Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,1969,11/01/2017,sk,0 0 0 0 0 0
Don't Wanna Know                                                            ,Maroon 5         ,1817,11/01/2017,sk,0 0 0 0 0 0
Say You Won't Let Go                                                        ,James Arthur     ,1748,11/01/2017,sk,0 0 0 0 0 0
Closer                                                                      ,The Chainsmokers ,1721,11/01/2017,sk,0 0 0 0 0 0
Shape of You                                                                ,Ed Sheeran       ,6221,12/01/2017,sk,0 0 1 0 0 0
Castle on the Hill                                                          ,Ed Sheeran       ,3248,12/01/2017,sk,0 0 1 0 0 0
Starboy                                                                     ,The Weeknd       ,3019,12/01/2017,sk,0 0 1 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,2725,12/01/2017,sk,0 0 1 0 0 0
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,2688,12/01/2017,sk,0 0 1 0 0 0
I Feel It Coming                                                            ,The Weeknd       ,2224,12/01/2017,sk,0 0 1 0 0 0
Call On Me - Ryan Riback Extended Remix                                     ,Starley          ,1924,12/01/2017,sk,0 0 1 0 0 0
Don't Wanna Know                                                            ,Maroon 5         ,1869,12/01/2017,sk,0 0 1 0 0 0
Say You Won't Let Go                                                        ,James Arthur     ,1731,12/01/2017,sk,0 0 1 0 0 0
Closer                                                                      ,The Chainsmokers ,1707,12/01/2017,sk,0 0 1 0 0 0
Shape of You                                                                ,Ed Sheeran       ,6844,13/01/2017,sk,0 1 0 0 0 0
Castle on the Hill                                                          ,Ed Sheeran       ,3531,13/01/2017,sk,0 1 0 0 0 0
Starboy                                                                     ,The Weeknd       ,2969,13/01/2017,sk,0 1 0 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,2862,13/01/2017,sk,0 1 0 0 0 0
