Track Name,Artist,Streams,Date,Country,Indicators
Reggaet�n Lento (Bailemos)                                                  ,CNCO             ,5981,01/01/2017,sv,0 0 0 0 0 0
Otra Vez (feat. J Balvin)                                                   ,Zion & Lennox    ,5513,01/01/2017,sv,0 0 0 0 0 0
Chantaje                                                                    ,Shakira          ,5485,01/01/2017,sv,0 0 0 0 0 0
Safari                                                                      ,J Balvin         ,5033,01/01/2017,sv,0 0 0 0 0 0
Vente Pa' Ca                                                                ,Ricky Martin     ,4102,01/01/2017,sv,0 0 0 0 0 0
Closer                                                                      ,The Chainsmokers ,3827,01/01/2017,sv,0 0 0 0 0 0
La Bicicleta                                                                ,Carlos Vives     ,3677,01/01/2017,sv,0 0 0 0 0 0
Let Me Love You                                                             ,DJ Snake         ,3601,01/01/2017,sv,0 0 0 0 0 0
Shaky Shaky                                                                 ,Daddy Yankee     ,3528,01/01/2017,sv,0 0 0 0 0 0
Dile Que Tu Me Quieres                                                      ,Ozuna            ,3044,01/01/2017,sv,0 0 0 0 0 0
Reggaet�n Lento (Bailemos)                                                  ,CNCO             ,5189,02/01/2017,sv,0 0 0 0 0 0
Otra Vez (feat. J Balvin)                                                   ,Zion & Lennox    ,4642,02/01/2017,sv,0 0 0 0 0 0
Chantaje                                                                    ,Shakira          ,4545,02/01/2017,sv,0 0 0 0 0 0
Closer                                                                      ,The Chainsmokers ,4139,02/01/2017,sv,0 0 0 0 0 0
Safari                                                                      ,J Balvin         ,3918,02/01/2017,sv,0 0 0 0 0 0
Let Me Love You                                                             ,DJ Snake         ,3749,02/01/2017,sv,0 0 0 0 0 0
Vente Pa' Ca                                                                ,Ricky Martin     ,3214,02/01/2017,sv,0 0 0 0 0 0
Starboy                                                                     ,The Weeknd       ,3178,02/01/2017,sv,0 0 0 0 0 0
Cuatro Babys                                                                ,Maluma           ,2932,02/01/2017,sv,0 0 0 0 0 0
One Dance                                                                   ,Drake            ,2793,02/01/2017,sv,0 0 0 0 0 0
