Track Name,Artist,Streams,Date,Country,Indicators
Gece Gölgenin Rahatına Bak                                                ,Çağatay Akman  ,80607,01/01/2017,tr,0 1 1 0 0 0
Starboy                                                                     ,The Weeknd       ,44427,01/01/2017,tr,0 1 1 0 0 0
Affet                                                                       ,Müslüm Gürses ,34889,01/01/2017,tr,0 1 1 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,28400,01/01/2017,tr,0 1 1 0 0 0
Let Me Love You                                                             ,DJ Snake         ,25425,01/01/2017,tr,0 1 1 0 0 0
Closer                                                                      ,The Chainsmokers ,23032,01/01/2017,tr,0 1 1 0 0 0
Haydi Söyle                                                                ,Kalben           ,22231,01/01/2017,tr,0 1 1 0 0 0
Heathens                                                                    ,Twenty One Pilots,21631,01/01/2017,tr,0 1 1 0 0 0
One Dance                                                                   ,Drake            ,20857,01/01/2017,tr,0 1 1 0 0 0
Lost on You                                                                 ,LP               ,20231,01/01/2017,tr,0 1 1 0 0 0
Gece Gölgenin Rahatına Bak                                                ,Çağatay Akman  ,86798,02/01/2017,tr,0 0 0 0 0 0
Starboy                                                                     ,The Weeknd       ,52821,02/01/2017,tr,0 0 0 0 0 0
Affet                                                                       ,Müslüm Gürses ,36255,02/01/2017,tr,0 0 0 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,33388,02/01/2017,tr,0 0 0 0 0 0
Let Me Love You                                                             ,DJ Snake         ,27948,02/01/2017,tr,0 0 0 0 0 0
Closer                                                                      ,The Chainsmokers ,25588,02/01/2017,tr,0 0 0 0 0 0
366.Gün                                                                    ,Sagopa Kajmer    ,25272,02/01/2017,tr,0 0 0 0 0 0
Haydi Söyle                                                                ,Kalben           ,25205,02/01/2017,tr,0 0 0 0 0 0
Lost on You                                                                 ,LP               ,24192,02/01/2017,tr,0 0 0 0 0 0
Heathens                                                                    ,Twenty One Pilots,24131,02/01/2017,tr,0 0 0 0 0 0
Gece Gölgenin Rahatına Bak                                                ,Çağatay Akman  ,83126,03/01/2017,tr,0 0 0 0 0 0
Starboy                                                                     ,The Weeknd       ,53323,03/01/2017,tr,0 0 0 0 0 0
Affet                                                                       ,Müslüm Gürses ,35441,03/01/2017,tr,0 0 0 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,34397,03/01/2017,tr,0 0 0 0 0 0
Let Me Love You                                                             ,DJ Snake         ,28740,03/01/2017,tr,0 0 0 0 0 0
366.Gün                                                                    ,Sagopa Kajmer    ,28687,03/01/2017,tr,0 0 0 0 0 0
Haydi Söyle                                                                ,Kalben           ,26906,03/01/2017,tr,0 0 0 0 0 0
Closer                                                                      ,The Chainsmokers ,26700,03/01/2017,tr,0 0 0 0 0 0
Lost on You                                                                 ,LP               ,24468,03/01/2017,tr,0 0 0 0 0 0
Heathens                                                                    ,Twenty One Pilots,24171,03/01/2017,tr,0 0 0 0 0 0
Gece Gölgenin Rahatına Bak                                                ,Çağatay Akman  ,83001,04/01/2017,tr,0 0 0 0 0 0
Starboy                                                                     ,The Weeknd       ,53982,04/01/2017,tr,0 0 0 0 0 0
Affet                                                                       ,Müslüm Gürses ,34941,04/01/2017,tr,0 0 0 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,34550,04/01/2017,tr,0 0 0 0 0 0
366.Gün                                                                    ,Sagopa Kajmer    ,31578,04/01/2017,tr,0 0 0 0 0 0
Let Me Love You                                                             ,DJ Snake         ,28907,04/01/2017,tr,0 0 0 0 0 0
Closer                                                                      ,The Chainsmokers ,27727,04/01/2017,tr,0 0 0 0 0 0
Haydi Söyle                                                                ,Kalben           ,26378,04/01/2017,tr,0 0 0 0 0 0
Heathens                                                                    ,Twenty One Pilots,24606,04/01/2017,tr,0 0 0 0 0 0
Lost on You                                                                 ,LP               ,24521,04/01/2017,tr,0 0 0 0 0 0
Gece Gölgenin Rahatına Bak                                                ,Çağatay Akman  ,76965,05/01/2017,tr,0 1 0 0 0 0
Starboy                                                                     ,The Weeknd       ,52676,05/01/2017,tr,0 1 0 0 0 0
Affet                                                                       ,Müslüm Gürses ,33821,05/01/2017,tr,0 1 0 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,33450,05/01/2017,tr,0 1 0 0 0 0
366.Gün                                                                    ,Sagopa Kajmer    ,32481,05/01/2017,tr,0 1 0 0 0 0
Let Me Love You                                                             ,DJ Snake         ,27980,05/01/2017,tr,0 1 0 0 0 0
Closer                                                                      ,The Chainsmokers ,26176,05/01/2017,tr,0 1 0 0 0 0
Haydi Söyle                                                                ,Kalben           ,24805,05/01/2017,tr,0 1 0 0 0 0
Heathens                                                                    ,Twenty One Pilots,24186,05/01/2017,tr,0 1 0 0 0 0
Lost on You                                                                 ,LP               ,23735,05/01/2017,tr,0 1 0 0 0 0
Gece Gölgenin Rahatına Bak                                                ,Çağatay Akman  ,78861,06/01/2017,tr,0 1 1 0 0 0
Starboy                                                                     ,The Weeknd       ,52226,06/01/2017,tr,0 1 1 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,35544,06/01/2017,tr,0 1 1 0 0 0
366.Gün                                                                    ,Sagopa Kajmer    ,34843,06/01/2017,tr,0 1 1 0 0 0
Affet                                                                       ,Müslüm Gürses ,34753,06/01/2017,tr,0 1 1 0 0 0
Shape of You                                                                ,Ed Sheeran       ,32921,06/01/2017,tr,0 1 1 0 0 0
Let Me Love You                                                             ,DJ Snake         ,28615,06/01/2017,tr,0 1 1 0 0 0
Closer                                                                      ,The Chainsmokers ,26444,06/01/2017,tr,0 1 1 0 0 0
Heathens                                                                    ,Twenty One Pilots,25550,06/01/2017,tr,0 1 1 0 0 0
Haydi Söyle                                                                ,Kalben           ,25230,06/01/2017,tr,0 1 1 0 0 0
Gece Gölgenin Rahatına Bak                                                ,Çağatay Akman  ,76187,07/01/2017,tr,0 0 1 0 0 0
Shape of You                                                                ,Ed Sheeran       ,47416,07/01/2017,tr,0 0 1 0 0 0
Starboy                                                                     ,The Weeknd       ,47305,07/01/2017,tr,0 0 1 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,34202,07/01/2017,tr,0 0 1 0 0 0
Affet                                                                       ,Müslüm Gürses ,33175,07/01/2017,tr,0 0 1 0 0 0
366.Gün                                                                    ,Sagopa Kajmer    ,31620,07/01/2017,tr,0 0 1 0 0 0
Let Me Love You                                                             ,DJ Snake         ,30351,07/01/2017,tr,0 0 1 0 0 0
Closer                                                                      ,The Chainsmokers ,28510,07/01/2017,tr,0 0 1 0 0 0
Heathens                                                                    ,Twenty One Pilots,24309,07/01/2017,tr,0 0 1 0 0 0
Haydi Söyle                                                                ,Kalben           ,24296,07/01/2017,tr,0 0 1 0 0 0
Gece Gölgenin Rahatına Bak                                                ,Çağatay Akman  ,72000,08/01/2017,tr,0 0 1 0 0 0
Shape of You                                                                ,Ed Sheeran       ,61002,08/01/2017,tr,0 0 1 0 0 0
Starboy                                                                     ,The Weeknd       ,45060,08/01/2017,tr,0 0 1 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,33715,08/01/2017,tr,0 0 1 0 0 0
Affet                                                                       ,Müslüm Gürses ,30613,08/01/2017,tr,0 0 1 0 0 0
366.Gün                                                                    ,Sagopa Kajmer    ,29244,08/01/2017,tr,0 0 1 0 0 0
Castle on the Hill                                                          ,Ed Sheeran       ,25847,08/01/2017,tr,0 0 1 0 0 0
Let Me Love You                                                             ,DJ Snake         ,25743,08/01/2017,tr,0 0 1 0 0 0
Closer                                                                      ,The Chainsmokers ,24005,08/01/2017,tr,0 0 1 0 0 0
Heathens                                                                    ,Twenty One Pilots,23600,08/01/2017,tr,0 0 1 0 0 0
Gece Gölgenin Rahatına Bak                                                ,Çağatay Akman  ,65657,09/01/2017,tr,0 0 1 0 0 0
Shape of You                                                                ,Ed Sheeran       ,59644,09/01/2017,tr,0 0 1 0 0 0
Starboy                                                                     ,The Weeknd       ,45236,09/01/2017,tr,0 0 1 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,33429,09/01/2017,tr,0 0 1 0 0 0
Affet                                                                       ,Müslüm Gürses ,29141,09/01/2017,tr,0 0 1 0 0 0
366.Gün                                                                    ,Sagopa Kajmer    ,28679,09/01/2017,tr,0 0 1 0 0 0
Let Me Love You                                                             ,DJ Snake         ,23789,09/01/2017,tr,0 0 1 0 0 0
Castle on the Hill                                                          ,Ed Sheeran       ,23367,09/01/2017,tr,0 0 1 0 0 0
Closer                                                                      ,The Chainsmokers ,23116,09/01/2017,tr,0 0 1 0 0 0
Heathens                                                                    ,Twenty One Pilots,22614,09/01/2017,tr,0 0 1 0 0 0
Gece Gölgenin Rahatına Bak                                                ,Çağatay Akman  ,61866,10/01/2017,tr,0 1 1 0 0 0
Shape of You                                                                ,Ed Sheeran       ,59875,10/01/2017,tr,0 1 1 0 0 0
Starboy                                                                     ,The Weeknd       ,45181,10/01/2017,tr,0 1 1 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,34044,10/01/2017,tr,0 1 1 0 0 0
Affet                                                                       ,Müslüm Gürses ,28334,10/01/2017,tr,0 1 1 0 0 0
366.Gün                                                                    ,Sagopa Kajmer    ,27815,10/01/2017,tr,0 1 1 0 0 0
