Track Name,Artist,Streams,Date,Country,Indicators
Closer                                                                      ,The Chainsmokers ,18651,01/01/2017,tw,1 0 0 0 0 0
Starboy                                                                     ,The Weeknd       ,14568,01/01/2017,tw,1 0 0 0 0 0
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,13476,01/01/2017,tw,1 0 0 0 0 0
Let Me Love You                                                             ,DJ Snake         ,13431,01/01/2017,tw,1 0 0 0 0 0
帥到分手                                                                ,NICKTHEREAL      ,13315,01/01/2017,tw,1 0 0 0 0 0
Don't Wanna Know                                                            ,Maroon 5         ,12820,01/01/2017,tw,1 0 0 0 0 0
Say You Won't Let Go                                                        ,James Arthur     ,12318,01/01/2017,tw,1 0 0 0 0 0
All We Know                                                                 ,The Chainsmokers ,12226,01/01/2017,tw,1 0 0 0 0 0
Alone                                                                       ,Alan Walker      ,12155,01/01/2017,tw,1 0 0 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,11322,01/01/2017,tw,1 0 0 0 0 0
Closer                                                                      ,The Chainsmokers ,21482,02/01/2017,tw,0 1 0 0 0 0
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,16608,02/01/2017,tw,0 1 0 0 0 0
Starboy                                                                     ,The Weeknd       ,16000,02/01/2017,tw,0 1 0 0 0 0
Let Me Love You                                                             ,DJ Snake         ,15095,02/01/2017,tw,0 1 0 0 0 0
Say You Won't Let Go                                                        ,James Arthur     ,14998,02/01/2017,tw,0 1 0 0 0 0
Don't Wanna Know                                                            ,Maroon 5         ,14768,02/01/2017,tw,0 1 0 0 0 0
帥到分手                                                                ,NICKTHEREAL      ,14365,02/01/2017,tw,0 1 0 0 0 0
Alone                                                                       ,Alan Walker      ,14112,02/01/2017,tw,0 1 0 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,13822,02/01/2017,tw,0 1 0 0 0 0
All We Know                                                                 ,The Chainsmokers ,13684,02/01/2017,tw,0 1 0 0 0 0
Closer                                                                      ,The Chainsmokers ,20198,03/01/2017,tw,0 0 0 0 0 0
帥到分手                                                                ,NICKTHEREAL      ,17144,03/01/2017,tw,0 0 0 0 0 0
Starboy                                                                     ,The Weeknd       ,16360,03/01/2017,tw,0 0 0 0 0 0
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,16008,03/01/2017,tw,0 0 0 0 0 0
Let Me Love You                                                             ,DJ Snake         ,14801,03/01/2017,tw,0 0 0 0 0 0
演員                                                                      ,Joker Xue        ,14694,03/01/2017,tw,0 0 0 0 0 0
Say You Won't Let Go                                                        ,James Arthur     ,14583,03/01/2017,tw,0 0 0 0 0 0
Don't Wanna Know                                                            ,Maroon 5         ,13999,03/01/2017,tw,0 0 0 0 0 0
�?為誰而作的歌                                                       ,JJ Lin           ,13667,03/01/2017,tw,0 0 0 0 0 0
你,好�?好? - Ending Theme Song of TVBS Series "Life List"               ,Eric Chou        ,13376,03/01/2017,tw,0 0 0 0 0 0
Closer                                                                      ,The Chainsmokers ,24743,04/01/2017,tw,0 0 0 0 0 0
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,21546,04/01/2017,tw,0 0 0 0 0 0
Starboy                                                                     ,The Weeknd       ,20164,04/01/2017,tw,0 0 0 0 0 0
Let Me Love You                                                             ,DJ Snake         ,18432,04/01/2017,tw,0 0 0 0 0 0
Don't Wanna Know                                                            ,Maroon 5         ,17711,04/01/2017,tw,0 0 0 0 0 0
帥到分手                                                                ,NICKTHEREAL      ,17611,04/01/2017,tw,0 0 0 0 0 0
All We Know                                                                 ,The Chainsmokers ,16793,04/01/2017,tw,0 0 0 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,15838,04/01/2017,tw,0 0 0 0 0 0
Alone                                                                       ,Alan Walker      ,15788,04/01/2017,tw,0 0 0 0 0 0
演員                                                                      ,Joker Xue        ,15733,04/01/2017,tw,0 0 0 0 0 0
Closer                                                                      ,The Chainsmokers ,20907,05/01/2017,tw,0 0 0 0 0 0
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,18190,05/01/2017,tw,0 0 0 0 0 0
Starboy                                                                     ,The Weeknd       ,16958,05/01/2017,tw,0 0 0 0 0 0
Let Me Love You                                                             ,DJ Snake         ,15411,05/01/2017,tw,0 0 0 0 0 0
Say You Won't Let Go                                                        ,James Arthur     ,15267,05/01/2017,tw,0 0 0 0 0 0
Don't Wanna Know                                                            ,Maroon 5         ,15061,05/01/2017,tw,0 0 0 0 0 0
All We Know                                                                 ,The Chainsmokers ,14371,05/01/2017,tw,0 0 0 0 0 0
帥到分手                                                                ,NICKTHEREAL      ,14277,05/01/2017,tw,0 0 0 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,13991,05/01/2017,tw,0 0 0 0 0 0
Bad Things (with Camila Cabello)                                            ,Machine Gun Kelly,13820,05/01/2017,tw,0 0 0 0 0 0
Castle on the Hill                                                          ,Ed Sheeran       ,20972,06/01/2017,tw,0 1 0 0 0 0
Closer                                                                      ,The Chainsmokers ,20020,06/01/2017,tw,0 1 0 0 0 0
Shape of You                                                                ,Ed Sheeran       ,17304,06/01/2017,tw,0 1 0 0 0 0
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,16928,06/01/2017,tw,0 1 0 0 0 0
Starboy                                                                     ,The Weeknd       ,16198,06/01/2017,tw,0 1 0 0 0 0
Let Me Love You                                                             ,DJ Snake         ,14731,06/01/2017,tw,0 1 0 0 0 0
Don't Wanna Know                                                            ,Maroon 5         ,14646,06/01/2017,tw,0 1 0 0 0 0
All We Know                                                                 ,The Chainsmokers ,14148,06/01/2017,tw,0 1 0 0 0 0
Say You Won't Let Go                                                        ,James Arthur     ,13864,06/01/2017,tw,0 1 0 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,13656,06/01/2017,tw,0 1 0 0 0 0
Shape of You                                                                ,Ed Sheeran       ,26633,07/01/2017,tw,0 1 0 0 0 0
Castle on the Hill                                                          ,Ed Sheeran       ,22918,07/01/2017,tw,0 1 0 0 0 0
Closer                                                                      ,The Chainsmokers ,19539,07/01/2017,tw,0 1 0 0 0 0
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,17849,07/01/2017,tw,0 1 0 0 0 0
Starboy                                                                     ,The Weeknd       ,16162,07/01/2017,tw,0 1 0 0 0 0
Don't Wanna Know                                                            ,Maroon 5         ,14928,07/01/2017,tw,0 1 0 0 0 0
Say You Won't Let Go                                                        ,James Arthur     ,14284,07/01/2017,tw,0 1 0 0 0 0
Let Me Love You                                                             ,DJ Snake         ,14032,07/01/2017,tw,0 1 0 0 0 0
All We Know                                                                 ,The Chainsmokers ,13971,07/01/2017,tw,0 1 0 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,13540,07/01/2017,tw,0 1 0 0 0 0
Shape of You                                                                ,Ed Sheeran       ,32086,08/01/2017,tw,0 0 0 0 0 0
Castle on the Hill                                                          ,Ed Sheeran       ,24780,08/01/2017,tw,0 0 0 0 0 0
Closer                                                                      ,The Chainsmokers ,19604,08/01/2017,tw,0 0 0 0 0 0
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,17603,08/01/2017,tw,0 0 0 0 0 0
Starboy                                                                     ,The Weeknd       ,16509,08/01/2017,tw,0 0 0 0 0 0
Don't Wanna Know                                                            ,Maroon 5         ,15146,08/01/2017,tw,0 0 0 0 0 0
Say You Won't Let Go                                                        ,James Arthur     ,14545,08/01/2017,tw,0 0 0 0 0 0
All We Know                                                                 ,The Chainsmokers ,14013,08/01/2017,tw,0 0 0 0 0 0
Let Me Love You                                                             ,DJ Snake         ,13823,08/01/2017,tw,0 0 0 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,13766,08/01/2017,tw,0 0 0 0 0 0
Shape of You                                                                ,Ed Sheeran       ,35940,09/01/2017,tw,0 0 0 0 0 0
Castle on the Hill                                                          ,Ed Sheeran       ,26487,09/01/2017,tw,0 0 0 0 0 0
Closer                                                                      ,The Chainsmokers ,20800,09/01/2017,tw,0 0 0 0 0 0
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,18844,09/01/2017,tw,0 0 0 0 0 0
Say You Won't Let Go                                                        ,James Arthur     ,17232,09/01/2017,tw,0 0 0 0 0 0
Don't Wanna Know                                                            ,Maroon 5         ,16035,09/01/2017,tw,0 0 0 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,15880,09/01/2017,tw,0 0 0 0 0 0
Starboy                                                                     ,The Weeknd       ,15594,09/01/2017,tw,0 0 0 0 0 0
Just Hold On                                                                ,Steve Aoki       ,14442,09/01/2017,tw,0 0 0 0 0 0
All We Know                                                                 ,The Chainsmokers ,13644,09/01/2017,tw,0 0 0 0 0 0
Shape of You                                                                ,Ed Sheeran       ,30996,10/01/2017,tw,0 0 0 0 0 0
Castle on the Hill                                                          ,Ed Sheeran       ,20770,10/01/2017,tw,0 0 0 0 0 0
Closer                                                                      ,The Chainsmokers ,18730,10/01/2017,tw,0 0 0 0 0 0
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,17573,10/01/2017,tw,0 0 0 0 0 0
Starboy                                                                     ,The Weeknd       ,16904,10/01/2017,tw,0 0 0 0 0 0
Say You Won't Let Go                                                        ,James Arthur     ,16414,10/01/2017,tw,0 0 0 0 0 0
演員                                                                      ,Joker Xue        ,16228,10/01/2017,tw,0 0 0 0 0 0
Don't Wanna Know                                                            ,Maroon 5         ,15861,10/01/2017,tw,0 0 0 0 0 0
帥到分手                                                                ,NICKTHEREAL      ,15754,10/01/2017,tw,0 0 0 0 0 0
Bad Things (with Camila Cabello)                                            ,Machine Gun Kelly,14725,10/01/2017,tw,0 0 0 0 0 0
Shape of You                                                                ,Ed Sheeran       ,35322,11/01/2017,tw,0 0 0 0 0 0
Castle on the Hill                                                          ,Ed Sheeran       ,24144,11/01/2017,tw,0 0 0 0 0 0
Closer                                                                      ,The Chainsmokers ,22609,11/01/2017,tw,0 0 0 0 0 0
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,20376,11/01/2017,tw,0 0 0 0 0 0
Say You Won't Let Go                                                        ,James Arthur     ,19278,11/01/2017,tw,0 0 0 0 0 0
Starboy                                                                     ,The Weeknd       ,18380,11/01/2017,tw,0 0 0 0 0 0
Don't Wanna Know                                                            ,Maroon 5         ,17216,11/01/2017,tw,0 0 0 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,16557,11/01/2017,tw,0 0 0 0 0 0
演員                                                                      ,Joker Xue        ,16459,11/01/2017,tw,0 0 0 0 0 0
All We Know                                                                 ,The Chainsmokers ,15996,11/01/2017,tw,0 0 0 0 0 0
Shape of You                                                                ,Ed Sheeran       ,29973,12/01/2017,tw,0 1 0 0 0 0
Castle on the Hill                                                          ,Ed Sheeran       ,20576,12/01/2017,tw,0 1 0 0 0 0
Closer                                                                      ,The Chainsmokers ,18979,12/01/2017,tw,0 1 0 0 0 0
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,17853,12/01/2017,tw,0 1 0 0 0 0
Say You Won't Let Go                                                        ,James Arthur     ,16726,12/01/2017,tw,0 1 0 0 0 0
Starboy                                                                     ,The Weeknd       ,15894,12/01/2017,tw,0 1 0 0 0 0
Don't Wanna Know                                                            ,Maroon 5         ,15199,12/01/2017,tw,0 1 0 0 0 0
演員                                                                      ,Joker Xue        ,14203,12/01/2017,tw,0 1 0 0 0 0
Rockabye (feat. Sean Paul & Anne-Marie)                                     ,Clean Bandit     ,14202,12/01/2017,tw,0 1 0 0 0 0
All We Know                                                                 ,The Chainsmokers ,14040,12/01/2017,tw,0 1 0 0 0 0
Shape of You                                                                ,Ed Sheeran       ,26837,13/01/2017,tw,0 1 0 0 0 0
Paris                                                                       ,The Chainsmokers ,21012,13/01/2017,tw,0 1 0 0 0 0
Closer                                                                      ,The Chainsmokers ,18006,13/01/2017,tw,0 1 0 0 0 0
Castle on the Hill                                                          ,Ed Sheeran       ,17733,13/01/2017,tw,0 1 0 0 0 0
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,17044,13/01/2017,tw,0 1 0 0 0 0
Starboy                                                                     ,The Weeknd       ,15266,13/01/2017,tw,0 1 0 0 0 0
Say You Won't Let Go                                                        ,James Arthur     ,15090,13/01/2017,tw,0 1 0 0 0 0
Don't Wanna Know                                                            ,Maroon 5         ,14296,13/01/2017,tw,0 1 0 0 0 0
演員                                                                      ,Joker Xue        ,13832,13/01/2017,tw,0 1 0 0 0 0
All We Know                                                                 ,The Chainsmokers ,13424,13/01/2017,tw,0 1 0 0 0 0
Shape of You                                                                ,Ed Sheeran       ,27144,14/01/2017,tw,0 1 0 0 0 0
Paris                                                                       ,The Chainsmokers ,18784,14/01/2017,tw,0 1 0 0 0 0
