Track Name,Artist,Streams,Date,Country,Indicators
Bad and Boujee (feat. Lil Uzi Vert)                                         ,Migos            ,1371493,01/01/2017,us,0 1 0 0 0 0
Fake Love                                                                   ,Drake            ,1180074,01/01/2017,us,0 1 0 0 0 0
Starboy                                                                     ,The Weeknd       ,1064351,01/01/2017,us,0 1 0 0 0 0
Closer                                                                      ,The Chainsmokers ,1010492,01/01/2017,us,0 1 0 0 0 0
Black Beatles                                                               ,Rae Sremmurd     ,874289,01/01/2017,us,0 1 0 0 0 0
Broccoli (feat. Lil Yachty)                                                 ,DRAM             ,763259,01/01/2017,us,0 1 0 0 0 0
One Dance                                                                   ,Drake            ,753150,01/01/2017,us,0 1 0 0 0 0
Caroline                                                                    ,Aminé           ,714839,01/01/2017,us,0 1 0 0 0 0
Let Me Love You                                                             ,DJ Snake         ,690483,01/01/2017,us,0 1 0 0 0 0
Bounce Back                                                                 ,Big Sean         ,682688,01/01/2017,us,0 1 0 0 0 0
Bad and Boujee (feat. Lil Uzi Vert)                                         ,Migos            ,1161746,02/01/2017,us,0 0 0 0 0 0
Fake Love                                                                   ,Drake            ,1076575,02/01/2017,us,0 0 0 0 0 0
Starboy                                                                     ,The Weeknd       ,963602,02/01/2017,us,0 0 0 0 0 0
Closer                                                                      ,The Chainsmokers ,782423,02/01/2017,us,0 0 0 0 0 0
Black Beatles                                                               ,Rae Sremmurd     ,733662,02/01/2017,us,0 0 0 0 0 0
Caroline                                                                    ,Aminé           ,633586,02/01/2017,us,0 0 0 0 0 0
Bounce Back                                                                 ,Big Sean         ,611276,02/01/2017,us,0 0 0 0 0 0
Bad Things (with Camila Cabello)                                            ,Machine Gun Kelly,611030,02/01/2017,us,0 0 0 0 0 0
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,583678,02/01/2017,us,0 0 0 0 0 0
I Feel It Coming                                                            ,The Weeknd       ,565606,02/01/2017,us,0 0 0 0 0 0
Bad and Boujee (feat. Lil Uzi Vert)                                         ,Migos            ,1284891,03/01/2017,us,0 0 0 0 0 0
Fake Love                                                                   ,Drake            ,1171625,03/01/2017,us,0 0 0 0 0 0
Starboy                                                                     ,The Weeknd       ,1064931,03/01/2017,us,0 0 0 0 0 0
Closer                                                                      ,The Chainsmokers ,857394,03/01/2017,us,0 0 0 0 0 0
Black Beatles                                                               ,Rae Sremmurd     ,769249,03/01/2017,us,0 0 0 0 0 0
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,755512,03/01/2017,us,0 0 0 0 0 0
Bad Things (with Camila Cabello)                                            ,Machine Gun Kelly,706107,03/01/2017,us,0 0 0 0 0 0
Caroline                                                                    ,Aminé           ,702976,03/01/2017,us,0 0 0 0 0 0
Bounce Back                                                                 ,Big Sean         ,691574,03/01/2017,us,0 0 0 0 0 0
I Feel It Coming                                                            ,The Weeknd       ,644850,03/01/2017,us,0 0 0 0 0 0
Bad and Boujee (feat. Lil Uzi Vert)                                         ,Migos            ,1293486,04/01/2017,us,0 0 0 0 0 0
Fake Love                                                                   ,Drake            ,1179471,04/01/2017,us,0 0 0 0 0 0
Starboy                                                                     ,The Weeknd       ,1086272,04/01/2017,us,0 0 0 0 0 0
Closer                                                                      ,The Chainsmokers ,856349,04/01/2017,us,0 0 0 0 0 0
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,803439,04/01/2017,us,0 0 0 0 0 0
Black Beatles                                                               ,Rae Sremmurd     ,770885,04/01/2017,us,0 0 0 0 0 0
Bad Things (with Camila Cabello)                                            ,Machine Gun Kelly,726097,04/01/2017,us,0 0 0 0 0 0
Caroline                                                                    ,Aminé           ,709420,04/01/2017,us,0 0 0 0 0 0
Bounce Back                                                                 ,Big Sean         ,704667,04/01/2017,us,0 0 0 0 0 0
I Feel It Coming                                                            ,The Weeknd       ,669820,04/01/2017,us,0 0 0 0 0 0
Bad and Boujee (feat. Lil Uzi Vert)                                         ,Migos            ,1295592,05/01/2017,us,1 1 0 0 0 0
Fake Love                                                                   ,Drake            ,1179992,05/01/2017,us,1 1 0 0 0 0
Starboy                                                                     ,The Weeknd       ,1068015,05/01/2017,us,1 1 0 0 0 0
Closer                                                                      ,The Chainsmokers ,860364,05/01/2017,us,1 1 0 0 0 0
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,797763,05/01/2017,us,1 1 0 0 0 0
Black Beatles                                                               ,Rae Sremmurd     ,763649,05/01/2017,us,1 1 0 0 0 0
Bounce Back                                                                 ,Big Sean         ,717011,05/01/2017,us,1 1 0 0 0 0
Caroline                                                                    ,Aminé           ,712329,05/01/2017,us,1 1 0 0 0 0
Bad Things (with Camila Cabello)                                            ,Machine Gun Kelly,709544,05/01/2017,us,1 1 0 0 0 0
I Feel It Coming                                                            ,The Weeknd       ,671286,05/01/2017,us,1 1 0 0 0 0
Shape of You                                                                ,Ed Sheeran       ,1517787,06/01/2017,us,0 0 0 0 0 0
Castle on the Hill                                                          ,Ed Sheeran       ,1472037,06/01/2017,us,0 0 0 0 0 0
Bad and Boujee (feat. Lil Uzi Vert)                                         ,Migos            ,1328631,06/01/2017,us,0 0 0 0 0 0
Fake Love                                                                   ,Drake            ,1217137,06/01/2017,us,0 0 0 0 0 0
Starboy                                                                     ,The Weeknd       ,1083653,06/01/2017,us,0 0 0 0 0 0
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,816323,06/01/2017,us,0 0 0 0 0 0
Black Beatles                                                               ,Rae Sremmurd     ,814513,06/01/2017,us,0 0 0 0 0 0
Closer                                                                      ,The Chainsmokers ,805446,06/01/2017,us,0 0 0 0 0 0
Caroline                                                                    ,Aminé           ,741197,06/01/2017,us,0 0 0 0 0 0
Bounce Back                                                                 ,Big Sean         ,739551,06/01/2017,us,0 0 0 0 0 0
Shape of You                                                                ,Ed Sheeran       ,1437473,07/01/2017,us,0 1 0 0 0 0
Bad and Boujee (feat. Lil Uzi Vert)                                         ,Migos            ,1281623,07/01/2017,us,0 1 0 0 0 0
Fake Love                                                                   ,Drake            ,1180717,07/01/2017,us,0 1 0 0 0 0
Castle on the Hill                                                          ,Ed Sheeran       ,1127503,07/01/2017,us,0 1 0 0 0 0
Starboy                                                                     ,The Weeknd       ,1002482,07/01/2017,us,0 1 0 0 0 0
Black Beatles                                                               ,Rae Sremmurd     ,792930,07/01/2017,us,0 1 0 0 0 0
Caroline                                                                    ,Aminé           ,722434,07/01/2017,us,0 1 0 0 0 0
I Don’t Wanna Live Forever (Fifty Shades Darker) - From "Fifty Shades Dark,ZAYN             ,721571,07/01/2017,us,0 1 0 0 0 0
Closer                                                                      ,The Chainsmokers ,712191,07/01/2017,us,0 1 0 0 0 0
Bounce Back                                                                 ,Big Sean         ,703925,07/01/2017,us,0 1 0 0 0 0
