Track Name,Artist,Streams,Date,Country,Indicators
Cuando Se Pone a Bailar                                                     ,Rombai           ,15516,01/01/2017,uy,0 1 0 0 1 0
Reggaet�n Lento (Bailemos)                                                  ,CNCO             ,15275,01/01/2017,uy,0 1 0 0 1 0
Chantaje                                                                    ,Shakira          ,15007,01/01/2017,uy,0 1 0 0 1 0
Vente Pa' Ca                                                                ,Ricky Martin     ,13268,01/01/2017,uy,0 1 0 0 1 0
Safari                                                                      ,J Balvin         ,10784,01/01/2017,uy,0 1 0 0 1 0
Shaky Shaky                                                                 ,Daddy Yankee     ,9763,01/01/2017,uy,0 1 0 0 1 0
Otra Vez (feat. J Balvin)                                                   ,Zion & Lennox    ,9462,01/01/2017,uy,0 1 0 0 1 0
La Bicicleta                                                                ,Carlos Vives     ,9303,01/01/2017,uy,0 1 0 0 1 0
Traicionera                                                                 ,Sebastian Yatra  ,8992,01/01/2017,uy,0 1 0 0 1 0
Carnavalintro                                                               ,CHANO            ,7445,01/01/2017,uy,0 1 0 0 1 0
Reggaet�n Lento (Bailemos)                                                  ,CNCO             ,14705,02/01/2017,uy,0 0 0 0 0 0
Cuando Se Pone a Bailar                                                     ,Rombai           ,14123,02/01/2017,uy,0 0 0 0 0 0
Chantaje                                                                    ,Shakira          ,13471,02/01/2017,uy,0 0 0 0 0 0
Vente Pa' Ca                                                                ,Ricky Martin     ,10662,02/01/2017,uy,0 0 0 0 0 0
Safari                                                                      ,J Balvin         ,9619,02/01/2017,uy,0 0 0 0 0 0
Otra Vez (feat. J Balvin)                                                   ,Zion & Lennox    ,9241,02/01/2017,uy,0 0 0 0 0 0
Shaky Shaky                                                                 ,Daddy Yankee     ,8276,02/01/2017,uy,0 0 0 0 0 0
Traicionera                                                                 ,Sebastian Yatra  ,8034,02/01/2017,uy,0 0 0 0 0 0
Carnavalintro                                                               ,CHANO            ,7753,02/01/2017,uy,0 0 0 0 0 0
Piel a Piel                                                                 ,Dame 5           ,7375,02/01/2017,uy,0 0 0 0 0 0
Reggaet�n Lento (Bailemos)                                                  ,CNCO             ,12413,03/01/2017,uy,0 1 0 0 1 0
Cuando Se Pone a Bailar                                                     ,Rombai           ,12021,03/01/2017,uy,0 1 0 0 1 0
Chantaje                                                                    ,Shakira          ,11793,03/01/2017,uy,0 1 0 0 1 0
Vente Pa' Ca                                                                ,Ricky Martin     ,8966,03/01/2017,uy,0 1 0 0 1 0
Safari                                                                      ,J Balvin         ,8254,03/01/2017,uy,0 1 0 0 1 0
Otra Vez (feat. J Balvin)                                                   ,Zion & Lennox    ,7964,03/01/2017,uy,0 1 0 0 1 0
Shaky Shaky                                                                 ,Daddy Yankee     ,7103,03/01/2017,uy,0 1 0 0 1 0
Traicionera                                                                 ,Sebastian Yatra  ,6741,03/01/2017,uy,0 1 0 0 1 0
Piel a Piel                                                                 ,Dame 5           ,6727,03/01/2017,uy,0 1 0 0 1 0
Carnavalintro                                                               ,CHANO            ,6692,03/01/2017,uy,0 1 0 0 1 0
Cuando Se Pone a Bailar                                                     ,Rombai           ,12417,04/01/2017,uy,0 1 0 0 1 0
Reggaet�n Lento (Bailemos)                                                  ,CNCO             ,12413,04/01/2017,uy,0 1 0 0 1 0
Chantaje                                                                    ,Shakira          ,12198,04/01/2017,uy,0 1 0 0 1 0
Vente Pa' Ca                                                                ,Ricky Martin     ,8801,04/01/2017,uy,0 1 0 0 1 0
Safari                                                                      ,J Balvin         ,8057,04/01/2017,uy,0 1 0 0 1 0
Otra Vez (feat. J Balvin)                                                   ,Zion & Lennox    ,7629,04/01/2017,uy,0 1 0 0 1 0
Piel a Piel                                                                 ,Dame 5           ,7078,04/01/2017,uy,0 1 0 0 1 0
Shaky Shaky                                                                 ,Daddy Yankee     ,6934,04/01/2017,uy,0 1 0 0 1 0
Carnavalintro                                                               ,CHANO            ,6910,04/01/2017,uy,0 1 0 0 1 0
Traicionera                                                                 ,Sebastian Yatra  ,6812,04/01/2017,uy,0 1 0 0 1 0
Cuando Se Pone a Bailar                                                     ,Rombai           ,14478,05/01/2017,uy,1 0 0 0 0 0
Reggaet�n Lento (Bailemos)                                                  ,CNCO             ,13896,05/01/2017,uy,1 0 0 0 0 0
Chantaje                                                                    ,Shakira          ,13212,05/01/2017,uy,1 0 0 0 0 0
Vente Pa' Ca                                                                ,Ricky Martin     ,9996,05/01/2017,uy,1 0 0 0 0 0
Safari                                                                      ,J Balvin         ,9118,05/01/2017,uy,1 0 0 0 0 0
