STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
802220,99999, 20170101,   56.9,24,   48.0,24, 9999.9, 0,  753.5, 6,   6.9,24,   6.6,24,  14.0, 999.9,   66.2*,  46.8 , 0.39G,999.9, 000000,
802220,99999, 20170102,   58.2,24,   45.0,24, 9999.9, 0,  753.3, 7,   7.7,24,   6.5,24,  12.0, 999.9,   69.8*,  50.0*, 0.00I,999.9, 000000,
802220,99999, 20170103,   54.6,24,   43.2,24, 9999.9, 0,  752.6, 6,   7.6,21,   5.8,23,  12.0, 999.9,   71.6*,  42.8*, 0.00A,999.9, 000000,
802220,99999, 20170104,   57.5,24,   48.7,24, 9999.9, 0,  751.7, 8,   7.7,24,   4.6,23,   9.9, 999.9,   71.6 ,  46.4*, 0.00B,999.9, 000000,
802220,99999, 20170105,   54.2,23,   49.1,22, 9999.9, 0,  751.6, 4,   6.2,23,   4.6,23,  12.0, 999.9,   66.2*,  43.5 ,99.99 ,999.9, 010000,
802220,99999, 20170106,   57.0,24,   48.7,24, 9999.9, 0,  752.4, 7,   7.1,24,   5.7,24,  12.0, 999.9,   67.8 ,  50.0*, 0.00I,999.9, 000000,
802220,99999, 20170107,   55.9,24,   47.3,23, 9999.9, 0,  753.5, 7,   7.7,24,   6.9,24,  14.0, 999.9,   68.0*,  46.2 , 0.00I,999.9, 000000,
802220,99999, 20170108,   57.0,24,   49.9,24, 9999.9, 0,  753.7, 8,   7.7,24,   5.1,24,   8.0, 999.9,   68.9 ,  51.8 , 0.00H,999.9, 010000,
802220,99999, 20170109,   55.4,24,   49.7,24, 9999.9, 0,  753.0, 8,   6.3,24,   4.1,24,  12.0, 999.9,   65.7 ,  47.7 ,99.99 ,999.9, 110000,
802220,99999, 20170110,   56.2,24,   50.3,24, 9999.9, 0,  752.0, 6,   5.6,24,   5.3,24,  13.0, 999.9,   66.2*,  49.3 ,99.99 ,999.9, 110000,
802220,99999, 20170111,   57.9,24,   51.0,24, 9999.9, 0,  751.5, 7,   6.3,24,   5.9,24,  15.9, 999.9,   66.2*,  50.4 ,99.99 ,999.9, 010010,
802220,99999, 20170112,   56.8,24,   49.3,24, 9999.9, 0,  752.1, 8,   6.3,24,   5.8,24,  12.0, 999.9,   65.8 ,  47.7 , 0.00A,999.9, 000000,
802220,99999, 20170113,   56.8,23,   48.0,23, 9999.9, 0,  752.6, 5,   7.0,22,   5.5,21,  13.0, 999.9,   68.0*,  48.2 , 0.00I,999.9, 000000,
802220,99999, 20170114,   56.9,24,   51.2,24, 9999.9, 0,  753.0, 7,   4.7,24,   4.4,24,  11.1, 999.9,   67.5 ,  51.8 ,99.99 ,999.9, 010000,
802220,99999, 20170115,   58.1,24,   51.1,24, 9999.9, 0,  751.5, 8,   5.8,24,   5.6,23,  13.6, 999.9,   66.2*,  49.3 , 0.00B,999.9, 100000,
802220,99999, 20170116,   58.3,24,   51.4,24, 9999.9, 0,  751.4, 7,   6.7,24,   5.7,24,  17.1, 999.9,   66.2*,  53.4 , 0.00G,999.9, 010000,
802220,99999, 20170117,   56.6,24,   48.9,24, 9999.9, 0,  752.0, 6,   6.9,24,   5.4,23,  14.0, 999.9,   68.0*,  49.5 , 0.00I,999.9, 000000,
802220,99999, 20170118,   55.9,24,   51.4,24, 9999.9, 0,  752.8, 6,   5.1,24,   4.2,24,   9.9, 999.9,   68.7 ,  51.1*,99.99 ,999.9, 110010,
802220,99999, 20170119,   56.7,24,   51.3,24, 9999.9, 0,  752.6, 6,   3.9,24,   5.0,24,  12.0, 999.9,   66.2 ,  48.0 ,99.99 ,999.9, 110000,
802220,99999, 20170120,   57.1,24,   50.1,24, 9999.9, 0,  753.0, 7,   6.5,24,   5.3,24,  12.0, 999.9,   68.0*,  48.2*, 0.00I,999.9, 100000,
802220,99999, 20170121,   54.8,23,   45.9,23, 9999.9, 0,  753.4, 7,   7.0,23,   6.6,23,  20.0, 999.9,   68.5 ,  39.9 , 0.00G,999.9, 000000,
802220,99999, 20170122,   51.3,23,   39.4,23, 9999.9, 0,  753.7, 7,   7.5,23,   5.3,22,  12.0, 999.9,   66.9 ,  34.7 , 0.00I,999.9, 000000,
802220,99999, 20170123,   51.4,24,   41.5,24, 9999.9, 0,  753.5, 8,   7.7,24,   6.2,24,  14.0, 999.9,   68.0 ,  34.0 , 0.00I,999.9, 000000,
802220,99999, 20170124,   52.8,24,   45.6,24, 9999.9, 0,  753.3, 8,   5.7,24,   6.2,24,  19.4, 999.9,   68.0*,  37.4*, 0.00I,999.9, 100000,
802220,99999, 20170125,   55.6,24,   46.3,24, 9999.9, 0,  753.3, 7,   6.3,24,   5.5,24,  12.0, 999.9,   69.3 ,  44.6*, 0.00I,999.9, 100000,
802220,99999, 20170126,   56.2,24,   47.6,24, 9999.9, 0,  753.4, 7,   7.1,24,   7.0,24,  14.0, 999.9,   65.7 ,  51.4 , 0.00H,999.9, 010000,
802220,99999, 20170127,   57.7,19,   46.0,19, 9999.9, 0,  753.9, 5,   7.4,19,   6.3,19,   9.9, 999.9,   66.2*,  47.1 , 0.00I,999.9, 000000,
802220,99999, 20170128,   56.3,24,   46.8,24, 9999.9, 0,  753.2, 7,   6.9,22,   6.2,24,  15.9, 999.9,   68.0*,  44.2 , 0.00I,999.9, 000000,
802220,99999, 20170129,   57.2,24,   46.5,24, 9999.9, 0,  753.6, 7,   7.5,22,   5.5,24,  12.0, 999.9,   66.2*,  43.9 , 0.00I,999.9, 000000,
802220,99999, 20170130,   54.5,24,   47.5,24, 9999.9, 0,  754.1, 6,   6.7,24,   4.1,24,   9.9, 999.9,   66.2*,  42.6 , 0.00I,999.9, 000000,
802220,99999, 20170131,   57.3,24,   48.4,24, 9999.9, 0,  753.7, 8,   6.5,24,   4.1,23,  13.0,  15.9,   67.1*,  48.4 , 0.00I,999.9, 000000,
802220,99999, 20170201,   56.6,24,   48.4,24, 9999.9, 0,  752.8, 8,   7.2,24,   5.6,24,   9.9, 999.9,   68.5 ,  40.8 , 0.00H,999.9, 010000,
802220,99999, 20170202,   55.9,23,   47.5,22, 9999.9, 0,  752.3, 7,   6.3,23,   4.6,23,  12.0, 999.9,   70.3 ,  41.2 , 0.00I,999.9, 000000,
802220,99999, 20170203,   56.5,24,   47.1,24, 9999.9, 0,  752.5, 7,   6.9,24,   5.7,23,  15.9, 999.9,   71.6*,  39.2 , 0.00B,999.9, 100000,
802220,99999, 20170204,   55.5,24,   44.0,24, 9999.9, 0,  753.0, 5,   6.9,23,   6.0,24,  15.0, 999.9,   71.4 ,  37.4*, 0.00A,999.9, 100000,
802220,99999, 20170205,   57.6,24,   41.5,24, 9999.9, 0,  753.0, 4,   7.0,24,   7.7,24,  14.0, 999.9,   71.6*,  41.4 , 0.00I,999.9, 000000,
802220,99999, 20170206,   55.8,24,   33.6,24, 9999.9, 0,  752.5, 4,   7.0,24,   7.1,24,  17.5,  22.0,   73.4*,  34.7 , 0.00I,999.9, 000000,
802220,99999, 20170207,   58.2,24,   34.3,24, 9999.9, 0,  752.8, 6,   7.1,24,   7.6,24,  15.9, 999.9,   73.4*,  42.8*, 0.00A,999.9, 000000,
802220,99999, 20170208,   55.8,22,   34.6,22, 9999.9, 0,  751.9, 5,   7.2,22,   6.4,21,  15.9, 999.9,   75.2*,  35.6 , 0.00I,999.9, 000000,
802220,99999, 20170209,   54.7,24,   41.5,24, 9999.9, 0,  753.3, 7,   7.2,24,   5.2,23,  14.0, 999.9,   71.6*,  37.2 , 0.00G,999.9, 100000,
802220,99999, 20170210,   59.7,22,   49.4,22, 9999.9, 0,  753.1, 7,   6.4,21,   6.5,21,  14.0, 999.9,   72.1 ,  45.3 , 0.00I,999.9, 000000,
802220,99999, 20170211,   57.2,22,   48.4,22, 9999.9, 0,  752.5, 8,   5.1,22,   6.3,22,  17.1, 999.9,   69.8*,  42.4 , 0.00G,999.9, 000000,
802220,99999, 20170212,   58.5,24,   51.0,24, 9999.9, 0,  752.0, 7,   5.6,24,   5.6,24,  15.0, 999.9,   71.1 ,  51.3 ,99.99 ,999.9, 010000,
802220,99999, 20170213,   58.2,24,   48.7,24, 9999.9, 0,  751.8, 7,   6.9,24,   6.1,24,  13.0, 999.9,   69.8*,  48.4 , 0.00I,999.9, 000000,
802220,99999, 20170214,   55.1,24,   47.0,24, 9999.9, 0,  752.5, 7,   6.9,24,   6.2,24,  14.0, 999.9,   68.7*,  37.9 , 0.00G,999.9, 010000,
