STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
118130,99999, 20170101,   21.2,24,   18.9,24, 1025.3,24,  988.4,24, 999.9, 0,   2.4,24,   3.9, 999.9,   25.7*,  17.2 , 0.00I,999.9, 000000,
118130,99999, 20170102,   24.0,24,   22.0,24, 1019.9,24,  983.4,24,   0.1, 8,   1.5,24,   5.8, 999.9,   30.2*,  19.8 , 0.00G,999.9, 100000,
118130,99999, 20170103,   31.5,24,   23.4,24, 1022.1,24,  986.0,24,  15.5, 8,   7.9,24,  11.7,  25.3,   36.0*,  28.2 , 0.00G,999.9, 001000,
118130,99999, 20170104,   35.8,24,   26.1,24, 1008.3,24,  973.1,24,  20.8, 8,  11.9,24,  17.5,  38.9,   38.3*,  30.4 , 0.00G,999.9, 001000,
118130,99999, 20170105,   27.5,24,   17.5,24, 1018.3,24,  982.0,24,  33.6, 5,   6.6,24,  13.6,  27.2,   33.8*,  19.6*, 0.01G,999.9, 000000,
118130,99999, 20170106,   17.0,24,    8.4,24, 1033.9,24,  996.3,24, 999.9, 0,   6.9,24,  11.7,  27.2,   19.9*,  10.0*, 0.00G,999.9, 000000,
118130,99999, 20170107,   11.4,24,    0.0,24, 1034.0,24,  995.9,24, 999.9, 0,   8.5,24,  17.5,  35.0,   16.9*,   6.1*, 0.02G,999.9, 000000,
118130,99999, 20170108,   16.9,24,    7.1,24, 1028.3,24,  990.9,24, 999.9, 0,   5.4,24,  17.5,  36.9,   23.0*,  10.9 , 0.01G,999.9, 000000,
118130,99999, 20170109,   21.8,24,   11.7,24, 1025.9,24,  989.0,24,  21.7, 8,  11.0,24,  19.4,  44.7,   25.9*,  14.4 , 1.57G,999.9, 000000,
118130,99999, 20170110,   15.7,24,    8.3,24, 1023.4,24,  986.1,24,   8.3, 8,   3.3,24,   5.8, 999.9,   19.9*,  10.0*, 1.57G,999.9, 001000,
